제목,질문,답변
,,잘 새겨 들어야 할 것이 어느 정도 솔직함이 병을 낮게 하는데 큰 역할을 하거든요 지금부터는 바깥으로 꺼내 놓는 훈련을 하도록 하는 것이 필요 하지요핵심적인 답변을으로 마무리 하네요! ​정신 건강 의학 지식인 대한민국 1위 답변
우울증도 감정기복이 있는걸로 아는데요.우울했다가도 시간이 지나서 기분이 좋아지고 의욕도 생겨서 활동적이게 되어 자격증 인강결제나 쇼핑 등 소비(약 80~100만원 이상 단위)도 하고 잠을 3~4시간 정도 자도 쌩쌩하고 반대로 엄청 예민해져서 화도 잘 나고 짜증도 많아지는 등 일정 기간동안 이런 상태가 될 수도 있나요?이랬다가 또다시 우울해지면서 무기력해지는데 우울증 환자도 이러나요?그리고 우울할 때 약을 먹어도 회사 출퇴근만 겨우 하고 가족들과 함께 식사하는 시간 외에는 너무 온몸이 무거워지고 무기력해서 누워만 있게되고 운동을 포함한 다른 활동들은 아예 못하게 되는데요.이정도면 우울증이 어느정도쯤 되는건가요?,"... 여기저기 찾아보니 틱일 수도 있어 보이는데, 틱장애 증상이라면 어느 병원에 가야 하나요?. 안녕하세요, 닥톡-네이버 지식iN 상담한의사 박천생입니다. 자녀분이 오랜 기간...",질문자께서 주신 질문은 우울보다는 조울에 가까운거같습니다혹시 병원가셔서 상담해보셨나요?​
,,"안녕하세요 답변드리겠습니다.​A. ​우울증이라고 하는것이 본인의 감정이 컨트롤이 안되는것인데,정도는 사람마다 다르며 증상도 다양합니다.​정신의학과 의사분과 상담을 통한 약처방을 받아보시면 많이 도움되실꺼에요"
,,"경조증이나 우울증상과 조증증상이 섞인 걸 수도 있을 것 같습니다. 병원가기 어려우시면 인터넷에서 우울증/조울증 자가진단이라도 해보셔서 좀 더 명확하게 알아보거나, 병원가서 진단을 받는게 어떨까요?"
바이크사고 보상관련 궁금한것.,제가 11월 21일 오후 10시쯤 아산 백석포리 쪽을 자나가다 도로가 공사 하는 중이라 모래와 자갈을 잔뜩 깔아놓고 공사 중이니 조심하라는 안내문이나 표지판이 없으니 밤에 못보고 지나가다가 그대로 슬립이 나버렸습니다. 다음날 도로 상태를 찍어서 아산시청가서 민원접수하고 왔는데요 한 2주 정도가 지났을때쯤 어느 보험사에서 연락이 오더군요. 공사업체측 보험사인지 뭔지…한번 만나서 보상관련 이야기를 하자고해서 만나서 얘기를 했습니다. 바이크 사진찍으시고 사고 경위 물어보시고 병원 진단서랑 견적서를 달라고 하셔서 병원 진단서는 체출 했구요 바이크 견적서는 센터에 입고를 해야 견적서를 뽑을 수 있는데 지금 출퇴근 용도로 사용하는 중이라 아직 센터에는 입고하지 못했습니다. 보험사 직원분이 이야기 하기로는 미수선 처리를 하는게 그나마 가장 좋을꺼 같다고 얘기 하시더군요. 그리고 견적서가 나와도 100% 보상은 못해주고 제 책임비율 40%정도 떨어질꺼라고 얘기 하시던데…수리비도 몇십만원 단위로 나올꺼 같지가 않습니다….공임비까지하면 200이 넘어가게 나올꺼 같아요.. 그리고 바이크를 센터에 입고 하게되면 부품 주문하고 수리 끝나는 시점까지 3달은 걸릴꺼 같은데 그동안 타고다닐 바이크 렌트비도 보상을 받을 수 있나요??,60% 보상을 해주겠다고 했으면 미수선처리하는분께 의뢰해서 견적서만 떼서 보내서 보상받고 거기서 10%수수료를 내세요.렌트비 보상 안되고 센터 입고해서 견적서 떼서 200 나온다 해도 거기서 60% 다 보상해준다는 보장은 없습니다.또 민원 접수했던 시청에 과거 비슷한 사건에서 보상 비율이 어느정도로 해결되었는지 물어보는것도 도움이 됩니다.또 대물 관련은 수수료가 나가야 되니 적당한 가격 얘기해서 지급될지도 미리 물어보세요.
대학교 추천!,한국교통대 간호학과 vs 세명대 간호학과어느 대학교가 더 좋은지 어느대학교가 더 취업 잘보내는지 객관적으로 판단해주세요!(참고로 저는 충청북도 제천에 살아서 둘다 거리상 상관없습니다,안녕하세요​한국교통대 간호학과 vs 세명대 간호학과어느대학교가 더 취업 잘보내는지 객관적우로 판단해주세요!​=> 저는 질문자님이 문의주신 관련학과를 졸업한 졸업생이에요.​취업을 잘보내는지에 따른 답변은 딱 어디다 라고 답변드리기 힘들어요.​이유는 질문자님이 대학생활을 어떻게 하냐에 따라 크게 달라지기 때문입니다.​만약 한국교통대가 더 좋다고 해서 들어가서 아무것도 안하면 잘될까요?​거기서 질문자님이 어떤 대학생활을 하냐에 따라 상급종합병원도 가실 수 있고 빅 5 병원도 가실 수 있기 때문입니다 :)​굳이굳이 따지자면 저는 세명대를 추천드리고 들어가셔서 대학생활 인턴 동아리 대외활동 어학성적등 열심히 하시기 바랍니다.​도움이 되셨길 바라며 더 궁금하신 점 있으시면 질문해주세요!​                    ​
독감 병원비,제가 아무래도 독감인거 같아서 내일 병원을 가볼려고 하는데 네이버 찾아보니까 검사비가 20000원~30000원 정도하고 약값이 105100 정도 하던데 진짜 그런가요? 그리고 저 독감 맞는 거 같나요? 10/15 저녁부터 감기 증상 조금 있었는데 하루하루가 지나면서 더 심해지더라고요 지금은 온 몸에 힘이 없고 계속 두통이 느껴지고 온몸이 뜨거운게 느껴져요 며칠전에 감기 몸살이 있어서 약 받고 남은 거 지금 먹고 있는데 약 먹을때 잠시 괜찮아지고 몇분 후면 다시 약골이 돼요 또 오한이라고 해야하나 계속 몸에 소름이 돋아요 지금 허리도 계속 아프고 오늘 오전에는 왼쪽 허리가 아팠다가 오른쪽 허리가 아팠다가 해요 목이 계속 건조하고 따갑기 때문에 물을 많이 먹었는데 그거 때문일까요 그리고 혹시나 독감이면 하루 어느 정도 쉬나요.?,"증상은 감기 몸살 같습니다.전체적으로 10-20사이 나옵니다. 독감은 38도이상 고열 가래 인후통을 동반한다고 합니다.푹쉬는게 좋구 권고 5일입니다.위 증상이 심해질시 근처 내과 병원을 가보시기 바랍니다.이번에 A형 독감이 심하다고 합니다.아래의 독감 A to Z 모든 것 알아보기 글에서 확인해 보시기 바랍니다.https://naver.me/xuicJYIt              독감 A to Z 모든 것 알아보기 코로나 독감 감기 비교하기 독감 A형 B형 C형 알아보기 A형 독감 자세히 알아보기 독감 무료예방접종 및 근처 병원 알아보기 독감 Q&A 궁금한 정보 알아보기 요즘 독감 전염성이 심해서 고통이 이만저만이 아닙니다. 잘 찾아오셨습니다. 독감 종류, 전염성이 강한 A형 독감, 코로나 독감 비교, 무료예방접종, 집근처 병원까지 각종 정보를 얻어가시길 바랍니다. Q&A 형식(독감 처방약, 독감 접종 부작용, 독감 검사 비용,독감 접종후 샤워,독감 자가격리,독감 무료접종)으로 궁금한 독감 정보 또한 알아가 보시기 바랍니다. 위 버튼 클릭하셔... naver.me            ​"
,,"저는 해열진통재,비타민,백신.맞았는데요 257,000원나왔어요그리고 격리기간은5일이지만저는 3일만격리했어요​"
독감인가요,제가 목이 좀 부은 거 같아서 병원을 가보니 의사쌤 말로는 비염으로 인한 편도염이라고 하셔서 5일치 약을 받았어요. 근데 그날로 부터 날이 갈수록 기침이 심해지고 머리도 아프고 가래낀 기침이 계속 나오고 목소리도 아예 변했어요. 심지어 어느 날은 목소리가 안나온적도 있어요. 콧물은 당연히 나구요 콧구멍이 뜨거워요. 심지어 코가 다 막혀서 냄새랑 맛도 잘 모르겠어요. 몸은 전체적으로 뭔가 뜨거운 느낌? 근데 또 열은 안나요. 이거 편도염이 맞긴하나요..? 내일이면 5일치 약 다 먹는건데.. 오히려 증상이 더 심해지고 있어서요.. 이거 독감인가요 아니면 그냥 감기인가요. 근데 감기라고 하기엔 좀 많이 심한 거 같아서요..,병원가셔서 독감 검사해보세요~~2주만에 독감을 두번걸린적이 있는데~~~A형독감을 두번이나 걸렸습니다~~A형독감이 5종류인데 그중 2가지가 걸렸더라구요~~~ㅠㅠ​약을 먹어도 낫지 않고 더 증상이 심해진다면 검사해보시는 것도 좋을것 같아요~~
,,"도 최근에 감기인줄 알았다가 병원가보니까 독감진단을 받았네요..​3일차에 병원가니까 감기인것같다고 이야기하셨는데 5일차가니까 독감 확진이네요..​독감과 감기는 차이가 있는데 독감은 감기랑 다르게 빠르게 몸살같은 증상을 나타낸다고 해요​저도 엄청 고생하다가 글 정리되어 있는거 보고 도움 많이 받았는데 글 남겨드려요!​https://healthfood365day.com/%eb%8f%85%ea%b0%90-%ec%a6%9d%ec%83%81-%ea%b0%90%ea%b8%b0%ec%99%80-%ec%9d%b4%ea%b2%83%ec%9d%b4-%eb%8b%a4%eb%a6%85%eb%8b%88%eb%8b%a4-%eb%8f%85%ea%b0%90-%ec%98%88%eb%b0%a9-%eb%8f%85%ea%b0%90-%ec%9d%8c/              독감 증상 감기와 이것이 다릅니다. 독감 예방, 독감 음식 Top10 - 헬스365 2023년 4분기에 갑작스레 독감이 활기를 치기 시작했는데요. 독감과 감기는 비슷한 증상을 보입니다. 그러나 독감 증상은 감기와 다르오니 아래와 같은 증상을 확인해보시길 권장드립니다. healthfood365day.com            ​"
위염 한 번 앓으면,"20살입니다. 위가 통증이 한달 내내 계속 되고 있고요, 위산분비억제제를 계속 먹는데 낫질 않습니다. 다음 주 내시경할 생각인데, 그것보다도 위염은 한 번 앓으면 재발이 쉽다고하잖아요.그리고 뭐 먹지말라는 것도 겁나게 많고. 1. 다 먹지 말라고하면 뭐먹고 사나요? 한 번이라도 걸리면 평생 죽만 먹고 살아야하나요?먹고싶은거 못 먹는게 더 스트레스 받네요. 계속 이러니 삶의 의욕이 없고이대로 먹고 싶은거 못먹고 사는데 뭣하러 사나 싶네요. 낫더라도 먹고 싶은거 먹으면바로 재발해서 고생하는건가요? ;;밀가루, 빵, 매운거, 짠거, 커피, 술, 담배, 튀김, 기름진거 ㅋㅋ다 빼면 평생 죽만 먹고 살아야합니까..술 담배도 위 증상 생기자마자 끊고 계속해서 안하고있는데.. 2. 시험기간까지 겹쳐서 시험 스트레스+위걱정+먹고싶은거 못먹는 스트레스 때문에 안낫는걸까요?병원에서 하지말라는것도 다 안하고있고, 위에 다 먹지말라는것도 다 안먹고슴슴한 음식들만 맨날 먹으며 잘 지키고 있습니다.. 삼시세끼를 안해서 그런건가요? 과자라도 먹고싶은데 과자도 먹지말래서 못먹고.. 고문이나 다름이 없어요.평소에 식욕이 많은 편도 아니고 몸무게도 저체중인 남자입니다. 근데 이건 좀 심하잖아요","​제가 정말 위염으로 많이 고생해 봤는데요개인적으로 위염에 가장 안좋다 느꼈던건[스트레스]였어요.제 생각에는 삼 시세끼 다 드시되 매운것과 많~이 기름진 음식은 좀 줄이시고, 양을 많지 않게 적당히 드셔주세요.가장 중요한 건 제일 먼저 말씀드린 [스트레스]를 받지 않는 거에요. 먹는 거 때문에 스트레스 받지 마시고 어느 정도 드세요. 스트레스 받는것보다 훨씬 나아요^^ 시험 스트레스는 어쩔 수 없겠지만위걱정과 먹는거 걱정은 정말 마음 편히 먹으셔도 좋을 것 같아요. 정말 괜찮을 겁니다. 공부하시느라 힘드실텐데 응원하겠습니다."
급함) 수원 버스 찾아주세요!,1. 수원버스터미널 쪽에 정류장이 두 개가 있는데 이름을 몰라서 어느 쪽에서 타고 가야 하는지를 모르는데... 수원버스터미널 쪽 어느 정류장에서 300번 타고 가면 환승 없이 창룡문에서 내릴 수 있나요?  2. 팔달문 쪽에서 수원버스터미널 오려면 어느 정류장에서 몇 번 버스 타야 하나요?,"수원버스터미널 앞에서 300번 300-1번을 타시면 됩니다.​       20m© NAVER Corp.더보기 /OpenStreetMap지도 데이터x© NAVER Corp. /OpenStreetMap지도 컨트롤러 범례부동산거리읍,면,동시,군,구시,도국가      수원버스터미널 경기도 수원시 권선구 경수대로 270     300번 버스 타는 곳 경기도 수원시 권선구 경수대로 270 터미널동. 할인점동           팔달문 바로 앞에서 112번(수원백병원 앞) 64번을 타시고 수원버스터미널에서 내리시면 됩니다.​​"
어지러워서 쓰러짐 이명 울렁거림 증상,오늘 성당 가서 미사 보구 있었는데갑자기 일어난 것도 아니었거든요…근데 어느순간 갑자기 휘청 하게 되고너무 어지러워 미칠 것 같았어요 정신차려보니까 제가 콰당탕 넘어지고 있더라고요 사람들 몰려와서 몇몇이 말걸었는데이명소리가 너무 커서 목소리가 잘 안들렸어요 몸에 힘도 잘 안들어가는 것 같고 이명이 너무 커서 머리가 너무 아팠어요어떤 분이 제 상태봐주면서 사무실로 데리구 가셨는데 가다가 다리에 힘풀리고 어지러우면서 정신이 아득해지는 느낌?앞도 잘 안보였구요 주변 사람들이 제 얼굴이 하얗게 질렸었대요 전 앞도 허옇게 떠서 잘 안보이고 이명 때문에 사람들 목소리도 잘 안들려서 너무 정신없었고 사무실로 가는동안 몇 번이나 주저앉았어요무슨 증상인지 이것만으로 알 수는 없겠지요.?어느 병원으로 가야할까요ㅠ ㅠ,혹시 단식을 자주하거나 음식을 적게 먹었다면 피가 부족해서 생길수도 있네요.종합병원 내과에 가셔서 상담을하시면 검사 후에 해당하는 과로 안내를 주시던지 아니면 내과에서치료를 할 수도 있네요
,,"​안녕하세요. 힘찬큐한방병원입니다.고생이 많으셨네요.*** 어지럼증이 심하게 나타날때 많이 일어나는 양상입니다. 정확한 진단은 어려울수 있습니다. 일단 특정동작, 주로 기상후 발생하는 이석증은 아닌것 같구요. 메니에르가 많이 의심됩니다. 전정신경염도 있지만 그건 그렇게 증상이 심하지 않습니다. 청력은 떨어지진 않았는지 확인해보세요. 이비인후과를 기본적으로 방문하는게 맞긴 한데.  원인불명 어지러움으로 진단될 가능성이 높아보이시네요. 미사 보기전 몸 상태가 어땠는지 확인해보세요. 요사이 잠을 잘 못 잤는지. 속이 많이 불편해서 체한 상태는 아니었는지.  몸이 안좋을때 잘 나타납니다. ​그리고 아래 내용은 꼼꼼하게 읽어보세요. ​어쩌다 이명이든 만성이명이든 꼭 확인해야 할 것들이 있습니다.우선적으로 해야 할 일들이기도 합니다.  1. 나의 이명 단계 확인하기어쩌다 이명- 1단계, 아직 크게 걱정할 단계는 아니지만 이때 잘 관리하면 치료가 잘 됩니다. 소음을 피하고 피로를 확실히 풀어주는게 필요합니다. 충분한 수면, 고용량 비타민B복용(하루5알 이상), 보약 등이 좋습니다.날마다 발생하는 이명- 2단계, 제대로 된 치료가 필요합니다. 우선은 좀 더 정확한 청력검사를 해보세요. 가급적 6-7밴드 주파수 청력검사가 아니라 11밴드 이상(34밴드면 더 좋습니다.)으로. 그래야 특정 구간 난청을 찾을 수 있습니다. 특정구간 난청 때문에 뇌에서 경고음으로 만드는 소리가 바로 이명입니다. 수면장애, 안면홍조, 다한증을 동반한 이명- 3단계, 꼭 치료가 필요합니다. 더 악화될 가능성이 높으면 치매, 우울증 등으로도 이어지기 쉽기 때문입니다. 2. 척추 문제 확인하기병의원을 방문해서 척추X-ray를 찍어서 틀어진 부위가 있는지 확인해보시기 바랍니다. 특히나 2단계 이상이라면. 여기서 골절, 디스크를 확인하는게 아니라 일자목, 기울어졌는지 여부, 꺽였는지 여부, 골반의 비대칭 여부, 흉추와 요추의 S라인 정도가 더 중요합니다. 척추와 청신경센타는 하나로 연결되기 때문입니다. 실제 목, 등, 허리 통증이 있다면 가까운 병의원에서 꼭 적합한 치료를 받으시기 바랍니다. 이명 치료에 도움이 됩니다. 3. 머리 시원하게 하기머리 질환은 본질적으로 머리가 뜨거워서 생기는 병입니다. 이명난청의 경우도 마찬가지입니다. 머리를 시원하게 해주는 방법은 세수하기, 귀 사혈하기(근처 한의원에서 치료받으세요), 비강세척 등을 권해드리고 싶습니다. 4. 소리치료 하기소리치료 중 가장 효과적인 방법은 REVE 134를 활용한 특정 주파수 훈련법입니다. 하지만 이 방법을 활용하려면 병의원 찾기가 복잡(?)합니다. 쉽게 할 수 있는 방법으로는 우선은 유튜브에서 ‘와이덱스젠’을 검색하셔서 이명에 효과적인 주파수 음악을 들어보시기 바랍니다. 물론 여러 음악들이 있습니다. 그런데 사실상 몸의 상태가 개선안 된 상태(가령 불면증이 심한데 그건 그대로면서 소리훈련만 한다는건 넌센스입니다.)에서 소리훈련은 오히려 이명을 더 악화시킬 수 있습니다. 배고프고 지친 상태에서 운동해봤자 오히려 더 힘든 것과 같다고 해야 할까요.그러니 우선은 몸상태를 추스르면서 무난하게 와이덱스젠으로 시작해보세요. 좀 더 자세한 주파수 음악은 일단은 피하시는걸 권해보고 싶습니다. 다양한 소리들 때문에 더 민감해질수도 있기 때문입니다. 5. 몸 추스르기가장 중요한 기초인데 또 가장 어렵습니다. 왜냐하면 사람들마다 체질이 다 다르고 몸상태가 다 다르기 때문입니다. 좀 더 자세한 내용은 제가 올리는 유튜브 내용이나 블로그 내용을 검색해 보세요. 최대한 맞춤 허브로 설명드리고 합니다. 나에게 잘 맞는 맞춤 허브는 꾸준히 복용하면 분명히 일정 부분 효과가 있습니다. 좀 더 자세한 내용은 힘찬큐한방병원을 검색하시면 좀 더 좋은 정보를 찾을 수 있으실겁니다.                     get url for picture                    get url for picture                    get url for picture                    get url for picture                    get url for picture                    get url for picture                    get url for picture                    get url for picture(div class=""se-component se-image-container __se__float-none"">                               ​"
