제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
헬리콥터가 저희 아파트단지 근처쪽에서 엄청낮게날던데,어제 저녁쯤에 어떤 헬리콥터가 거의 아파트랑 비슷한높이로 날아다니고있던데 아니 사람이 이렇게 많이사는곳에서 저래도 되는건가요?,"**특별한 경우.. 즉 비상 상태 등이 아리라면 항공기 - 헬기 등도 비행고도, 소음 등에 대한 규정이 있습니다.그 규정이 맞다 하더라도 저공비행으로 주민 생활에 자주- 지속적으로 악영향을 끼치면 관계기관등에 민원을 제기 할 수 있고 대책을 요구할 수 있습니다.절대 정상적인 것은 아닙니다.그러나 특별한 이유가 있다면 그 이유를 사전에 관공서, 지자체 등에 통보 의무도 있습니다.~!@참고하시고.의문점, 궁금한 점은 추가 질문으로 올리세요."
"안녕하세요..엊그제 입대를 했었습니다만 어릴적 아버지에게 당한 가정폭력과 작년에 돌아가신 어머니문제로 사람많은곳이 꺼려져 집에서 잘나오지 못하게되고 눈치가 보이고 사람이 많은곳이 어지럽고 시선이 느껴집니다.어머니 생각만 하면 우울해져서 훈련소에서 군의관님에게 상담후 군병원 정신과에서 다시 상담후 귀가조치가 되었습니다...처음 병무청에서 신검때 고혈압판정을 받아서 재검으로 병원에가 고혈압 확인도 했었습니다만 훈련소때 고혈압은 잘확인도 안하시고 정신쪽으로만 보시고 귀가후에 정신쪽치료를 받고 재검을 하라하셨습니다...훈련소 2일차도 사람들 눈치에 힘들었으나 만약 현역으로 다시가야할 경우 사람들도 꺼려지나 고혈압이라 훈련중 문제가 생길까 걱정이큽니다...정신과쪽으로 귀가조취 되었으나 재검시나 재입영시 고혈압쪽은 어떻게 해야하는지,정신과쪽은 어떤지 정말 궁금합니다...신체등급은 3급으로 나왔습니다.악성댓글이나 글에 상관없는 글은 쓰지 말아주셨으면 합니다.감사합니다...",압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"님이 정신과 질병 사유로 귀가조치 처분을 받았지만, 이것과는 별도로 고혈압 재검 신청도할 수 있습니다.그리고 님이 치료 기간 몇개월의 귀가조치 처분을 받았는지 모르겠지만, 치료 기간이 명시되어 있지 않으면, 2주쯤 지나면 병무청에서 재검 받으러 오라는 통지를 송달 해 오게 되고,이 재검에서 어떤 병역 판정이 내려질지 알 수 없지만, 거의 대부분 6-8개월 정도의 치료기간이 명시 된 7급 판정을 받을 가능성이 큽니다.이 경우, 병무청에서 정해 주는 치료 기간 동안 가능한 병무청 지정병원(대학병원, 대형종합병원, 국공립병원등)에서 검사와 치료를 받고, 병무청에서 재검 통지를 해 오면, 치료중인병원에서 병무용 진단서와 의무 기록지 사본, 검사 결과지를 발급 받고, 초중고 생활기록부사본까지 첨부하여 병무청을 찾아 가시면 됩니다.또, 님이 귀가조치 처분을 받을 때, 치료 기간이 명시 되어 있다면 그 기간이 경과 하면 병무청에서재검 통지를 해 오게 되는데, 치료 기간이 6개월 이상이면 위에서 말한 서류들을 준비 해 가면되지만, 6개월이 안되면, 병무용 진단서 발급 가능성이 없을 수 있습니다.이 경우에는 일단 병무청 재검을 가셔서, 현재 치료중에 있다고 하면, 병무청에서 치료 기간을정하여 7급 재검 대상자 처분을 내려 주게 됩니다.끝으로 고혈압의 경우에도 정신과 재검과 별도로 님 본인이 재검 신청을 하면 고혈압 관련병역 판정을 받을 수 있습니다."
작년초겨울직전 길에서혼자 울고 있던 아이를 구조해서 키우고 있습니다..병원에선 코숏이라고...또다른 어떤 분들은 터키쉬라고...저야 상관은 없지만 궁금해지는군요 이사진만으로 확인이 될지 모르겠습니다답변부탁드립니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,코숏은 100%아닙니다.코숏엔 저런색이 없습니다.또 오드아이는 거의 터키쉬앙고라와페르시안만 있습니다.털 색도 그렇고 눈색 모습등여러가지 방면으로 봐선 터앙입니다
생리 중에 탐폰을 쓰는데요 탐폰 한쪽 부분에 생리혈과 달리 노란 고름 같은게 계속 묻어나옵니다 뭘까요 이게골반 뼈 부분도 생리 중에 너무 아프고 생리주기도 불규칙적입니다ㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"노란 고름같은건 질염때문에 묻어나는 냉이예요. 노란냉, 골반통증, 생리주기 불규칙은 산부인과에 가야해요."
생리 중에 탐폰을 쓰는데요 탐폰 한쪽 부분에 생리혈과 달리 노란 고름 같은게 계속 묻어나옵니다 뭘까요 이게골반 뼈 부분도 생리 중에 너무 아프고 생리주기도 불규칙적입니다ㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,템포그만 쓰세요.제가 그랬어요. 결국 자궁경부헐어있고 경부염이었습니다.그 끝이 경부에 닿아서 그럴 수 있어요.자궁경부헐면 진짜 안나아요.그만쓰세요
생리 중에 탐폰을 쓰는데요 탐폰 한쪽 부분에 생리혈과 달리 노란 고름 같은게 계속 묻어나옵니다 뭘까요 이게골반 뼈 부분도 생리 중에 너무 아프고 생리주기도 불규칙적입니다ㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,노란 고름같은건 질염때문에 묻어나는 냉이예요
생리 중에 탐폰을 쓰는데요 탐폰 한쪽 부분에 생리혈과 달리 노란 고름 같은게 계속 묻어나옵니다 뭘까요 이게골반 뼈 부분도 생리 중에 너무 아프고 생리주기도 불규칙적입니다ㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요. 제이엘입니다.염증성 질환의 가능성이 있으니 병원을 방문하셔서 확인을 해보시는것이 좋겠습니다.어떤 종류의 염증은 탐폰을 사용하면 더 악화되기도 하니,진료를 꼭 받아보시기 바랍니다."
색깔에 대해서,"물체의 색깔은 어떤 물체가 특정 빛을 흡수하거나 반사하면서 만들어지는 거잖아요, 근데 어던 물체가 특정 빛을 흡수하거나 반사하게 되는 요인이 무엇인가요? 그러니깐 무엇이 색깔의 차이를 만들어내는 것인가요?","음악미술 개념사전색(색상, 명도, 채도)빛에 담겨져 있는 다양한 색의 세계요약 색 : 빛의 파장에 대한 눈의 반응으로 색상, 명도, 채도의 속성을 가지는 것목차빛의 3원색 - 빛에 의해 보이는 색색상, 명도, 채도 - 색의 3속성색의 대비 - 같은 색도 다르게 보여색이 가진 의미 - 생활 속에서 활용되는 색깊은 뜻을 지닌 우리 민족 전통의 오방색지난 여름 연진이가 갔던 제주도 여행에서 가장 기억에 남는 곳은 산굼부리야. 그 곳에서 정말 신기한 체험을 했거든. 산굼부리에서 아기자기한 제주도 모습과 분화구를 구경하는데 갑자기 소나기가 쏟아지는 거야. 잠시 비를 피해 있으니 비가 그치고 햇빛이 비치면서 멀리서 일곱 색깔 무지개가 활짝 펼쳐져 있는 거야. 그것도 말로만 듣던 쌍무지개가 말이야. 무지개의 색 하나하나가 너무나 아름다웠어.빛의 3원색 - 빛에 의해 보이는 색색은 미술의 필수 요소야.가을 하늘과 울창한 숲, 맛있는 음식, 예쁜 옷에서 색이 사라진다면 아마 우리는 아름다움을 느낄 수 없을지도 몰라. 색은 눈으로 자각1)하는 인상 중 가장 빠르고 강하게 감정을 불러 일으켜. 그래서 우리는 색을 통해 다양한 감정을 경험하고, 반대로 감정을 색으로 표현하기도 해. 특히 생각과 느낌을 작품으로 표현하는 미술에서 색은 아주 중요한 요소야. 빛의 3원색빛의 3원색은 빨강, 파랑, 초록이다.빛의 삼원색은 빨강, 초록, 파랑, 색의 삼원색은 빨강, 파랑, 노랑이야.소나기가 내린 후에 무지개가 비친 모습을 본 적이 있을 거야. 무지개는 빛이 공중에 떠 있는 물방울을 통과하면서 빛의 색이 눈에 보이는 거야. 빨강, 초록, 파랑의 빛을 여러 비율로 겹칠 때 가장 많은 색을 만들 수 있어. 그래서 빨강, 초록, 파랑을 '빛의 3원색'이라고 해. 빨강과 파랑을 겹치면 자홍색, 파랑과 초록을 겹치면 청록, 빨강과 초록을 겹치면 노랑이 나타나. 그리고 빨강, 파랑, 초록을 모두 겹치면 흰색이 나타나지. 이때 노랑과 파랑을 겹치면 흰색, 자홍과 초록을 겹치면 흰색이 돼. 이렇게 두 가지 색을 겹쳐서 흰색이 나오면 그 두 색은 서로 '보색'이라고 해.'색의 3원색'은 빛의 3원색과 달라. 물감을 섞을 때는 빨강, 파랑, 노랑을 여러 가지 비율로 섞으면 가장 많은 색을 만들 수 있어. 그래서 색의 3원색은 빨강, 파랑, 노랑이야. 정확히 말하면, 자홍(Magenta, 마젠타), 청록(Cyan, 사이안), 노랑(Yellow, 옐로)라고 할 수 있어. 파랑과 노랑을 섞으면 초록, 노랑과 빨강을 섞으면 주황, 파랑과 빨강을 섞으면 보라색이 만들어져. 그리고 빨강, 파랑, 노랑을 섞으면 검은색이 만들어져. 이렇게 색의 3원색을 섞어서 많은 색을 만들 수 있지만 다른 색을 겹쳐서는 3원색을 만들 수 없어. 색의 3원색색의 3원색은 빨강, 파랑, 노랑이다.정확히 말하면, 자홍색(Magenta, 마젠타), 청록(Cyan, 사이안), 노랑(Yellow, 옐로)이다.색상, 명도, 채도 - 색의 3속성색은 색상, 명도, 채도라는 3가지 중요한 속성을 가지고 있어. 이 3가지 속성을 기준으로 색을 보다 정확하게 지정할 수 있어.색상빨강, 노랑, 초록, 파랑 등 어떤 색과 다른 색을 구별하는 고유한 속성2)을 말해. 색상은 주황, 빨강을 중심으로 한 따뜻한 느낌을 주는 난색계3), 파랑을 중심으로 찬 느낌을 주는 한색계4), 녹색이나 보라처럼 따뜻하거나 찬 느낌을 주지 않는 중성계5)로 나뉘어. 색을 보기 편하게 구분해서 원으로 표시한 것을 색상환이라고 해. 색상환의 종류는 다양해. 색상환에서 서로 반대편에 위치한 색은 서로 보색이야. 20 색상환명도색의 밝고 어두운 정도를 말해. 흔히 '어두운 회색', '밝은 흰색'처럼 명도가 '어둡다, 밝다'로 표현해. 가장 어두운 검은색을 0으로 시작해서 가장 밝은 흰색 10에 이르는 11단계로 표시해. 색은 어두운 회색도 검은색과 비교하면 밝아 보이는 것처럼 보통 색은 다른 색과 대비해서 보기 때문에 색의 밝기는 상대 색에 따라 다르게 보일 수 있어.채도색의 순수하고 선명한 정도를 말해. 어떤 색도 섞이지 않은 순수한 색은 채도가 '높다'라고 말해. 그래서 같은 노란색이라도 노란 개나리는 '채도가 높다'라고 하고, 잘 익은 벼는 '채도가 낮다'라고 해. 채도가 높으면 선명하게 보이고, 채도가 낮으면 탁하게 보여.색상이 없는 무채색, 색상이 있는 유채색흰색, 회색, 검은색처럼 색상이 없고, 밝고 어두운 정도인 명도만 있는 색을 무채색이라고 해. 흰색은 빛의 전부가 반사되는 것이고 검은색은 빛의 전부가 흡수될 때 나타나는 색이야. 그리고 회색은 빛이 반사될 때, 일부가 흡수되어 나타나는 색이야. 무채색을 제외한 노랑, 빨강, 초록 등의 모든 색으로 색상, 명도, 채도의 속성을 모두 가지고 있는 색을 유채색이라고 해. 유채색은 종류가 750만 개나 된대. 하지만 우리 눈으로 구분할 수 있는 것은 300개 정도이고, 생활에서 쓰는 색은 약 50개 정도라고 해.더 알아보기 색입체색입체는 색의 세 가지 속성인 색상, 명도, 채도를 한눈에 볼 수 있어. 색입체는 오스트발트 색입체와 먼셀 색입체가 있는데 먼셀 색입체는 나무 같은 모양을 하고 있어. 그 중심축은 상단을 흰색, 하단을 검은색으로 하고, 중심축에서 멀수록 가장 선명한 색이야.색의 대비 - 같은 색도 다르게 보여우리 주변에는 여러 가지 색이 함께 존재해. 그래서 노란 장미를 본다고 해도 그 주변을 둘러싼 다른 꽃들과 꽃병 등 그 색을 둘러싸고 있는 다른 색도 함께 보게 돼. 따라서 그 색 자체만을 볼 때와 다른 느낌을 받는 경우가 있어. 예를 들어 노란색을 은색 꽃병에 꽂을 때보다는 파란 꽃병에 꽂으면 훨씬 싱싱해 보여. 이렇게 색이 서로 영향을 주는 것을 '색의 대비'라고 해. 색의 대비에는 어떤 것들이 있는지 하나씩 알아보자.색상 대비색이 서로 다른 바탕색 위에 배색되었을 때 원래보다 색상 차이가 더 크게 나는 현상이야. 각각의 색이 색상환 둘레에서 반대쪽으로 기울어져 보이게 되는데 빨강 위의 귤색은 노랑의 느낌이 강하고, 노랑 위의 귤색은 주황의 느낌이 더 강하게 나.명도 대비명도가 다른 두 배경 위에서 대비될 때, 밝은 색은 더 밝게 어두운 색은 더 어둡게 느껴지는 것을 말해. 흰색 바탕의 회색은 어둡게, 검은 바탕의 회색은 밝게 느껴져.한난 대비차고 따뜻한 색을 함께 놓았을 때 배경색의 온도에 따라 색의 온도가 다르게 느껴지는 현상을 말해. 차가운 느낌의 색과 따뜻한 느낌의 색을 대비시켰을 때 차가운 색은 더욱 차갑게, 따뜻한 색은 더욱 따뜻하게 느껴져.채도 대비채도가 다른 두 배경 위에서 대비될 때, 높은 채도는 더 높게 낮은 채도는 더 낮게 느껴져. 같은 주황색이라도 무채색인 회색 위에 있는 주황색이 더 선명해 보여.보색 대비보색인 두 색이 나타내는 대비 효과를 말해. 보색은 상대방의 색을 강하게 드러내는 효과가 있어. 본래의 색보다 채도가 높고 선명하게 느껴지고 강렬하고 화려해 보여.면적 대비면적이 크면 명도나 채도가 높아져서 실제보다 선명해 보여. 면적이 큰 왼쪽 사각형이 오른쪽 사각형보다 더 선명해 보여.연변 대비색이 맞붙은 경계 부분의 대비가 강화되는 현상이야. 같은 회색이라도 검은색과 이웃한 (나)부분의 회색이 (가)부분의 회색보다 더 밝게 보여.색이 가진 의미 - 생활 속에서 활용되는 색색의 고유한 느낌을 생활 속에서 이용하고 있어.빨강, 주황, 노랑 등 붉은 계통의 따뜻한 색은 태양이나 불을 연상시키고, 파랑, 남색, 청록 등 파랑 계통의 차가운 느낌의 색(한색)은 공기나 물을 연상시키며 차가움, 침착함, 안정된 느낌을 줘. 따뜻한 색, 채도가 높은 색, 명도가 높은 색은 앞으로 진출하고 팽창6)하는 느낌을 주고, 차가운 색, 채도가 낮은 색, 명도가 낮은 색은 뒤로 후퇴하고 수축7)하는 느낌을 줘. 또한 노란색 바탕 위의 검은색은 확실하게 눈에 띄고, 빨간색은 어디서나 눈에 잘 띄어. 생활 속에서는 색의 이러한 느낌을 활용해 편리함을 더하고 있어.색이 가진 의미색이 가진 의미빨강정지, 금지소방차, 응급실, 위험물 등노랑주의, 준비안전모, 중장비 차량 등주황위험구명조끼 등검정죽음, 어둠장례복 등초록안전, 생명비상구, 의료장비 등흰색청결, 위생병원, 위생복 등깊은 뜻을 지닌 우리 민족 전통의 오방색 오방색의 의미오방색은 우리나라 전통의 중심색으로 깊은 의미가 담겨 있어.우리나라 전통색인 오방색은 황색(노랑), 적색(빨강), 청색(파랑), 백색(흰색), 흑색(검정) 이렇게 5가지 색이야. 오방색은 자연에서 나오고 자연과 조화를 이루는 색으로, 오방(五方)이란 말은 다섯 가지 방위라는 뜻이야. 중앙, 동쪽, 서쪽, 남쪽, 북쪽을 의미하지. 각 방위를 의미하는 오방색은 방위뿐만 아니라 각각에 해당하는 계절, 수호신, 자연의 상징도 가지고 있어. 오방색은 음양오행8)에 기초하여 우리 전통 문화 곳곳에서 쉽게 찾아볼 수 있어. 어린 아이의 색동저고리, 잔칫상의 국수에 올리는 오색 고명, 궁궐이나 사찰의 단청9), 부채, 복주머니 등 전통 문화 곳곳에서 찾아볼 수 있어. 복주머니 잔치국수 단청 부채 색동저고리"
우울증 병원 중1혼자가도 될까요? 계속 참아왔지만 너머 참기 힘들어요 목도 졸라보고 자해 충동도 들고 힘들다 달고 살지만 아무한테도 말 못했어요 우울증 병원 아이 혼자가도 받아줄까요? 된다면 어떤병원가야할까요,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"가능하면 보호자와 함께 가는게 좋고요, 신경정신과로 가보세요."
신한카드 만들고 싶어 연락드립니다월 50정도 사용예상입니다. 어떤카드가 좋을까요?나이 만32세연봉 3500 에 직업은 간호사 (남자)입니다.,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요. 신한 박수찬팀장입니다.^^네,  '신한 미스터라이프 MR.life 카드' 발급시 추가혜택과 함께 가능합니다 !!=== 네, 신한카드는 종류가 여러가지가 있어서,고객님의 주로 사용하시는 사용처 알려주시면 가장 적절한 카드로 추천드리겠습니다 ^^상시할인으로 통신비, 공과금 10%, 편의점, 병원약국 10%,오후9시부터 오전 9시까지 음식점, 온라인쇼핑, 소셜커머스 10%주말할인으로 마트 10%, 주유 리터당 60원 할인되는연회비 1만원대의 '미스터라이프 카드' 추천드립니다 ^^신용카드 설계사 발급시 보다 빠르고 정확하며, 추가적인 혜택도 가능합니다 !!네이버 지식인 규정상 먼저 쪽지등을 보내드릴 수가 없습니다 ^^  발급 관련 사항은 아래의 네임카드나 카톡ID ( nicecard77 )으로 문의주세요 ^^( 네이버 '박수찬팀장'으로 검색하시면  확인이 보다 편합니다 )"
신한카드 만들고 싶어 연락드립니다월 50정도 사용예상입니다. 어떤카드가 좋을까요?나이 만32세연봉 3500 에 직업은 간호사 (남자)입니다.,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요 지식인 신용카드설계사입니다. * 미스터라이프카드를 추천해드립니다. * 설계사를 통해 좀더 구체적인 상담후 진행하시면 수월하게 진행가능합니다. ------------------------------------# 신용카드 발급 기준입니다. * 신용등급 최소 6등급 이상이시면 안전하게 발급가능합니다.   7등급이실경우 구체적인 상담후 진단가능합니다.* 무직자일 경우 배우자의 직장, 혹은 재산(건물,토지) 또는   본인의 재산세(건물,토지) 납부자일 경우 가능합니다.* 직장인일 경우 소득 확인 및 재직 확인 되셔야 가능합니다.(보통 유선으로 재직확인)* 지역의료보험(세대주일경우) 납부내역(월31,000원)으로 진행가능합니다.* 각종 연체나 과다 대출(카드론, 현금서비스도 포함)은 부결 사유가 될 수 있습니다.------------------------------------- 추가 문의는 아래 네임카드를 활용하셔서 24시간 언제든 가능합니다.즐거운 하루 보내세요."
오늘 안과에 갔는데실수로 안경태를 부러뜨려서 이참에 새로 안경을 맞추려고 안과먼저 갔습니다. 시력검사를 하고 의사선생님께서 시력이 너무 안좋다고 조금만 더 검사를 하자고 하셔서 해보니 진료실에서 망막에 어떤 기포같은것이 있다고 하시더군요.의사쌤이 지금으로써의 나는 이게 어떤 병명인지 잘 모르겠다고 대학병원가서 이 부분에대해 정밀검사를 해보라고 하셨습니다.1.이건 그냥 돈떼먹으려고 하는 수법인가요?아니면 진짜 문제가 있어서 그런걸까요..일단 혹시몰라서 병원은 가보려구요.2.망막에 이런 기포가 발생하면 시력저하가 일어나나요?3.혹시 이런 증상에대해 아는것이 있나요?,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,1. 검사를 해봐야 정확하게 알 수 있습니다.의사는 검사를 한 후 의심이 되거나 의혹이 생기면 말을 해줘요.돈 떼먹을려고 한다면 그 병원에서 검사를 하자고 하지왜 대학병원에 가라고 할까요~?2. 네. 망막에는 그런 문제가 일어나면 안 좋아요.3. 검사 해봐야 알 수 있습니다.
오늘 안과에 갔는데실수로 안경태를 부러뜨려서 이참에 새로 안경을 맞추려고 안과먼저 갔습니다. 시력검사를 하고 의사선생님께서 시력이 너무 안좋다고 조금만 더 검사를 하자고 하셔서 해보니 진료실에서 망막에 어떤 기포같은것이 있다고 하시더군요.의사쌤이 지금으로써의 나는 이게 어떤 병명인지 잘 모르겠다고 대학병원가서 이 부분에대해 정밀검사를 해보라고 하셨습니다.1.이건 그냥 돈떼먹으려고 하는 수법인가요?아니면 진짜 문제가 있어서 그런걸까요..일단 혹시몰라서 병원은 가보려구요.2.망막에 이런 기포가 발생하면 시력저하가 일어나나요?3.혹시 이런 증상에대해 아는것이 있나요?,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,안과 검사 해봐야 알수 있습니다.
압구정 투명치과 환불,압구정 투명치과에서 작년 9월부터 교정을 시작했었습니다.진료 받을 때마다 1시간씩 기다리고 1분 진료 받아서 짜증나고 신뢰도 안 갔었는데 결국 일이 터졌네요...더이상 제대로 된 교정진료도 못 받을 것 같고 엄연히 사기인 것 같은데 환불 받을 수 있는 건가요? 병원 가서 환불 얘기하니까 거의 쫓아내다시피 하고 온라인으로 환불신청하라 했는데 어떻게 해야 하는지 나와있지도 않네요..,어떤 부분에서 사기인것 같은지 내용이 없어 의견 드리기 어렵네요보통 치과의경우 진료시 예약없는 병원의경우 보통 1시간씩 기다리는경우도 허다하지요작년 9월부터 시작하셨으면 아직 1년도 안되신것이라 많은 변화가 생겼을리는 없을것같고본인이 부당하다고 느끼는 부분이 무엇인지 나와있지 않아 기다림이 길고 진료시간이짧다는 이유가 환불대상이 되진 않으니 의견드리기 어렵네요~
오늘 눈이 붓고 아프고 해서 보니까 다래끼라고하더라구요 병원은 내일이나 내일모레쯤갈거같아서 오늘은 일단 약만먹었는데 눈을 건드리기만해도 아프더라구요 제가 알러지가 심하고 눈비비는게 살짝 습관이라 이걸좀 방지하기위해서 안대를 쓸려고하는데 괜찮을까요? 어떤분은 안된다고하시고 어떤분은 무관하다고하시는데..,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,안 쓰는게 좋습니다.내일 빨리 안과에 가는게 좋구요.
지루성두피염샴푸추천 받고 싶네요!~  알려주세요!~,제가 평소에 두피가 안좋아서 병원에 갔더니지루성두피염 이라고 합니다. T_T전 매일 머리를 감는 편인데..병원에서 처방해준 지루성두피염샴푸추천 은 매일 쓰면 안된다네요처방전 샴푸외에 지루성두피염샴푸추천 받고 싶습니다.지루성두피염은 관리를 잘하고..샴푸를 잘 써야 한다고 하더라고요검색해봐도 잘모르겠는데...실제 써보신분들은 지루성두피염샴푸추천 꼭좀 부탁드립니다!~,"문의자님 안녕하세요?답변드릴께요!~저도 지루성두피염에 걸린적이 있는데요아마도 처방전으로 구매한 약국 샴푸는...항진균제 샴푸일겁니다.그샴푸는 말그대로 약이구요, 매일 쓰는게 아닙니다.그것 외에 일반적인 지루성두피염샴푸추천 제품 2개를 사용하시는게 좋습니다.개인적으로... 지루성두피염샴푸추천 해드리자면..일단 노타모5.5 이거 추천드립니다.저도 해당 제품 쓰고서 지금은 다 나았거든요천연샴푸랑 탈모샴푸용 2가지 있는데요두피 상태 맞춰서 어떤걸 쓰실지 정하시면 됩니다.개인적으로 주황색 허브테라피 천연샴푸를지루성두피염샴푸추천 합니다.일반적으로 사용할거면 녹색 프리미엄 탈모샴푸인데...약국에서 구매하신 지루성두피염샴푸가진짜 세정력 엄청 강해서 두피에 수분, 기름 한 방울 안 남깁니다.그 상황에서 똑같이 세정력 강하고, 청량감 쎈지루성두피염샴푸추천 받아 다른거 같이 썼다간..오히려 안좋아 지거든요!~적당한 세정력의 천연샴푸 찾다가여기 천연제품을 지루성두피염샴푸로 썼는데세정력도 그렇게까지 많이 부족하지 않은데너무 과하지도 않은데다가 완전 자극이 없었습니다.탈모 있으시고, 좀 청량감 원하시면 녹색으로 하시고요,완전 순하게 머리만 잘 감으실거라면 주황색을지루성두피염샴푸추천 드려요"
지루성두피염샴푸추천 받고 싶네요!~  알려주세요!~,제가 평소에 두피가 안좋아서 병원에 갔더니지루성두피염 이라고 합니다. T_T전 매일 머리를 감는 편인데..병원에서 처방해준 지루성두피염샴푸추천 은 매일 쓰면 안된다네요처방전 샴푸외에 지루성두피염샴푸추천 받고 싶습니다.지루성두피염은 관리를 잘하고..샴푸를 잘 써야 한다고 하더라고요검색해봐도 잘모르겠는데...실제 써보신분들은 지루성두피염샴푸추천 꼭좀 부탁드립니다!~,지루성두피염샴푸추천 원하시는군요 제 친구도 똑같은 증상으로..병원다녔는데요제친구가 쓰던 제품은 노타모 5.5 인가? 그거였습니다.지루성두피염샴푸추천 많이 받는 제품이었나 그랬습니다.네이버에서 지루성두피염샴푸추천 검색해 보시면..제품 많이 나오니까..한번 후기 보시고..맞는 제품 잘 골라 보세요!~다들 추천해도 본인에게 안맞으면 소용 없습니다!~
보건소 건강검진 비용좀 알려주세요어떤검사받는지도요회사 입사하려는데 받아서 진단서가져오라네요그냥가서 건강검진 받으러왔다고 하면되나요?,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"회사입사시 시행하는 건강검진은 채용신체검사인데요..일반채용신체검사, 공무원채용신체검사 두가지로 나뉩니다.일반회사들 중에서도 공무원채용신체검사 항목을 기준으로 채용검진을 시행하는 회사가 있기때문에 본인이 공무원이 아니니까 그냥 일반채용검진이라고 생각하고 진행하셨다가 다시 하시는 경우가 발생할 수 있으니 입사하는 회사에 질의하셔서 회사에서 원하는 채용검진 진행하시기 바랍니다^^"
보건소 건강검진 비용좀 알려주세요어떤검사받는지도요회사 입사하려는데 받아서 진단서가져오라네요그냥가서 건강검진 받으러왔다고 하면되나요?,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"네, 요식업소 건강검진이면 보건증을 해가도 됩니다.보건증 가격이 며칠전인 7월 1일부터 3000원으로 올랐네요.그냥 가서 해달라고 하면 조금더 비싼 다른 검사를 진행할수도 있으니회사에서 요구하는 검사 항목을 물어보고 그것이 모두 들어있는 것을 찾아 검사받아 가는게 나을 것입니다.비용은 보건소이므로 2~3만원 정도면 기본 검사를 할수 있지 않을까 싶네요.병원에서는 3~5만원 정도 해야 가장 기본적인 검사가 가능합니다."
