제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2021.04.02.|2021.04.06.&section=kin&page=1
외국인 간호조무사,본론부터 말할게요저는 한국에서 10년간 거주한 외국인입니다.간호조무사 자격증을 따고 병원에서 근무를 하려고하는데외국인이다보니 이래저래 복잡하더라구요.출입국사무소에서도 간호조무사 자격증가지고는 병원근무를 할 수 없다고하고..1.외국인은 간호조무사 자격증가지고 병원근무가 안되나요?2.된다고하면 어떤방법이 있습니까?,"해외에서 학교를 다니셨다면 ​고등학교나 대학교 졸업 증명서를 인증하셔서 가져오셔도 됩니다!​​법무 법인이나 공증 사무소,  법률사무소 혹은 행정 사무소로​학력을 증명하는 서류만 내시면 법 절차를 거쳐서 살았던 국가의​대한민국 영사관에 방문하셔서 다시 신청하시면 되겠습니다 !​​​여행사 같은데서도 대리 절차를 가끔 진행한다고 하기 때문에​문의를 하셔도 될 것 같네요!​​​국적에 따라 상이할 수 있습니다 ​​또한 외국인이면 간호조무사 자격증을 가지고 근무하시려면 ​우선 워킹 비자가 필요하시기 때문에 우선 발급받으시는​절차를 거쳐야 합니다​​우선 한국에서 장기취업을 하시려면 E계열의 비자를​발급받으시는 절차를 거치셔야 하실 텐데요​E-7 비자인 특정활동비자를 목표로 하셔야합니다!​​E-7 비자의 발급 조건은 희망하는 직종 분야 석사이상의 학위​혹은 학사 이상 학위와 1년의 경력 혹은 직종 5년 이상의 경력이​필요합니다​​또한 외국인으로 학위를 취득하려면 우선​고등학교를 졸업한 학력이 있으셔야 하며 ​​★ 첫번째로 외국인 등록증이 필요하시고요​​★ 두번째는 출입국 사실증명서를 출입국관리 사무소에     가셔서 신청을 하신 뒤에 발급받으시면 되겠습니다​★ 세번째로는 초등학교에서 중학교와 고등학교까지의     성적증명서를 타국어로 되어있으면 한국어로 번역을     받은 뒤 행정사무소에서 공증을 받으시면 됩니다​★ 네번째로는 고등학교 학력인정 확인서를 받으셔야     하는데 거주지에 본인 국가의 영사관에 가셔서     학력원본에 도장을 받으셔야 합니다​따로 대학교를 졸업하신 경우,​★ 첫번째로 역시 외국인 등록증이 필요하고요 ​★ 두번째로는 출입국 사실증명서로 역시     출입국관리사무소에 가셔서 서류를      신청하시면 되고 출생일로부터 지금까지     일자가 등록된 걸로 신청하시면 되겠습니다​★ 세번째로는 대학교 졸업증명서나 성적증명서를     다른 언어로 되어있는 경우 한글로 번역 한 뒤     공증받으시면 되겠습니다​이렇게 서류를 준비하시면 됩니다​​출입국 업무를 주로 보는 행정사 사무소에 문의를​해보시면 더욱 자세한 정보를 얻으실 수 있습니다​​그러나 학사 학위가 없으실 경우 간호조무사로​근무를 하기 위한 E-7 비자를 발급받을 수 없는데요​​만약 학위를 한국대학에 나오지 않고도 받으실 수​있는 방법에 대해 흥미가 있으시면 아래 링크를​통해 메시지를 남겨주시기 바랍니다ㅎ​​              ★학점은행제 1:1무료 상담방★ #학점은행제 #학력개선 #사회복지사 #보육교사 #국가기술자격증 #산업기사 #대학원 #편입 #학습플래너 #평생교육원 #무료상담 #학위취득 open.kakao.com            ​",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40610&docId=386489741&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=111&search_sort=3&spq=0
제 혈당 비정상인가용,14살 학생이고 혈당 공복에 재니까 104 나왔는데 비정상인가요?,정상입니다.병원마다 기준이 조금씩 다릅니다.어떤 곳은 100 이하가 정상이라고 하고 어떤 곳은 110 이하를 정상이라고 합니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=708&docId=386489527&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=112&search_sort=3&spq=0
"다이어트 한약, 다이어트 한의원에 대해 궁금한 점이 있어요 (안산 고잔동 20대초반/남 다이어트한약)",다이어트 한약 / 다이어트 한의원에 대해 궁금한 점이 있습니다. 설명해주세요. - 다이어트 한약 효과 있는지? - 다이어트 한약이 효과 있다는 근거는 무엇인지? - 다이어트 한약이 효과 있다면 원리는 무엇인지? - 다이어트 한약 부작용은 없는지? - 다이어트 한의원에 가면 어떤 치료를 받는지?,"안녕하세요, 경기도한의사회 닥톡-네이버 지식iN 상담한의사 김현성입니다. 서울 홍익병원 연구팀의 연구 ‘체중감량 성공에 효과적인 체중감량요법 그리고 체중감량 성공과 정신건강 간의 상호관계분석(국민건강영양조사, 제7기 1차년도 자료분석)에 따르면, 체중감량을 시도한 2161명(남성 758명, 여성 1403명)을 대상으로 한 설문조사에서 8가지 체중 감량법(한약, 의사처방약, 식이요법, 건강기능식품, 결식, 단식, 운동, 원푸드다이어트) 중 다이어트 성공률 1위는 한약복용’이라는 조사결과가 있습니다. 그만큼 다이어트 한약으로 효과를 경험한 분들이 많다고도 볼 수 있는데요. 다이어트 한약은 어떤 효과가 있을까요? 다이어트의 기본원리는 식사량(input)을 줄이고, 운동량(output)를 높여 인풋과 아웃풋의 차이만큼 체중이 감량되는 것입니다. 다만 너무 안먹고 운동을 하면 오히려 건강을 해칠 수도 있기 때문에 균형있는 식사와 적절한 대사량확보가 필요합니다. 누구나 알지만 근무, 학업과 병행하는 경우가 많기 때문에 꾸준히 실천하기는 어렵다는 점이 문제인데요. 이 경우 다이어트 한약으로 도움을 받을 수 있습니다. 한약 다이어트는 기초 대사랑의 증가와 더불어 식욕억제에 효과가 있다고 과학적으로 입증되어 있습니다. 식욕억제를 통해 식사량(input)을 줄이고 대사량의 증가로 운동효과(output)를 높여 인풋과 아웃풋의 차이만큼 다이어트 효과를 보는 원리입니다. 포만중추에 쉽게 자극이 오지 않는 사람일수록, 포만중추가 둔감하게 반응해서 적정량 이상 과식하게 되면서 살이 찌기가 쉬운데요. 다이어트 한약은 빠르게 포만감을 느끼게 해주어 과식을 예방하고, 적정량을 먹는 건강한 습관을 형성하도록 돕습니다. 보통 다이어트 약하면 아래의 증상을 걱정하시는데요. 보통 두근거림, 수면불편감, 손떨림, 어지럼증 정도를 많이 호소하십니다. 대사가 항진되는 경우 어느 정도 두근거림 및 수면불편감이 발생할 수 있는데요. 대사량을 높이는 약의 농도를 조절하면 해소되는 증상으로, 내 몸에 맞게 약의 농도를 조절하여 처방을 하는 경우, 불편한 증상 없이 목표한 효과를 얻을 수 있습니다. 또한 다이어트를 열심히 하는 동안 손떨림, 기립성 현훈을 호소하는 분들도 계시는데요. 한약 복용과 관계없이 식사를 과하게 제한(input)한 상태에서 대사량이 증가(output)하여 당이 일시적으로 부족하게 될 때 나타나는 증상으로 적절한 식단 관리를 통해 해소할 수 있습니다. 한의원에서는 자세한 문진을 통해 환자분의 평소 몸상태(체질, 신체증상, 생활습관, 비만 타입 등)을 분석하여 체중증가의 원인을 파악하여 환자분의 특성에 맞게 다이어트 한약을 처방하게 됩니다. 또한 주기적인 상담을 통해 몸 상태를 파악하고 복용량 및 식단조절을 도와드리기 때문에 심리적인 지지를 받으며, 당시의 몸상태에 맞게 처방받아 보다 안전하게 감량하실 수 있습니다. 가까운 한의원에 내원하여 다이어트 상담 받아보시고, 성공적인 감량하시길 바랍니다. 감사합니다.※ 한의사 전문가의 예상 치료비, 할인 가능 여부, 편집된 답변 내용 등 추가 정보가 궁금하시면 아래 출처를 통해 확인할 수 있습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70307&docId=458895925&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=113&search_sort=3&spq=0
이런 증상은 어디가 아플때 생기나요?,이마와 손이 차갑습니다. 식은땀이 나고 어지러워 주져 앉게 됩니다. 아침이라 빈속인데 답답합니다. 잠시 시간이 지나서 괜찮아 졌어요. 어떤 경우 생기는 증상인지 무얼조심 해야하는지 알고싶습니다.,일단 병원에 다녀오세요 별거 아닌것 같아도다녀오시는게 나을 거에요​,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=386487006&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=121&search_sort=3&spq=0
베인상처 치료법,칼에 베였는데 파인상처가되었는데밴드붙이나요 메디폼붙이나요,소독은 하셨나요?어떤 것이든 상관 없으나 베인 상처가 깊으시면 병원에 가셔야합니다만약 그리 깊지 않으시다면 지열하시고 소독하시고 후시딘바르시고 밴드 붙이시고 며칠 지나면상처가 흉터지지 않게 마지막에는 마데카솔을 바르시면 됩니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=386486767&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=122&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀의 일종이네요한국에 서식하는 종이 아니라 잘 모르겠지만독이 굉장히 센 녀석이에요증상이 나타나지 않은건 드라이바이트라고 해서 물렸지만 독이 주입되진 않은 걸수도 있어요그러길 바라며병원은 무조건 가세요움직임은 최소화하시고 물포함 어떤것도 드시지 마시고상처부위를 심장보다 높이 올리지 마시고 반지같이 몸에 조이는 걸 빼시고 이 외엔 아무 조치하지 마시고 병원으로 가세요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70122&docId=386486526&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=123&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀 엄청 치명적인 독사뱀입니다병원 빨리 가보세요
임플란트 질문드립니다,임플란트 하면 영구히 쓸수 있는지요?보통 기간을 얼마나 쓸수 있는지요?,"어금니염증이 심하지 않고, 어금니발치해야 하지만, 어금니가 아직 뿌리가 남아있는 경우라면,뿌리를 제거하는 당일 발치 (즉시임플란트)를 추천드립니다.기존에는 치아를 빼고 서너 달 기다리고 난 후, 다시 임플란트 수술을 하는 데요.                    발치하자마자 바로 임플란트를 하는 (원데이임플란트)가 추천됩니다.임플란트뼈이식 수술은 동시에 하게 됩니다. 발치즉시임플란트는 기존 방법보다 대략 6개월 빠를 수도 있습니다. (임플란트기간)은  총 4개월 정도이면 최종 완성되기도 합니다. ​​                    연세화이트산타치과입니다.​​임플란트통증 하면 젊은 분이시나 연세든 분이시나 누구나 다 무섭고 두려운 것이 먼저인 것 같습니다.​치과는 너무 무서워요! 치과공포증 줄여드리는 수면치과치료​'치과'라고 하면 어떤 이미지가 떠오르시나요? 통증, 두려움, 공포​이러한 치과 치료의 고통을 덜어줄 방법이 있죠,바로 수면치과치료입니다.일명 (치과수면치료) 혹은 (수면임플란트) 방법이 있습니다.​울산, 창원, 강릉, 제주, 대전, 이천 등등 에서도(수면임플란트)하러 오십니다 ~​​(어금니임플란트 가격)은 어떻게 할까요?              수면치료 | 분당치과 연세화이트산타치과의원 수면치료란 수면치료의 장점 수면치료의 종류 수면치료가 가능한 치료 수면치료가 필요하신분 수면치료의 과정 수면치료 전 준비사항 수면치료 후 주의사항 white-santa.com            ​(수면임플란트)로 (원데이임플란트) 수술 어떻게 하나요?                 ​"
어떤 병원을 가야하나요?,주먹을 쥐면 손이 떨려요세게 쥐면 떨리는건 정상이지만 저는 힘을 주지않아도 손이 떨려요1년 넘게 그러는데 어디 병원을 가봐야하나요?,신경과 가시는 게 좋을 것 같습니다. 얼른 진료 받아보세요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=386405911&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=403&search_sort=3&spq=0
어떤 병원을 가야하나요?,주먹을 쥐면 손이 떨려요세게 쥐면 떨리는건 정상이지만 저는 힘을 주지않아도 손이 떨려요1년 넘게 그러는데 어디 병원을 가봐야하나요?,수전증아닐까요?심한수전증같아요
어떤 병원을 가야하나요?,주먹을 쥐면 손이 떨려요세게 쥐면 떨리는건 정상이지만 저는 힘을 주지않아도 손이 떨려요1년 넘게 그러는데 어디 병원을 가봐야하나요?,신경과 가시는 게 좋을 것 같습니다. 얼른 진료 받아보세요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=386405911&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=404&search_sort=3&spq=0
어떤 병원을 가야하나요?,주먹을 쥐면 손이 떨려요세게 쥐면 떨리는건 정상이지만 저는 힘을 주지않아도 손이 떨려요1년 넘게 그러는데 어디 병원을 가봐야하나요?,수전증아닐까요?심한수전증같아요
제가 우울증이라는 감기에 자주 걸립니다.,"1년 전 우울증 외 정신 질환(불안,공황 등등) 으로 병원 입원 생활 하고 수면제 그 외 약 복용 했습니다.  퇴원 후 2주 정도 약 먹다가 증상이 많이 호전되고 마음이 회복되고 안정을 찾아 약을 안 먹고 살아오다 우울감이 몇 개월 단위로 한번 왔다가 한 일주일 정도 앓고 겪고 진정 되다 또 앓고 반복적으로 찾아오더라고요.도저히 감당하기 힘든 슬픔과 여러 생각으로 인해 아 다시 병원 입원을 해야 할지, 약물 치료를 다시 해야 할지,고민이 많았습니다. 이번에도 우울감이 들어서 많이 힘든 상태고 몸과 마음이 지쳐서 잠도 못 자고 안정적인 삶과환경은 아니라는 생각이 드네요. 사실이기도 하고요. 코로나 시국이라 정신 병동 입원도 꽤나 힘든 상황이고 약물치료와 상담을 받으려고 합니다. 그리고 저는 검정고시를 준비 하고 있고 대인 관계조차 없어서 더욱 더 외롭고 우울증에 걸릴 요소들이 많거든요. 우연히 제가 퇴원 후에 단기 알바를 하며 사회에서 만난 한 사람과 지금까지 연애 중이지만, 안일한 남자친구 때문에 더 고민이 많은 것 같습니다. 1. 제가 이기적인 건지,남자친구가 밉기도 한데요. 제가 빈혈과 코피, 잠을 하루를 못 잤습니다. 그리고 아침에남자친구와 영상 통화를 하며 눈이 붓고 코가 헐도록 울었는데요. 말 조차 없고 그냥 영상 속 제 얼굴만 보고 있더라구요.제가 잠을 못 자서 잠을 잘 수 있게 얘기 좀 해달라, 그리고 마음이 많이 불안하고 힘들다 얘기 좀 해달라 부탁을 하여 통화를 했는데 우울증에 걸린 저를 챙겨주지는 못하는 것 같아 여러 복합적인 생각이 들더라구요.  아 내가 우울증인데 남자친구나 가족들에게 밝히면 안되는 건가.. 괜히 도움을 바라고 챙김과 보살핌을 바라는 걸까 싶기도 하고 이기적인건가 생각이 들더라고요. 한편으로는 아무 얘기 없이 흐느끼고 우는 저를 보고 바라만 보는게 맞는 것일까 싶기도 하구요. 다른 분들 입장도 궁금해서 제가 이상한건가요.... 제가 민폐를 끼치고 있는 건가요. 그냥 아무에게도 바라지 않고 혼자 견뎌내야 하는 시간인 건가요..  나를 챙겨달라 라고 말을 해야 하는 건지 저도 잘 모르겠습니다.. 병원 치료는 받기로 해서 병원 가라는 둥 그런 얘기 안 해주셨음 좋겠습니다... 아마 제가 무기력하고 우울감에 휩싸여 날카로워지긴 하는데요..  정말 머리가 아픕니다..","여러가지 상황이 혼재되어 있는 것 같아 마음이 아프네요. 일단 우울증이 심화되고 자주 재발하고 계시다면, 단순한 감기를 넘어서 병이라고 보셔야 합니다. 병리적 우울증은 대인관계는 물론, 공부, 일상생활 적인 부분에서도 어려움을 느끼게 만들죠. 이 부분을 깨닫고 스스로의 노력보다는 병의원 및 전문가를 통해 도움을 받기로 하셨다니 정말 대견하고, 다행이란 생각이 듭니다. ​그리고 남자친구나 주변 사람들의 경우는 이야기 하는게 문제가 아니에요. 문제는 내가 이렇게 아프니까 당신들은 날 위로해 줘야 하는 거 아냐?내가 잘못한거야? 나 지금 이렇게 아픈데?라는 아픈 생각들이 문제라면 문제일 수 있어요.​말은 할 수 있지만, 내가 말을 했다고 해서 무조건 타인이 내게 공감하고 위로해주고 나만 위해주길 바라서는말한 본인도 자괴감을 느낄 상황을 자주 마주할 수 있고, 상대방들도 지치게 될 가능성이 있죠. ​마치 내가 선물 줬으니까, 넌 무조건 기뻐해. 라는 상대방 입장의 답정너가 되는거죠.​상대방의 오늘을 고려해주는 여유도 필요해요. 나는 오늘 이렇게 아프고, 코피도 쏟았어. 자꾸 눈물이 나네. 그래도 말하고 나니까 좀 낫다. 우울한 이야기에 너도 맘아플텐데, 들어줘서 고마워.그런데 나는 너의 오늘도 걱정돼. 사랑하는 네가 오늘 아프지 않았으면 좋겠다.너는 오늘 어땠어? 오늘 어떤일이 있었어?라고 말을 건네어 보세요. 그리고 상대방이 하는 말을 들어보세요.​대화는 일방적인 관계만 원해서는 서로가 지칠 수 있어요. 서로가 원하는 반응을 마주하기 힘들수도 있죠. 사랑은 받기만 하는 부분이 아니니만큼, 오늘은 관심을 표현해 보시는 편을 추천드려요. ​​​​​위로와 공감 등 사회복지 관련으로 채널을 만들었는데, 도움이 될까 싶어 영상 하나 남기고 갑니다.도움 되셨다면 귀찮으시더라도 오셔서 구독과 좋아요 꼭 눌러주시고 함께해주셨으면 해요. https://youtu.be/XYF--1k8RFU                 ​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=386405371&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=405&search_sort=3&spq=0
제가 우울증이라는 감기에 자주 걸립니다.,"1년 전 우울증 외 정신 질환(불안,공황 등등) 으로 병원 입원 생활 하고 수면제 그 외 약 복용 했습니다.  퇴원 후 2주 정도 약 먹다가 증상이 많이 호전되고 마음이 회복되고 안정을 찾아 약을 안 먹고 살아오다 우울감이 몇 개월 단위로 한번 왔다가 한 일주일 정도 앓고 겪고 진정 되다 또 앓고 반복적으로 찾아오더라고요.도저히 감당하기 힘든 슬픔과 여러 생각으로 인해 아 다시 병원 입원을 해야 할지, 약물 치료를 다시 해야 할지,고민이 많았습니다. 이번에도 우울감이 들어서 많이 힘든 상태고 몸과 마음이 지쳐서 잠도 못 자고 안정적인 삶과환경은 아니라는 생각이 드네요. 사실이기도 하고요. 코로나 시국이라 정신 병동 입원도 꽤나 힘든 상황이고 약물치료와 상담을 받으려고 합니다. 그리고 저는 검정고시를 준비 하고 있고 대인 관계조차 없어서 더욱 더 외롭고 우울증에 걸릴 요소들이 많거든요. 우연히 제가 퇴원 후에 단기 알바를 하며 사회에서 만난 한 사람과 지금까지 연애 중이지만, 안일한 남자친구 때문에 더 고민이 많은 것 같습니다. 1. 제가 이기적인 건지,남자친구가 밉기도 한데요. 제가 빈혈과 코피, 잠을 하루를 못 잤습니다. 그리고 아침에남자친구와 영상 통화를 하며 눈이 붓고 코가 헐도록 울었는데요. 말 조차 없고 그냥 영상 속 제 얼굴만 보고 있더라구요.제가 잠을 못 자서 잠을 잘 수 있게 얘기 좀 해달라, 그리고 마음이 많이 불안하고 힘들다 얘기 좀 해달라 부탁을 하여 통화를 했는데 우울증에 걸린 저를 챙겨주지는 못하는 것 같아 여러 복합적인 생각이 들더라구요.  아 내가 우울증인데 남자친구나 가족들에게 밝히면 안되는 건가.. 괜히 도움을 바라고 챙김과 보살핌을 바라는 걸까 싶기도 하고 이기적인건가 생각이 들더라고요. 한편으로는 아무 얘기 없이 흐느끼고 우는 저를 보고 바라만 보는게 맞는 것일까 싶기도 하구요. 다른 분들 입장도 궁금해서 제가 이상한건가요.... 제가 민폐를 끼치고 있는 건가요. 그냥 아무에게도 바라지 않고 혼자 견뎌내야 하는 시간인 건가요..  나를 챙겨달라 라고 말을 해야 하는 건지 저도 잘 모르겠습니다.. 병원 치료는 받기로 해서 병원 가라는 둥 그런 얘기 안 해주셨음 좋겠습니다... 아마 제가 무기력하고 우울감에 휩싸여 날카로워지긴 하는데요..  정말 머리가 아픕니다..","1. 일단 병원치료 받고자 결심 하신 것은 정말 잘 하셨습니다. 병원치료가 꼭 필요하다 의 측면이 아니라, 그렇게 스스로를 좋은 심리상태로 만들기 위해 방법을 꾸준히 찾으시는 것이 정말 좋은 자세에요. 분명 계속 개선되실겁니다 의지가 있으시니까요.​2. 스스로도 많이 자기 점검을 하신 것 같습니다. 우울증 걸릴 요소가 많다 등, 분석을 하신 것이니까요. 그렇지만 똑같은 대상, 똑같은 상황에서도 우울하지 않거나 혹은 우울한 정도가 달라질 수가 있지 않을까요? 상황이 힘든건 있겠지만, 그 상황을 어떻게 인식하고 긍정적으로 조금씩 더 바라볼 지, 이것도 한번 스스로 연구해 보세요.​3. 민폐 아닙니다. 단 누구나 그런 보살핌과 애정을 타인에게 주는 것은 아니니, 기대와 실망은 하지 마시고, 모쪼록 초점은 스스로에 맞춰보세요. ​조속한 상황적 개선과 목표달성 기원드립니다. 무엇보다, '난 우울증이 있는 사람이다'라는 고정된 생각은 떨치고, 밖에 나가 시원 시원스럽게 걸어 다니세요.​제 유튜브 채널의 컨텐츠를 편히 들어보시면, 현재 고민하시는 것에 대한 실마리를 운명처럼 만나실 수 있을 것입니다. 찾고 있는 바가 명확하시니까요.​마인드핵 : 실전힐링 https://www.youtube.com/channel/UCeNFJctIywsLKE5cTD0i4xw​모든 것은 자기 자신으로부터 출발합니다. 삶의 주인공이니까요. 자신의 성장을 발견하다보면 자연스럽게 자신감이 쌓이며 일들이 풀려나가기 시작합니다. 응원드립니다. 뜻하는 삶의 멋진 창조를 기원 드립니다."
늘  마음이  불안합니다.,"어릴적 부터  집안 환경이  안좋아서 늘  불안하고  스트레스를 많아 받았는데요이제  환경이  변하고   현재는  평범하고  살아가는데도~마음의  불안한  습관이  여전히  남아 있어서현재도  편치 않는  마음으로  불안합니다.심장쪽이  무겁고   생각이 복잡한데,   어떻게  해야 되는지요?","안녕하세요. 대한한의사협회-네이버 지식iN 상담한의사 이유찬 입니다.​불안한 마음때문에 많이 힘드셨겠어요.지금은 주의 환경이나 상황이 나아진 것 같다하여도 어릴 적부터 있었던 영향이 해결되지 않았다면 현재에도 영향을 줄 수가 있습니다.​스스로 '내가 어릴 적 어떤 상황이 가장 불안했었는지''그 상황들에 내가 얼마나 힘들었었는지'를 돌이켜 생각해보는 것도 좋습니다.​'아 내가 이런 상황들 때문에 그동안 상처받았구나''힘들었었구나'를 알아보는거죠.​일기로 적어보든 스스로가 생각해보면서 글로 정리하는 방법을 추천드립니다.​그리고 현재 어떤 상황들이 나를 불안하게 하는지도 정리를 해보는 방법을 추천드립니다.​막연한 불안감보다는 '아 이런 이유때문에 내가 불안하구나'를 인식하는게 제일 먼저 필요합니다.그럼 막연하지는 않으니까요. 이유가 있다면 해결책도 있을테니 먼저 왜 불안한지, 어떤 점이 나를 불안하게 하는지 생각해보는 시간이 필요합니다.​어릴 때도 힘드셨다고 하셨는데, 그 어릴 때의 영향이지금까지 영향을 준다면 너무 억울하니까요.​우선 나의 불안한 마음에 대해 정리를 해보는 시간을 가지고,그 정리한 일기나 글을 한번 제3자의 입장으로 읽어보세요.​계속 마음이 불안하고 복잡하면, 일상생활이나 직업 등에도 영향을 끼칠 수 있기 때문에,한의원이나 한방병원, 병원에 내원하셔서 상담을 받아보시길 바랍니다.​마음의 병은 오래될수록 치료도 어렵고 치료기간이 오래걸리기 때문에치료를 받아보세요. ​한의원의 경우 (한약, 뜸치료 외에도 인지요법이나 이완요법, 한방 고유의 치료법)을 통해도와드릴 수 있습니다.​너무 내가 힘들다면 가까운 한의원이나 한방병원을 찾아 진료를 받아보시기 바랍니다. 저의 답변이 조금이나마 도움이 되었으면 합니다.언제나 설레는 아침을 만나시길 바랍니다.감사합니다.​​",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=386405041&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=406&search_sort=3&spq=0
당뇨병성 케톤산증 질문,1월 병원 내원 검사 당시 당뇨병 없음 4월 (3개월 후 ) 케톤산증으로 인한 사망 3개월만에 갑자기 당뇨가 생기고 케톤산증으로 인해 사망 이게 가능한 일인가요??당뇨병을 알수있는 지표는 어떤게 있을까요,"1혈당뇨의 경우엔 가능할 수도 있습니다.1형당뇨는 하루에도 고혈당과 저혈당을 오르락 내리락 하기에 당뇨병성케톤산증으로 죽을 수도 있고,저혈당으로 인한 뇌사로 죽을 수도 있습니다.1월에 검사에서 문제가 없었는데  3개월만에 갑자기 당뇨가 생기고 케톤산증으로 사망하였다면그건 암이나 다른 질환에 의해서 당뇨가 생긴 것이므로당뇨가 주원인이 아니라 다른 질환이 원인이 되고 혈당이 가세해서 벌어진 상황입니다. 순수하게 당뇨로 인해서 전혀 당뇨가 없다 당뇨가 생겨서 3개월안에 케톤산증으로 사망하는 경우는노인일지라도 벌어지는일이 거의 없습니다.췌장이나 신장 질환이 이미 있던 분이라던지 다른 암질환이나 질병을 치료중에 당뇨가 동반되지 않고서는거의 불가능합니다.​당뇨병 진단은 아주 간단합니다.공복 8시간 유지후 내과내원하셔서 당뇨검사 받고싶다고하시고혈당, 당화혈색소(피검사), 소변검사 등을 받아보시면 금방 알수가 있습니다.집에서 측정하는 간이 혈당계로는 확실히 당뇨진단은 불가능하고당관리가 어느정도 상태인지 정도는 알수가 있습니다. 그리고 혈당만으로 봤을땐 1회성으로 높게 나왔다고 당뇨로 진단하지도 않아요내과나 보건소등에 내원해서 반드시 혈당, 당화혈색소(피검사), 소변검사를 모두 받아보셔야 알 수가 있습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010106&docId=386403939&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=407&search_sort=3&spq=0
당뇨병성 케톤산증 질문,1월 병원 내원 검사 당시 당뇨병 없음 4월 (3개월 후 ) 케톤산증으로 인한 사망 3개월만에 갑자기 당뇨가 생기고 케톤산증으로 인해 사망 이게 가능한 일인가요??당뇨병을 알수있는 지표는 어떤게 있을까요,"당뇨병은 인슐린의 분비량이 부족하거나 정상적인 기능이 이루어지지 않는 등의 대사질환의 일종입니다. 혈중 포도당의 농도가 높아지는 고혈당을 특징으로 갖추고 있으며, 고혈당으로 인하여 여러 증상 및 징후를 일으키고 소변에서 포도당을 배출하게 됩니다.​일반적인 당뇨병의 원인은 7가지로 살펴볼 수 있는데요. 아래와 같습니다.​과체중유전력고밀도 지단백칠 콜레스테롤 수치가 일정 기준보다 낮은 경우고혈압의 이력임신성 당뇨병 또는 과체중의 아이 출산다낭성 난소 증후군45세 이상​1형 당뇨병은 췌장의 베타세포가 파괴돼 분비되어야할 인슐린이 결핍될 때 발생합니다.2형 당뇨병은 비만과 과체중이거나 혹은 유전적인 요인이 가장 강하게 나타나고 있습니다.​당뇨병 원인과 증상, 치료 관리법에 대해 참고하시면 좋을듯합니다.http://ssunpick.com/7518​              당뇨병 원인과 증상 제대로 알아보자 당뇨병 당뇨병은 인슐린의 분비량이 부족하거나 정상적인 기능이 이루어지지 않는 등의 대사질환의 일종입니다. 혈중 포도당의 농도가 높아지는 고혈당을 특징으로 갖추고 있으며, 고혈당으로 인하여 여러 증상 및 징후를 일으키고 소변에서 포도당을 배출하게 됩니다. 당뇨병의 종류 당뇨병은 3가지 종류로 꼽히고 있는데요. 아래와 같습니다. 1형 당뇨병: 청소년 당뇨병으로도 알려진 이 1형 당뇨병은 신체가 인슐린을 생산하지 못할 때 발생하게 됩니다. ssunpick.com            ​"
