제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.10.22.|2018.10.26.&section=kin&page=1
"진료의뢰서 유효기간은 1주일, 종합병원은 에약일은 한달 이상 뒤, 어찌 해야 하나요?","진료의뢰서 유효기간은 1주일, 종합병원은 에약 가능일은 한달 이상 뒤, 어찌 해야 하나요? 위 상황에서 어떤 조치를 해야 하나요?건강검진 결과지로 2차병원 진료할 수 있는 유효기간은 어찌 되나요?",예약 가능일은 한달 이상 뒤 이면 예약 가능일 며칠전에 진료의뢰서를 또 띄어서 며칠 있다가 그 진료 의뢰서로 예약하면 됩니다.
"허리디스크  바리스타 편한, 매우 편한신발 알려주세요.","편한신발 추천 좀 부탁드립니다.커피전문점에서 일하는 30대 바르스타에요.제가 거의 하루종일 서서 있거든요, 무거운걸 가끔 들기도 합니다.바리스타를 하다보니 너무 오래 서 있게 되는데 발이 넘넘 피곤하고허리가 막 끊어질 듯이 아픕니다. 병원에서 허리디스크 진단 받았어요.그래서 좀 편한신발이란 편한신발은  거의 다 찾아서 이것 저것 신어도 봤고요,그러다가 슬리퍼가 차라리 편할거 같아서 슬리퍼를 신어도 봤는데요요즘에는 오래 서있기가 점점 어려워집니다. 다리도 막 저리고 엉덩이도 막 저립니다.허리디스크 증상이 원래 그렇다고는 하는데 바리스타로 약 열시간 넘게 일하려니정말 편한, 무지막지 편한, 하드코어로 편한 신발이 너무 필요해요.정말 정말 깜짝 놀랄정도로 편한신발 추천 부탁드립니다.",스코노 신발 추천합니다.
오른쪽 뒤통수 불편한 느낌..,몇개월 전 부터인가 오른쪽 뒤통수에 통증? 불편한 느낌? 이 계속 주기적으로 찾아와요ㅠㅠ어떻게 아프다고 설명하기가 참 어려운데과일을 예로 들면 과일이 어디 오래 눌려있거나 하면 그 쪽만 무르잖아요.약간 오른쪽 뒤통수 부분이 무른 느낌이라고 할까요?오래 누워있진 않은 것 같은데..이런 경우엔 어떤 병원을 찾아야 하나요? 신경과인지 통증의학과? 인지..?,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 한병인 입니다.귀하께서 주신 정보만으로는 정확한 답변을 드리긴 어렵지만,긴장성 두통일 가능성이 많으며, 긴장성 두통의 가장 많은 원인은스트레스, 수면부족, 잘못된 자세입니다.긴장성 두통은 이마와 머리주위를 띠로 조이는 듯한 느낌이거나,뒤통수에 번개가 치듯이 찌릿찌릿한 느낌이 특징입니다치료를 위해서는 먼저 스트레스나 수면부족을 해결하고,두통약은 충분한 용량으로 복용해야 하는데,두통약을 일정 기간 이하로 복용해야 약물의존이 생기지 않습니다.정확한 진단을 위해서 꼭 신경과 의원을 방문하셔서 위험한 질환이 없는지 진찰받으시길 바랍니다.쾌유를 빕니다."
옆으로 누워서 숨쉬기 좀 힘들고 명치쪽에 텅빈 느낌나는데 무슨 병인건지 아닌지 궁금해서요 만약 진단 받아야되는더면 어떤 병원을 가야되나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",일단 의학적인 방향을 잡기 위해서일반 내과로 가셔서 진찰을 받으세요.가슴사진 심전도 호흡기능검사..혈액화학검사.등등을 일차적으로..받으셔야 될 듯..(기초검사지만)..
사타구니쪽이 너무 가려워서 잠도 설치는데 백선? 완선? 뭔지 헷갈리네요 약국에서 어떤약과 연고를 처방 받아야 할까요 외국이라 병원가기는 쉽지가 않아서요ㅜㅜ 제발 살려주세요 너무 스트레스 입니다 처음엔 작았는데 점점 퍼지고 있구요 증상있는 부위가 굉장히 건조해져서 보습제는 가려울때마다 최대한 바르고 있습니다(코코넛 오일) 답변 부탁 드립니다ㅜㅜ,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","안녕하십니까?지식iN 사룰입니다☜사타구니쪽이 너무 가려워서 잠도 설치는데 백선? 완선? 뭔지 헷갈리네요사진으로 봐서는 마찬가지로 헛갈리죠. ㅎ약국에서 어떤약과 연고를 처방 받아야 할까요 외국이라 병원가기는 쉽지가 않아서요ㅜㅜ 제발 살려주세요 너무 스트레스 입니다 처음엔 작았는데 점점 퍼지고 있구요 증상있는 부위가 굉장히 건조해져서 보습제는 가려울때마다 최대한 바르고 있습니다(코코넛 오일) 답변 부탁 드립니다ㅜㅜ들을지는 모르나 비닐을 덮어서 20분 정도 냉찜질해줘서 가려움을 달래고.약국에서 ""에스로반 연고""를 사서 식염수로 소독 후 발라보시고. 좋아지지 않으면 돈이 들더라도 종합병원 피부과로 가서 도말검사 등을 거쳐서 맞는 처방을 받아서 먹고 바르면서 치료하셔야겠습니다.안녕히 계십시오☜"
사타구니쪽이 너무 가려워서 잠도 설치는데 백선? 완선? 뭔지 헷갈리네요 약국에서 어떤약과 연고를 처방 받아야 할까요 외국이라 병원가기는 쉽지가 않아서요ㅜㅜ 제발 살려주세요 너무 스트레스 입니다 처음엔 작았는데 점점 퍼지고 있구요 증상있는 부위가 굉장히 건조해져서 보습제는 가려울때마다 최대한 바르고 있습니다(코코넛 오일) 답변 부탁 드립니다ㅜㅜ,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",만지면 심해질수 있습니다. 가만히 놔두세요
저는 17살 여학생인데최근들어 무릎에 통증이 오기 시작했어요 왼쪽무릎이고 어떤 통증이냐면 처음 5일전쯤엔 가벼운 쑤심이 있었는데 시간이 지날수록 계단을 오를때 쑤시더니 더 지날수록 요즘들어서는 무릎을 굽히고 있으면 3분도 안되서 저릿저릿해서 다리를 피려고할때 엄청 쑤시듯 아프더라구요.. 근데 병원가면 무릎사진 찍어볼텐데 별거 아니거나 아예 아무런 이상이 없으면 꾀병으로 보일텐데 그런게 두려워서 지금 병원을 쉽사리 가지도 못하고 금방 낫는다고 하면 의미가 없어질것 같아서 여러모로 기다려보는데 요즘엔 무릎이 좀 심각하게 아프더라구요 이런식으로 아픈데 가벼운거라면 병원 안가고 좀더 기다려보겠습니더 전문가들 계신다면 알려주시길 바랄게요 어린나이에 통풍같은건 아닐거라고 생각이 듭니당... 근처 병원에선 뼈를 잘 못보는건지 진단을 잘 못내리는건지 전체적으로 왜 아픈건지 왜 다친건지 어디가 다친건지등을 얘기 안해주고 발목 살짝만 삐어도 깁스를 해주니 믿을 수가 없습니다 그래서 병원을 못가는 이유중에도 하나죠...그렇게되면 꾀병인거처럼 아픈이유를 모르니까요.. 부탁드리겠습니다,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",안녕하세요. 하이닥-네이버 지식iN 상담의 이재문 입니다.무릎은 굽히고 있을때 무릎 앞쪽으로 통증이 오는 경우 여러가지 가능성을 생각해 볼 수 있겠으나 질문자분의 성별 및 나이를 고려했을때 가능성이 많아 보이는 것은 무릎뼈의 연골연화증 또는 무릎뼈 인대염을 들 수 있겠습니다.무릎을 굽히고 있을때 무릎뼈 연골의 압력이 증가하여 통증을 악화시키게 되고 인대염의 경우도 무릎을 굽히면서 인대가 늘어나는 과정에서 자극받아 통증을 악화시키게 됩니다.먼저 온찜질 및 사용을 최대한 피하고 휴식을 취하는 것으로 증상을 조절해볼 수 있으나 통증이 완화되지 않고 지속될 경우엔 정형외과 방문하여 진료받으시길 권유드립니다.감사합니다.
감기에 심하게 걸려서 병원에서 약을 처방받아 왔습니다저녁 식사 후 약을 먹었는데 시간이 지나도 너무 아파요 약 먹은지 4시간 정도 지났는데 한번 더 먹어도 되나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","어떤 약인지 모르지만, 하루 세 번 드시는 약이라면 4시간 지났으면 한 번 더 드셔도 괜찮을 것입니다."
안녕하세요 전문대 간호학과 (4년제) 에 입학한 고3 입니다. 우선 제가 간호학과를 갑자기 정해 전문대에 들어오긴 했지만 따라오는 학교 이름이 신경 쓰여서 편입을 생각하고 있어요 또 자대병원 있는 전문대나 일반대 생각하고 있어요 이번에 편입률 높인다 해서 도전해보려구요1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?3. 전문대끼리 편입 가능한가요?4. 편입할 수 있다면 어떤 준비를 해야하나요?5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","안녕하세요 가이던스 멘토 최요셉 입니다.   4년제 대학 편입을 희망하시네요  편입에 대해 간단하게 설명 해드릴텐데요  1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?ㅡ> 가능합니다2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?ㅡ> 네 가능해요3. 전문대끼리 편입 가능한가요?ㅡ>편입이란건 전문대졸이상학력 가진자가 4년제3학년으로 진학하는걸 편입이라고 합니다4. 편입할 수 있다면 어떤 준비를 해야하나요?ㅡ>영어가 기본으로 준비되야겠죠 희망하는 학교의 모집요강에 나와있는 데로 준비하시면 됩니다5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?ㅡ>자퇴를 처리하고 편입해야합니다자세한건 문의를 주시면 꼼꼼하게 상담해드리겠습니다일단 많은 분들이 학사편입을 권할거에요아래 자세하게 설명해드리겠습니다   편입은 크게 학사편입과 일반편입으로 나뉩니다 학사편입은 4년제대학 졸업예정 중이거나 졸업한 사람이 지원할 수 있는 전형이고,일반편입은 4년제대학 2학년 과정을 수료했거나 전문대졸이상의 학력이 지원할 수 있습니다일반편입과 학사편입에는 각각의 장 단점이 있는데현재 질문자 분의 상황과 어떤 대학을 희망하는지 구체적으로 알아야  질문자 분에게 맞는 해결책을 제시해줄 수 있습니다.   간략히 설명해드리자면,본인이 목표한 인서울권 대학에 갈만한 편입 준비가 되어있다 자신한다면일반편입을 진행해도 무방하지만,인서울권에 높은 대학을 희망하지만 편입준비가 더 필요하다 생각되면일반편입보다 문턱이 낮고 경쟁률이 낮은학사편입을 하셔야 훨씬 유리합니다. 위 표는 학점은행제로 학사편입을 한 주요 인서울권 대학의 합격자 비율인데한 눈에 봐도 합격률이 80%이상인 것을 보실 수 있습니다.하지만 아래를 보면 건국대같은 몇몇대학에서 학사편입 경쟁률이 더 많은 경우도 있습니다 건국대학교<학사편입>공과대학 사회환경공학부        16.50 : 1기계공학부                     23.00 : 1전기전자공학부                 23.33 : 1화학공학부                     21.50 : 1 소프트웨어학과                 41.00 : 1 컴퓨터공학과                   40.00 : 1 항공우주정보시스템공학과       23.00 : 1생물공학과                      8.00 : 1사회과학대학 정치외교학과      26.00 : 1경제학과                       33.00 : 1 행정학과                       35.50 : 1국제무역학과                   29.50 : 1응용통계학과                   30.00 : 1융합인재학과                   26.00 : 1글로벌비즈니스학과             43.00 : 1 경영대학 경영학과              35.33 : 1기술경영학과                   32.00 : 1KU융합과학기술원줄기세포재생공학과             26.00 : 1 의생명공학과                   11.00 : 1 시스템생명공학과                9.00 : 1 융합생명공학과                 17.00 : 1<일반편입>공과대학 사회환경공학부        12.24 : 1기계공학부                     24.00 : 1 전기전자공학부                 23.56 : 1화학공학부                     15.68 : 1소프트웨어학과                 25.60 : 1컴퓨터공학과                   29.83 : 1항공우주정보시스템공학과       18.00 : 1생물공학과                      9.60 : 1 사회과학대학 정치외교학과      34.50 : 1경제학과                       26.38 : 1행정학과                       33.80 : 1국제무역학과                   32.83 : 1 응용통계학과                   31.00 : 1융합인재학과                   31.80 : 1글로벌비즈니스학과             31.33 : 1경영대학 경영학과              29.04 : 1기술경영학과                   33.50 : 1KU융합과학기술원줄기세포재생공학과              6.86 : 1의생명공학과                    9.25 : 1시스템생명공학과                7.13 : 1융합생명공학과                   9.44 : 1 < ex) 짙은 글자는 경쟁률이 높은걸 표기  >그래서 경쟁률이든 어떤 것을 요구하는지는 학교마다 다릅니다때문에 인터넷의 정보를 막연하게 믿기보다는편입관련 전문가에게 상담을 받아보고 뭐가 나한테 맞는 편입법인가?생각을 한후에 결정을 해야합니다.따라서 거의 대부분의 학교가 일반편입 경쟁이 높기 때문에＊이때 편입관련해 도움되는 자료들이나 멘토링도 함께 받아보세요!＊4년제 학사학위를 이수하여 질문자가 도전하는 대학보다.더 높은 등급의 대학으로 학사편입이 가능하다 할 수 있습니다.  추가적으로 질문내용 관련해서 궁금하신 사항이나 상담이 필요하시면아래 참조하시어 개별적으로 문의주세요.  지금도 상담 가능합니다. 정확한 정보안내 받아보시고 질문자분께서 직접 비교 후 선택해보시길 바랍니다."
안녕하세요 전문대 간호학과 (4년제) 에 입학한 고3 입니다. 우선 제가 간호학과를 갑자기 정해 전문대에 들어오긴 했지만 따라오는 학교 이름이 신경 쓰여서 편입을 생각하고 있어요 또 자대병원 있는 전문대나 일반대 생각하고 있어요 이번에 편입률 높인다 해서 도전해보려구요1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?3. 전문대끼리 편입 가능한가요?4. 편입할 수 있다면 어떤 준비를 해야하나요?5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","안녕하세요, 교육설계팀 원스터디입니다.질문에 대해 관련 답변 남겨드리겠습니다.﻿​간호학과 편입을 준비하는데 있어서전적대 성적과 영어가 가장 중요해요.편입의 종류는 두가지로 나누어져 있어요일반적으로 많이 알려진일반 편입의 경우에는 영어 점수의 커트라인이 높아요.그리고 경쟁률도 치열해 공부해야 할 양이나준비를 해야 할 것들이 그만큼 많아지시게 되는 것이죠.혹시나 토익이나 토플 등의 영어 점수와 전적대 점수가 좋지 않으시다면비교적 영어 점수의 커트라인도 낮고,경쟁률도 낮은 학사 편입을 추천드립니다!학사 편입은 4년제 대학교를 졸업해야만 받을 수 있는 학위로 편입의 종류 중 하나에요.학사 편입을 하고 싶은데 4년제를 졸업하지 않으셔서편입 조건에 안 맞으셔도 괜찮습니다!학점은행제도로 충분히 4년제 학사 학위를 받으실 수 있으시니까요!!학점은행제도를 통해 짧은 시간 안에 학사 학위를 받으 실 수 있어요.일반 4년제 대학보다도 학점 관리도 비교적 쉬운 편이라서굳이 간호학과 편입이 아니라도 많이들 타과 편입을 위해서많은 분들이 찾아 주시고 계신답니다^^또한 간호학을 편입하는데 있어서 중요했던 영어 성적 부분에서도학점은행제도를 잘 활용하여, 영어 시험 없이!전적대 성적만으로 편입생을 모집하는 학교에서는더 유리하게 작용을 하게 되겠죠?혹시라도 학생 본인이 4년제 대학교를 목표로 준비하시는게힘들다고 이야기 하신다면.1년이라는 짧은 시간에 전문대 졸업장을 취득하여전문대 간호학과 대졸 특별 전형을 통하여편입 준비를 하는 방법도 있습니다!!저도 편입을 준비하고, 공부를 해왔던 사람으로써제가 알고 있는 지식을 바탕으로 많은 도움을 드리고 싶네요간호학과 학사편입에 대한 링크 남겨드릴게요!읽어보시고 더 나은 방향에 대해서 고민해보세요~HTTP://M.VERITAS-A.COM/NEWS/ARTICLEvIEW.HTML?IDXNO=129713상담은 24시간 무료로 진행하고 있으니더 많은 문의와 답변 듣고 싶으시면 연락주세요! :)상담은 24시간 1:1 맞춤으로 진행되고 있습니다.또한 상담 비용은 무료입니다.편안하신 시간대에 부답없이 상담문의주세요 :)​교육부 평가인정 학습기관 소속으로개인적으로 연락주시면 보다 정확한 상담을 통하여궁금증에 대해 해결해드리도록 하겠습니다.학점은행제를 처음 접하시거나 정확하지 않은 정보로접근하게 된다면 학위취득 기간 연장, [편입,대학원]진학불가, 비용 추가 등의 문제가 발생할 수 있습니다.플래너의 진행하려는 과정에 대한 전문적인 지식, 능력꼭 확인하셔야 하며 단기 알바, 직업일 수 있기 때문에개인 역량은 꼭 확인하셔야 합니다.시작을 하게 된다면 적어도 6개월 이상함께 진행을하기 때문에 눈 앞에 보이는 것을 선택하시는 것보다길게 보시고 선택하시는게 좋습니다.국가평생교육진흥원에 정식으로 인가된 교육원인지꼭 확인하셔야 합니다.[학점은행제 불법대행업체 주의]www.cb.or.kr - 교육기관 정보 - 교육기관 검색 1:1 교육담당자로서 자세한 상담부터모든 과정이 무사히 끝마칠 때 까지옆에서 함께 진행 도와드리도록 하겠습니다."
안녕하세요 전문대 간호학과 (4년제) 에 입학한 고3 입니다. 우선 제가 간호학과를 갑자기 정해 전문대에 들어오긴 했지만 따라오는 학교 이름이 신경 쓰여서 편입을 생각하고 있어요 또 자대병원 있는 전문대나 일반대 생각하고 있어요 이번에 편입률 높인다 해서 도전해보려구요1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?3. 전문대끼리 편입 가능한가요?4. 편입할 수 있다면 어떤 준비를 해야하나요?5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","국가에서 인정해준 국가평생진흥원소속 교육원인 학습플레너 리나쌤입니다~~최대한 질문읽고 수기로 남겨주고 있어요제가 실패없게 어떻게 준비 해야할지부터공부방향까지 체계적으로 도와드릴께요~~네네 가능합니다대졸자 전형으로 신입학을 하시던지 학사 편입을 추천드려요편입에 대해서 설명드릴게요~편입은 일반편입과 학사편입으로 구분이 되는데편입을 하시려면 우선 갖추어야 할 조건들이 있습니다.<일반편입>전문대 졸업(예정)자 or 4년제 대학 2-2학기 수료(예정)자학점은행제 전문학사 취득 혹은 취득 예정자학점은행제 학사학위 진행중 70학점 이상 보유자<학사편입>학사학위 소지자4년제 학교를 졸업(예정)자 입니다.학점은행제 학사학위 취득(예정)자(선발인원은 각 학교마다 다르지만 대체적으로 낮음) 학사편입은 보기에는 조건이 까다로워 어려워 보일지 몰라도 실질적인것은 학점은행제를 통하여 학사편입을 준비하는 편입생들과경쟁을 한다고 보시면 됩니다!  일반편입은 전문대졸업자들, 4년제 다니시다가 일반편입 도전하시는 분들이 넘쳐나고 학사편입을 준비하는 학생들은 동시에 일반편입도 지원이 가능하기 떄문에 모든 편입생들과 경쟁하는 것과 같아요~★편입을 성공적이게 하실려면 학사편입을 준비해서 경쟁률을 낮추는 쪽으로 생각하시는게 더 성공적으로 준비하는 길일것이라고 생각해용~그렇기 때문에 학점은행제를 통해 빠르게(1년~2년) 학사학위를 취득, 3학년으로 편입을 노리는 것이 더욱 효율적입니다.##편입은 목표하시는 각 학교마다 다르기때문에 모집요강마다 다릅니다.문의해주시면학생들의 필요에 따라 편입 하시는 학원도 연계 가능합니다제프로필 보시구 부담갖지말고 편하게 연락주세용~~"
안녕하세요 전문대 간호학과 (4년제) 에 입학한 고3 입니다. 우선 제가 간호학과를 갑자기 정해 전문대에 들어오긴 했지만 따라오는 학교 이름이 신경 쓰여서 편입을 생각하고 있어요 또 자대병원 있는 전문대나 일반대 생각하고 있어요 이번에 편입률 높인다 해서 도전해보려구요1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?3. 전문대끼리 편입 가능한가요?4. 편입할 수 있다면 어떤 준비를 해야하나요?5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요? 가능해요2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?그럼요3. 전문대끼리 편입 가능한가요?전문대는 신입학해야해요4. 편입할 수 있다면 어떤 준비를 해야하나요?학위 취득해야죠5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?자퇴하구준비하면되요편입상담해줄겡요 답변이 되었다면 채택 후 문의주세요. http://naver.me/51JElOF6 https://open.kakao.com/o/sYJTZmV
안녕하세요 전문대 간호학과 (4년제) 에 입학한 고3 입니다. 우선 제가 간호학과를 갑자기 정해 전문대에 들어오긴 했지만 따라오는 학교 이름이 신경 쓰여서 편입을 생각하고 있어요 또 자대병원 있는 전문대나 일반대 생각하고 있어요 이번에 편입률 높인다 해서 도전해보려구요1. 4년제 전문대 간호학과에서 일반대 간호학과 편입이 가능한가요?2. 대경대 -> 계명대 (계명문화대or 영남이공대) 편입이 가능한가요?3. 전문대끼리 편입 가능한가요?4. 편입할 수 있다면 어떤 준비를 해야하나요?5. 전 대학교를 다니다가 편입을 바로 할 수 있나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",네 편입 가능합니다. 근데 이제 편입을 학교를 다니면서 준비하느냐아니면 학은제로 편입 공부하는 시간을 더 투자하냐 뭐 이런 차이인것 같아용본인한테 맞는 편입 방법을 찾는것도 중요한것 같구요연락주시면 도와드릴께요https://open.kakao.com/o/s59nHSY
안녕하세요 저는 13살 여학생입니다 질문이 있어서 이렇게 글을 쓰게되었어요 제가 새벽에 들은 얘기인데 엄마께서 베제트인가? 하는 병에 걸리셨다고 하시더라고요 제가 선생님께 여쭤보기도 했는데 그래도 잘 모르겠더라고요 그래서 직접 질문을 하게 되었어요 질문이 2개가 있어요..1. 베제트? 라는 병은 어떤 병인가요?2. 그 병을 치료할 수 있는 방법은 있나요?(완전히)친절하게 답변해주시면 감사하겠습니다.,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","1. 굳이 아실필요는 없습니다만 단순히 혈관을 돌아다니며 염증을 일으키는 병인데.. 병의 원인도, 정확한 치료법도 없습니다. 단순히 식이요법 및 잘먹고 잘자고 염증 심할땐 각 증상에 따른 외용 연고 및 경구 약을 복용하는 정도입니다.병이란게 그렇듯, 잘먹고 잘자고 운동하고 그러면 되는겁니다.그리고, 이 병이 병원에서 확진을 하기도 배제하기도 애매하며,특정 유전인자를 보유군에서 50~60% 정도 발병합니다. 2. 특별히 치료법은 없다고 알려져 있고, 자가면역질환의 일종으로 보기도해서    병원 치료는 증상 완화 정도로 보시면 됩니다.    잘먹고 잘자고 하면 자연치유도 된다고 보면 되겠죠.   그러니 엄니 말씀 잘 듣고, 스트레스 안받으시게 하는게 중요합니다~"
