제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2016.04.02.|2016.04.06.&section=kin&page=1
다리모양ㅜ,제가 다리모양이 너무 이상해서요ㅜ 원랜 이정도까진아니었는데 어느순간부터 완전휘어보여요ㅜ 이게근육인거같은데 근육인지 뼈인지ㅜㅜ보기에 이상하죠ㅜㅜ,아뇨 매력적인데요
생리한달동안 안할수있나요?,여자친구가 규칙적인 생리를 하는데 이번달은 엄청 늦게 하는것같아요 지금까지 안햇지만..한달동안 생리 안하는 경우 있나요?,"생리는 주기와 길이가 꾸준히 변하고, 신체상태는 물론이고 정신이나 환경상태도 그 기간과 길이에 영향을 끼칩니다. 행여 임신과 관련한 그 어떤 걱정이 있으시면 요즘은 약국이 아닌 웬만한 편의점 가판대에서도 임신테스트기의 판매가 이뤄지니  산부인과 방문검사나 임신테스트기 사용 둘 중 하나는 필히 의무라고 전합니다. 둘 중 어느 것도 부끄러워야 할 일이 아닙니다. 깨나 이상적인 내용이지만 실제로 몸에 대한 이미지와 건강은 자기보호와 사랑에서 시작합니다. 산부인과를 출산이나 낙태나 기쁨과 절망 극단적인 일로만 생각하는데 아닙니다. 산부인과는 내가 건강하기 위해 가는 겁니다. 생리와 관련해서는 여자친구가 가장 민감해 할 겁니다. 물으실 땐 가능한 조심성을 담으시고 여자친구가 세계에서 가장 걱정중이라는 생각을 꼬박이 해 주시면 좋겠습니다. 인터넷으로 아무리 그 어떤 조각들을 끌어모은들 의료지식에 관해서면 먼지만한 값어치가 없는 일이 많습니다. 신체는 각 신체별로 신경단위로 세포단위로 환경 외 변수의 단위가 다양하고, 생리와 상관 하여서도 다르지 않습니다. 냉이 나온다 아니다, 환부에 열기가 있다 없다. 별 쓸모 없는 내용들이다 이 이야기입니다. 임신 테스트기로 임신의 여부(결과)를 따지실 수 있는 거고 의사와 정규검사를 통해서 임신결과는 물론 생리지연 원인과 단순 임신여부만이 아닌 질환의 여부까지 도출 가능한 일이지 이들을 인터넷으로 해낼 수는 절대로 없습니다.  인류가 이룩해 놓은 과학과 병원을 버려두고 인터넷을 뒤적이는 우가 없기 바랍니다."
코 재수술 문의,"안녕하세요. 제가 1년전 코수술을 받았는데 제가 원하던 코 모양으로 되지않아 다시 재수술을 하려합니다. 보통 코수술은 1년정도 지나야 자리가 잡힌다고해서 그동안 지켜봤는데 콧등은 분필을 넣은것같고, 콧끝과 콧등 사이는 푹 꺼져서 제가 수술전에 말했던 모양과 아주 틀린 모양으로 되버렸습니다... 재수술을하면 코 모양이 어느정도 (제가 원하는 만큼) 바뀔수 있을까요? 수술은 했던 병원에서 다시 하기로 했습니다 솔직한 답변 부탁드립니다.",재수술 잘하는건 모르겠는대 이곳이 입소문으로 유명하대요~~광고아니니까 속는셈 치고 한번 가셔서 상담이나 받아보세요!! 압구정 로데오 미자인의원 이에요
어지러울때 병원,안녕하세요 저는 21살 대학생입니다요즘 들어 일상생활중에 하루에 한번 많으면 두번 세번까지 머리가 핑돌고 어지러울 때가 있습니다. 원래 생리주기도 일정했는데 지금 생리도 한달 넘게 하지 않구요. 병원에 한번 가보려하는데 어느 병원에 가야 할까요? 생리가 안나오는걸 보면 산부인과에 가봐야하나 싶은데 아시는 분들 좀 알려주시면 감사하겠습니다 ㅠ,"일단 기본적인 혈액검사 등이 필요해 보입니다. 내과, 가정의학과를 먼저 추천합니다. 기본적인 혈액검사 수치 등이 이상이 없으면, 예상이 되는 타과를 추천해 줄것입니다."
고양이 치아에서 피,제가 고양이 키우는데 이에서 피가나요.잘못되거나 그런건아니죠?,사진상으론 정확히 어느 부위에 피가나는지 확인이되지않네요다만 고양이 잇몸에서 피가나는것이라면 고양이 치아건강상태를 확인하세요잇몸이 빨갛게부엇다/입냄새가 심하다/입주변얼굴부위 만지는걸 싫어한다/장난감을 물지않으려한다/한쪽으로만 씹는다/치석이있다/먹을때 잘 흘린다 등 이 중 3가지가 해당된다면 치아건강에 신경써야하는 상태입니다치석이 심해지면 잇몸에서 피가납니다사진상으로 판단이안되지만 그런경우라면 병원에가셔서 치석제거하시고 차후에는 칫솔질 등 구강관리를 통해 치석이 쌓이는걸 예방하시길 바랍니다
키~~~~~~,안녕하세요 꿈이모델인학생입니다. 지금중3이고요 안산에삽니당아아 바로본론으로들어가서요  지금키가 178~179 거든요 180안되요 ㅠㅠ제가 꿈이모델인지라 키가 적어도 185까지는크고싶은데...제가 겨털은 정글이고 턱수염은 5가닥있습니다..요즘 매일 우유많이먹고 멸치먹고있습니다 농구도조금하고요 제가성장판검사를안해봤는데제키가어느정도클가요.. 병원가볼까요?아마 초6때 169고 중1~2 때 합처서 9cm정도큰듯 근데 제가살이좀쪄서요 지금 90키로라서요살을뺄생각인데 살빼면 키가커질까요??키크는음식이나 키크는 습관 이나 운동등등 알려주세요@@,"안녕하세요. 하이닥-네이버 지식iN 소아청소년과 상담의 고시환 입니다.키는 부모님의 유전적 조건하에본인의 건강과 영양, 식습관, 운동, 생활패턴 등에 의해 영향을 받게 되며,앞으로 얼마를 언제까지 성장 가능한가는진료 이전에는 답이 어려운 질문이군요. 키 성장에 도움을 줄 것들로는1. 매일 매일 꾸준한 규칙적 운동2. 운동은 모든 운동이 다 도움이 되나 그 중에서도    걷기, 뛰기, 줄넘기, 농구, 배구, 축구, 등산, 배드민턴 등등    다리를 중심으로 하는 운동3. 가능한 12시전취침과 7시전의 기상4. 자기 전 20-30분간의 스트레칭5. 밀가루로 된 빵, 과자, 국수, 라면, 햄버거, 피자 등을 피하고6. 인스턴트, 패스트푸드를 멀리하고7. 단 음식과 음료를 마시지 말고8. 물을 충분히 섭취9. 신선한 야채류를 충분히 섭취하는 것이 있겠습니다. 감사합니다."
키~~~~~~,안녕하세요 꿈이모델인학생입니다. 지금중3이고요 안산에삽니당아아 바로본론으로들어가서요  지금키가 178~179 거든요 180안되요 ㅠㅠ제가 꿈이모델인지라 키가 적어도 185까지는크고싶은데...제가 겨털은 정글이고 턱수염은 5가닥있습니다..요즘 매일 우유많이먹고 멸치먹고있습니다 농구도조금하고요 제가성장판검사를안해봤는데제키가어느정도클가요.. 병원가볼까요?아마 초6때 169고 중1~2 때 합처서 9cm정도큰듯 근데 제가살이좀쪄서요 지금 90키로라서요살을뺄생각인데 살빼면 키가커질까요??키크는음식이나 키크는 습관 이나 운동등등 알려주세요@@,"남자들은 중, 고등학교때도 키 많이 크는건 아시죠?급성장기오고 쉬다가 다시 오는사람도 있구요.요즘 키때문에 고민하시는분들 많은거 같네요키는 환경적인요인도 많이 영향이 있고 얼마나 클지는 아무도 알수 없어요.병원가서 성장판으로 해보시는게 가장 빨라요.열려있다고 하면 키는 더 큽니다.운동 30분이상씩 자주 하세요. 농구나 줄넘기 좋아요.스트레칭을 하시는데 저녁에 해주는게 제일 도움된다고 해요,스트레칭 어떤거 하는지 잘 모르겠지만 제대로 해주는게 중요한데요즘 톨플러스 도 많이 하더라구요.잠은 좀더 일찍 자는게 좋겠네요.10시부터 성장호르몬이 많이 나오니깐요.음식도 편식 하지 말고 골고루 잘 드세요.성장판 닫혔다고 하면 키는 안크지만체형교정으로 2~3 cm 정도는 더 클수 있거든요.그것도 한번 알아보세요."
중2인데 가슴이 너무커요...,지금 중2 15살인데...가슴이 너무 큰게 고민입니다...처음엔 그냥 어느정도커서 오 좋다 했는데 중1 겨울방학때 갑자기 너무커져서 지금 거의 G컵정도 될만큼 크네요... 체육시간에 달리기할땐 가슴이 계속 흔들려서가슴이 너무 아프고 교복도 단추가 계속 풀리네요.... 교복입으면 교복이 가슴에 딱 붙어서 너무 부끄럽고... 브라도 제대로 가슴을 고정시킬수 있는게 없어서 진짜불편합니다. 조금이라도 편하게 학교생활할 방법좀 알려주세요...장난답변 하지마시고 진지하게 대답해주세요,여성형유방증이라고사춘기시대때 나타나는 증상입니다만약 그것이 성인이 되도 그런증상이라면병원을 가야합니다그리고 아프다고했는데 부모님께 여쭈어서 병원을 가보건아아니면 뭔가 멍울이 잡혀지면 여성형유방증일수도 있습니다
중2인데 가슴이 너무커요...,지금 중2 15살인데...가슴이 너무 큰게 고민입니다...처음엔 그냥 어느정도커서 오 좋다 했는데 중1 겨울방학때 갑자기 너무커져서 지금 거의 G컵정도 될만큼 크네요... 체육시간에 달리기할땐 가슴이 계속 흔들려서가슴이 너무 아프고 교복도 단추가 계속 풀리네요.... 교복입으면 교복이 가슴에 딱 붙어서 너무 부끄럽고... 브라도 제대로 가슴을 고정시킬수 있는게 없어서 진짜불편합니다. 조금이라도 편하게 학교생활할 방법좀 알려주세요...장난답변 하지마시고 진지하게 대답해주세요,혹시 체중이 많이 나가시는 건 아니신지..?
중2인데 가슴이 너무커요...,지금 중2 15살인데...가슴이 너무 큰게 고민입니다...처음엔 그냥 어느정도커서 오 좋다 했는데 중1 겨울방학때 갑자기 너무커져서 지금 거의 G컵정도 될만큼 크네요... 체육시간에 달리기할땐 가슴이 계속 흔들려서가슴이 너무 아프고 교복도 단추가 계속 풀리네요.... 교복입으면 교복이 가슴에 딱 붙어서 너무 부끄럽고... 브라도 제대로 가슴을 고정시킬수 있는게 없어서 진짜불편합니다. 조금이라도 편하게 학교생활할 방법좀 알려주세요...장난답변 하지마시고 진지하게 대답해주세요,G면그게가슴인가여?젖소지ㅋC.D도 큰건데
중2인데 가슴이 너무커요...,지금 중2 15살인데...가슴이 너무 큰게 고민입니다...처음엔 그냥 어느정도커서 오 좋다 했는데 중1 겨울방학때 갑자기 너무커져서 지금 거의 G컵정도 될만큼 크네요... 체육시간에 달리기할땐 가슴이 계속 흔들려서가슴이 너무 아프고 교복도 단추가 계속 풀리네요.... 교복입으면 교복이 가슴에 딱 붙어서 너무 부끄럽고... 브라도 제대로 가슴을 고정시킬수 있는게 없어서 진짜불편합니다. 조금이라도 편하게 학교생활할 방법좀 알려주세요...장난답변 하지마시고 진지하게 대답해주세요,많이 불편하시면 붕대 감으시는것을 추천해드려요.. 제가 아니라 제 친구중에 조금 우난히 큰애가 잇었는데 걔가 불편하다고 붕대 감아보라는 다른친구 말에 붕대를 감아보더니 지금은 좀 편하다고하면서 괜찮다고 하던데여 붕대감는건 어떠신지..?
무릎속에 피때문에 부엇습니다,"제가 장난치다 무릎을 크게 부딫쳐 무릎속에 피가차올랏습니다 병원에서는 피가 차오른것을 확인하고4가지 경우가 있다고햇습니다 연골이손상?,십자인대가 끊어졋거나,인대가 끊어졋거나 마지막은 모르겟네요..일단 상황을 지켜보자는데..무족건 수술을 해야돼나요?15년동안 살면서 몸에 칼한번 대보질않아서..질문합니다1.꼭 수술은 해야돼나요?2.무릎속에 혈관이 터져서 피가 차오를수도있어서 수술안해도 된다는 경우가 있다는데 사실인가요?3.만약 수술을 한다면 어떻게 이루어지죠?4.수술안하고 낳는법은 없나요?병원에선 십자인대 끊어질확률이 높다네요부탁드립니다 도와주세요사진첨부는 상처난 무릎이 정상이고 상처 안난 무릎이 피가찬 무릎입니다","무릎에 혈관절증이라고 피가 찼을 때는 십자인대파열 뿐만 아니라 반월상연골 혈액순환이 좋은 부분이 찢어져도 피가 날 수 있고 정강이뼈나 허벅지뼈의 관절내골절 시에도 피가 찰 수 있습니다. MRI를 찍어봐야하고 부목 고정을 하는 것이 좋습니다. 어느 부위가 어떻게 다쳤는지를 알아야 수술을 해야 할지, 수술하지 않고도 나을지를 알 수 있습니다."
안녕하세요. 노견 아이 비아그라 투약 문의 좀 드릴게요..,안녕하세요.인터넷 검색하다가 님 글 보고 문의드리고 싶어서요.. 저희 아이가 심장병이 있어 계속 약 먹여왔는데 오늘 폐수종이 왔어요. 이뇨제 쥬사 맞히고..주치의 선생님이 이제 해볼수 있는건 비아그라뿐이라고 하셨어요. 그런데 이건 애기한테.무리가 가는 약이라 마지막까지 보류하셨던거거든요..이제 그걸 써야 할거같다고.. 해서 질문 드릴게요. 일단 님의 아픈경험에 문의드려 죄송합니다.1. 비아그라 기간 어느정도 먹이셨고 비용은 어느정도 들었나요..? 상세히 좀 부탁드릴게요..2. 비아그라 먹이고 난후에 아이가 좀 편안해햇나요? 물론 고통스럽겠지만 그래도.. 조금이라도 나아보였나요?3. 아이한테 무리가 가는 비아그라 먹여서까지 아이를 붙잡고 있는게 제 이기심일까요.. 비아그라 먹어도 애는 힘들겠죠..?여태도 눈에 약 넣고 코에도 약 넣고 하루 두번 세번씩 가루약도 먹고 맨날 약만 달고 살앗는데 숨쉬기도 힘들어보이고. 이제 선택을 해야할거 같다고 하시네요 선생님이.. 항상 최선을.다해주신 선생님이 그리 말씀하시니까 .. 저도 선택을.해야하는데 아무것도 선택을 못하고 있어요. 이런거엔 아는게 없고 경험도 없는 처음이라서요.. 겪으셨던만큼만 자세히 좀 알려주세요. 부탁드릴게요.,아이가 몇살인지 어떤종인지 궁금하네요. 1.저희 아이두 약만 10년을 먹여서 저역시도 너무 안쓰러웠어요. 하지만 해줄수 있는게 있다는 것에 감사했어요. 비용은 제가 비뇨기과가서 사정말하구 처방받아서 병원에 갔다줬구요. 평상시 먹던약비용에 제가 비뇨기과처방받은 비용더하시면 되구요. 본인이 가셔서 사정이야기하고 처방받아야 다음번에 갔을때도 의사선생님이 처방주세요. 2.잠을 좀 많이 잔것같아요. 기침은 줄었던것같고 입맛이 아푸기전에도 까다로웠는데 전 약먹이기 전에 억지로라도 처방식캔 큰주사기로 물에 섞어서라도 먹였어요. 아무래도 억지로라도 먹어야 기운차리니까요. 물두 주기적으로 꿀 내지는 설탕타서 주사기루 먹였어요. 3.아주 큰 차이는 없지만 아이를 놔버리는게 더 잘못된생각인듯해요. 하루라도 엄마를 눈에 담고싶어해요. 아이가 손 놓을때까지 절대 손놓치마세요. 그리구 믿는 의사선생님이라두 제가 제일 후회하는것은. . . 소견서 받아서 대학병원으로 가보시는걸 권해드려요 . 제가 제일 후회하는 부분이예요. 아무래도 대학병원은 최악의상황에 대해서만 진료경험이 많으신 선생님들이 많으셔서 어떠한 대처상황도 아무래도 더 잘아실테니까요. 저희아이는 정말 간단한수술이였는데도 마취부분때문에 하늘로 보냈는데 약만 먹일때는 그래두 귀는 안들리구 눈은 보였지만 매일매일 엄마를 눈에 담으려고 했어요. 꼭 아이가 힘들어 한다고 포기하지마세요. 꼭이요.
어느 병원에 가야 하나요?,"안녕하세요. 요즘 들어 자꾸 가만히 있다가 너무 불안해지고, 그때마다 심장이 빠르게 뛰는 것이 느껴집니다. 숨 크게 들이 쉬었다가 내쉬어도 계속 답답하며, 어떻게 할 줄을 모르고 불안해 해요. 처음 한 두 번은 그러려니 했는데 요즘 들어 너무 자주 이럽니다. 회사를 옮기고서 이런 현상이 생겼는데, 단순한 심리 문제일까요 아니면 몸 자체 문제일까요? 그동안 참고 참다가 너무 답답해서 여쭈어요. 약이라도 먹고 싶은데 어느 병원을 가야 할지 모르겠어요.",신경과 가보세여..
