제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.11.02.|2019.11.06.&section=kin&page=1
생인발? 내성발톱? 뻔떡하면 수술?,제가 얼마전 발톱 깎았는데 좀 짧게 깎아서 지금은 만지면 약간 통증밖엔 없거든요.. 근데 이거 보니까 막 수술해야한다 그러고 첨 알았어요. 이거 자연적으로 낫는방법없나요? 수술보니 마취가 그렇게 아프다고 해서 안할려고하는데 제 상태는 어느정도인가요? 심하진 않은거 같은데 의사선생님들만 답변 부탁드려요.,"내성발톱은 꾸준히 관리를 해줘야하는데,요즘에는 내성발톱 전문 네일샵도 많아요!병원보다는 저는 네일샵을 추천드릴께요​"
소변볼때 괄약근에 힘들어가는 증상,질문좀 할게요벌써 5년가까이 된 증상인데요소변볼때 마지막에 괄약근에 힘이 '팍' 들어가면서 강제적으로 힘이 들어가는데제 의지로 조절할수가 없네요그럼 오줌이 확 튀어나오면서 끊겨요. 어느 병원으로 가야하나요?26남자입니다.,비뇨기과 가셔야 됩니다.
소변볼때 괄약근에 힘들어가는 증상,질문좀 할게요벌써 5년가까이 된 증상인데요소변볼때 마지막에 괄약근에 힘이 '팍' 들어가면서 강제적으로 힘이 들어가는데제 의지로 조절할수가 없네요그럼 오줌이 확 튀어나오면서 끊겨요. 어느 병원으로 가야하나요?26남자입니다.,"정확한 답변을 드리겠습니다.​먼저 가까운 비뇨의학과에 내원하셔서 상담을 받으시기 바랍니다.대학병원에서 배뇨장애를 세부전공으로 하는 교수님 진료를 보고, 정밀검사를 시행하여야 할 수 있습니다.​감사합니다.​​​"
소변볼때 괄약근에 힘들어가는 증상,질문좀 할게요벌써 5년가까이 된 증상인데요소변볼때 마지막에 괄약근에 힘이 '팍' 들어가면서 강제적으로 힘이 들어가는데제 의지로 조절할수가 없네요그럼 오줌이 확 튀어나오면서 끊겨요. 어느 병원으로 가야하나요?26남자입니다.,비뇨기과 가셔야 됩니다.
소변볼때 괄약근에 힘들어가는 증상,질문좀 할게요벌써 5년가까이 된 증상인데요소변볼때 마지막에 괄약근에 힘이 '팍' 들어가면서 강제적으로 힘이 들어가는데제 의지로 조절할수가 없네요그럼 오줌이 확 튀어나오면서 끊겨요. 어느 병원으로 가야하나요?26남자입니다.,"정확한 답변을 드리겠습니다.​먼저 가까운 비뇨의학과에 내원하셔서 상담을 받으시기 바랍니다.대학병원에서 배뇨장애를 세부전공으로 하는 교수님 진료를 보고, 정밀검사를 시행하여야 할 수 있습니다.​감사합니다.​​​"
성인아토피바디로션 추천좀.....,"어렸을 적에 아토피를 겪고 나서 치료를 받았었습니다.그렇게 잠잠하다가 성인되고 나서, 잦은 야근에 바쁜 업무에..스트레스를 받아서 그런 건지 최근 들어 아토피가 재발했더군요.성인아토피바디로션 좋다는 거 사서 발라보는데 딱히 효과도 없는 것 같고... 병원 다닐 시간적 여유도,금전적인 여유도 없는데 혹시 성인아토피바디로션 추천해 주실 만한 것있을까요? 진짜 없애고 싶네요...","피지오겔 바디오일이랑 같이 바르면 좋았어요인기순위 사이트 추천해드릴게요판매순, 후기많은순으로 정렬되어있어서 보기 편하더라구요인기순위랑 후기 참고하시면 도움될것같아요​http://www.cjgmarket.co.kr/shop/search.php?sfl=wr_subject%7C%7Cwr_content&sop=and&q=%ED%94%BC%EC%A7%80%EC%98%A4%EA%B2%94&ritem=2497           피지오겔 - 피지오겔 | 최저가마켓 피지오겔 | 최저가마켓 www.cjgmarket.co.kr            http://www.cjgmarket.co.kr/shop/search.php?sfl=wr_subject%7C%7Cwr_content&sop=and&q=%EB%B0%94%EB%94%94%EC%98%A4%EC%9D%BC&ritem=12381           바디오일 - 바디오일 | 최저가마켓 바디오일 | 최저가마켓 www.cjgmarket.co.kr            ​"
성인아토피바디로션 추천좀.....,"어렸을 적에 아토피를 겪고 나서 치료를 받았었습니다.그렇게 잠잠하다가 성인되고 나서, 잦은 야근에 바쁜 업무에..스트레스를 받아서 그런 건지 최근 들어 아토피가 재발했더군요.성인아토피바디로션 좋다는 거 사서 발라보는데 딱히 효과도 없는 것 같고... 병원 다닐 시간적 여유도,금전적인 여유도 없는데 혹시 성인아토피바디로션 추천해 주실 만한 것있을까요? 진짜 없애고 싶네요...","저도 어렸을 때 아토피 겪고 성인되서 재발한 케이스라 잘 알아요.병원 가더라도 연고처방이랑 면역력 강화 얘기하시더라구요.그러다가 성인아토피바디로션을 추천 받아서 쓰고 있는데,제가 쓰는 성인아토피바디로션이 진짜 아토피 환자들에게 유명한 로션이더라구요. 지금 4개월 째 사용 중인데 가려운 것도그렇고 붉게 올라오던 아토피 들도 싹 사라져서 만족하고 있어요.​제가 쓰는 성인아토피바디로션은 아토비케이 제품이에요.이거 개발하신 사장님이랑 사장님 따님도 아토피를 겪다가 이 제품을 개발하셨다고 하시는데, 그래서 믿음이 가더라구요.혹시 도움이 되실까 싶어서 이렇게 답변 남겨 봅니다.홈페이지에 후기도 많으니까 참고하세요                ​"
성인아토피바디로션 추천좀.....,"어렸을 적에 아토피를 겪고 나서 치료를 받았었습니다.그렇게 잠잠하다가 성인되고 나서, 잦은 야근에 바쁜 업무에..스트레스를 받아서 그런 건지 최근 들어 아토피가 재발했더군요.성인아토피바디로션 좋다는 거 사서 발라보는데 딱히 효과도 없는 것 같고... 병원 다닐 시간적 여유도,금전적인 여유도 없는데 혹시 성인아토피바디로션 추천해 주실 만한 것있을까요? 진짜 없애고 싶네요...",안녕하세요 성인아토피바디로션 추천합니다 요즘 아토피가 다시 도지는것 같아서 사용하고 있는건데 가려움과 아토피 증상완화에 아주 좋더라구요 ~ 매일 사용하고 있습니다 성인아토피바디로션 아들이랑 같이 사용중인데 괜찮았어요 아토비케이 제품 추천해드릴게요
성인아토피바디로션 추천좀.....,"어렸을 적에 아토피를 겪고 나서 치료를 받았었습니다.그렇게 잠잠하다가 성인되고 나서, 잦은 야근에 바쁜 업무에..스트레스를 받아서 그런 건지 최근 들어 아토피가 재발했더군요.성인아토피바디로션 좋다는 거 사서 발라보는데 딱히 효과도 없는 것 같고... 병원 다닐 시간적 여유도,금전적인 여유도 없는데 혹시 성인아토피바디로션 추천해 주실 만한 것있을까요? 진짜 없애고 싶네요...","아토피크림은 보습력이 좋아야 하고 상처치유에 좋은 성분이 있어야 합니다.아토피에 좋은 한방제품을 유산균으로 발효시켜 원료를 개발하였고보습에 좋은 원료와 상처치유에 좋은 병풀추출물을 포함하고 있습니다.​한방병원에서 노인분들이 사용하시고 효과를 보셨고손등에 아토피가 심하신 분들도 효과를 보셨습니다.지금 할인행사를 하고 있으니 구입해보시기 바랍니다.​https://smartstore.naver.com/blessme1/products/3891856364             하루종일 수분,보습 강화 크림,닥터아토순, 민감성피부,닥터 아토순, 피부각질에 사용 : BlessMe [BlessMe] 나에게 축복을 주는 화장품 블레스미로 아름다움을 지켜드립니다. smartstore.naver.com           ​"
성인아토피바디로션 추천좀.....,"어렸을 적에 아토피를 겪고 나서 치료를 받았었습니다.그렇게 잠잠하다가 성인되고 나서, 잦은 야근에 바쁜 업무에..스트레스를 받아서 그런 건지 최근 들어 아토피가 재발했더군요.성인아토피바디로션 좋다는 거 사서 발라보는데 딱히 효과도 없는 것 같고... 병원 다닐 시간적 여유도,금전적인 여유도 없는데 혹시 성인아토피바디로션 추천해 주실 만한 것있을까요? 진짜 없애고 싶네요...","안녕하세요.네이버 지식인으로 아토피·습진, 피부질환을 상담하고 치료하는 피부질환 한의학 전문가 임은교 한의사입니다.​​아래에 도움이 되는 내용을 올려드립니다. 아래 내용을 참조하셔서 도움 되시길 바랍니다.​10년 동안 아토피피부염, 화폐상습진 치료 경험과 더불어 식이요법도 중요!​​ ​본인의 병변을 정확하게 파악하지 못한 채 맞춤형 치료를 제안하지 못하는 의사.한의사, 혹은 병.의원에서 메뉴얼적인 진료만 반복하는 의사.한의사를 만나 100% 치료 효과를 보지 못하는 환자들의 공통점은 무엇일까요?​​충격적인 것은 생각보다 많은 분들이 의사.한의사와 병.의원을 선택함에 있어 신중하지 않다는 사실이었습니다. 만약, 감기나 몸살 등등 가벼운 질병들에 대해서는 가까운 병.의원을 찾는 게 맞습니다. 하지만 아토피.습진처럼 난이도가 높은 피부질환에 대해서는 얘기가 달라집니다.​현재 질문자님께서 겪는 증상은 다양한 원인에 의해 발생합니다. 대부분의 질병이 그렇듯 몸에 나타나는 증상은 하나지만 그 증상을 발생한 과정은 신체 복합적인 문제로 인한 것이기 때문에 그 '원인'이 매우 다양합니다. 즉, 온라인에서 말하는 일반적인 관리방법 몇 가지가 근본적인 해결책이 될 수 없습니다.​질문자님이 진짜 믿고 신뢰할 수 있는 전문의를 만나 좋은 치료를 안전하고, 부작용을 최대한 줄이는, 후회 없는 치료를 생각하신다면 병.의원을 3곳 정도 방문해보시고, 진료상담은 매 진료시 마다 최소 1-2시간을 해주는 곳에서 치료를 받는 것이 가장 좋습니다. 그 이유는 질문자님이 말씀하시는 증상들은 난치성(고치기 어려운) 증상에 속하는 것으로 10~20분 만에 증상만 보고 진단을 하고 치유를 한다는 것은 어렵기 때문입니다.​환자가 처한 환경, 식습관, 생활습관, 증상이 발생한 근본 원인 등을 찾고, 근본적인 치유법을 찾기 위해서는 매번 진료시 마다 적어도 1~2시간 정도의 진료 시간이 필요하기 때문입니다.​​저 또한 어렸을 때부터 한의사가 되기 전까지 10여 년간 아토피피부염으로 고생을 한 경험이 있습니다. 그 때가 제 인생을 통틀어 가장 힘든 시기를 보내던 것 같습니다.​대학병원에서 알레르기 첩포 검사도 해봤지만 알레르기 반응을 보인 것도 없어 원인을 알 수 없었습니다. 아토피습진이 심해지기 전에는 연고, 로션, 크림, 유산균이 저의 아토피를 낫게 해줄 것이라고 생각했습니다.​하지만 그런 것들이 근본적인 해결방법이 될 수 없다는 사실을 깨닫기까지는 얼마 걸리지 않습니다. 10년이라는 그 긴 시간동안 저도 여느 환자분들처럼 식이요법, 운동 등 아토피나 습진에 좋다는 것들을 많이 시도했고 피부도 다양한 관리법을 시도하면서 아토피피부염 습진을 치유하게 되었습니다.​이 중에서 제가 직접 경험하면서 도움이 되었던 부분이 실제로 의료인이 되어 알게 된 의학 지식과 일치하는 부분들도 많았고 부족했던 부분도 있었는데, 특히 아토피.습진에 좋은 음식, 식이요법에서는 큰 도움을 받았기 때문에 이 부분에 대해 개인적으로 말씀드리려 합니다.​아토피.습진 음식을 주의하지 않으면 언제든 피부에 염증이 더 심해지고,가려움도 훨씬 심해지는 것을 경험했기 때문입니다.​저는 원래 일 년에 한두 번 두드러기가 생길까 말까 하는 정도로 피부가 건강했고 다른 알레르기 질환(비염, 천식 등)도 없었습니다. 중학교에 올라오면서 여름마다 팔다리의 살이 접히는 부분과 사타구니 가려움증이 생겨 병원에서 처방 받은 연고를 바르기 시작했고 매 여름마다 이런 증상이 반복되곤 했습니다. ​그러던 도중 고등학교로 올라오면서 갑자기 얼굴아토피를 포함하여 전신아토피가 생겼고 증상 자체도 심해졌습니다. 유전적으로 또는 어렸을 때부터 피부 질환이 있었던 것이 아니기 때문에 중학교 때부터 무언가 생활에 변화가 생겼고 고등학교 때 그것이 극대화되었다는 점을 유추해 볼 수 있습니다. ​소화문제는 아토피, 습진 등 피부 가려움증을 악화시킨다​​ ​중·고등학교로 가면서 제 생활에서 가장 많이 변화한 부분 중 하나는 먹는 양이 많이 늘었고 인스턴트나 식품첨가물이 들어가 있는 간식을 먹었다는 점입니다. 특히 아토피가 가장 심하게 올라왔던 고등학교 시기에는 체력 보충을 위해 매 끼니 든든하게 먹고 매점에서도 군것질을 했으며 밤 11시에 꼭 제철과일을 먹고 바로 잠을 잤습니다. ​기존에는 야식을 먹는 습관이 전혀 없었고 식사량이 적었기 때문에 중·고등학교로 오면서 자주 속이 더부룩했고 이런 상황에서 아토피가 급격하게 악화되었습니다.​아토피에 식단 조절이 필요하다는 것을 알았던 것은 아니었지만 자주 속이 불편해서 야식으로 과일을 먹는 습관, 매 끼니를 배부르게 먹는 습관을 없애게 되었습니다. 그러면서 소화가 잘 되어 몸이 편해졌고 저절로 아토피피부염이 어느 정도 호전되어 전처럼 진물이 흐를 정도는 만들어지지 않았습니다. ​이때 어렴풋이 소화기능이 떨어지거나 내가 잘 소화시키지 못하는 음식은 건강한 음식이라고 하더라도 많이 먹었을 때 피부에 독이 될 수 있다는 것을 느껴 항상 먹는 것을 조심하게 되었습니다. ​아이를 키워 본 분들, 특히 아이가 어렸을 때 태열이나 습진, 아토피피부염이 있어서 고생했던 분이시라면 음식관리가 피부질환에 얼마나 많은 영향을 끼치는지 직접 체감하여 잘 알고 계실 것입니다.​​모든 아이들이 그런 것은 아니지만 어렸을 때 태열, 습진, 아토피를 앓는 아이들 중 다수가 소화기능이 성숙하지 않은 상태에서 피부염이 발생합니다. ​즉, 자기가 소화할 수 있는 양보다 많이 먹거나 곧잘 토해낼 때, 소화기능이 또래보다 늦게 발달하고 있는데 이유식을 빨리 진행하거나 음식 종류가 바뀔 때, 배가 항상 빵빵하게 나와 있거나 대변 상태가 좋지 않을 때(변비 또는 설사) 피부염이 잘 나타납니다.​어른들은 소화기능이 떨어지더라도 소화불량이 심하거나 음식 알레르기가 나타나지 않는 경우도 많아 소화와 피부와의 연관성을 간과하기 쉽습니다. 그러나 바쁜 생활로 인해 식습관이 불규칙해지거나 술, 인스턴트식품, 패스트푸드, 사먹는 음식을 위주로 식사하는 생활이 지속되면 필연적으로 소화기능이 떨어지고 피부 가려움증이 나타나게 됩니다.​조금만 검색해보거나 주변을 둘러봐도 이러한 생활로 아토피피부염, 화폐상습진 등의 피부염이 시작된 분들이 많으며 이분들이 식이요법을 통해서 피부 증상이 완화되었다는 것을 심심치 않게 볼 수 있습니다.​​“왜 아토피 습진은 음식과 연관성이 높을까요?”​​ ​​피부질환은 면역질환입니다. 우리의 면역력을 담당하고 있는 부분이 바로 소화기관! ​장이 그 80% 이상을 담당하고 있습니다. 즉 소화기관을 자극시키는 아토피음식이 들어오거나 과잉 섭취되면 이것이 소화 분해되는 과정에서 히스타민 등 염증 물질이 분비됩니다. 또한 체내에서 소화과정이 상당히 오래 걸리고 노폐물과 독소가 다 배출 되지 않고 쌓이게 됩니다. ​그런 것들이 하나 둘 누적되다보면 외부 항원으로 작용할 수 있는 음식물에 대한 소화능력이 떨어지고 피부에 열을 만드니 가려움증이 생기고 피부를 건조하게 만드는 등 피부 장벽을 약하게 만듭니다.​요컨대 건강한 식습관과 식단(식이요법), 소화 기능 향상은 아토피·습진의 피부 관리에 매우 중요한 부분입니다. ​사람마다 각각 건강 상태가 다르기 때문에 똑같은 음식을 먹어도 전혀 다른 반응이 나타날 수 있습니다. 그래서 아토피음식 또한 나의 체질과 소화기 상태에 맞게 섭취해야 염증물질(면역반응)을 줄일 수 있고 소화기능이 원활해짐으로써 피부장벽이 회복되어 아토피.습진이 더 심해지지 않게 관리됩니다.​이를 정확하게 구분하고 섭취하기 위해서는 체질 및 건강 상태에 대해 진단을 받으시고 아토피 습진 원인을 개선하면서 꼼꼼한 식단 티칭(안 좋은 음식 vs 좋은 음식)이 이뤄져야 합니다.​채식을 한다고 해서 피부가 꼭 낫는 것은 아니다.​​식습관을 건강하게 바꾸는 것은 비교적 쉬운 일입니다. 규칙적으로 적당량만 식사하고 천천히 먹으며 술, 인스턴트식품, 패스트푸드, 사먹는 음식 등을 줄이면 됩니다. 그러나 어떤 음식이 내게 맞는지 잘 알고 먹는 것, 즉 식단을 어떻게 구성하여 소화기능을 향상시킬 것인지를 잘 아는 것은 쉽지 않은 일입니다. ​물론 건강에 좋지 않은 음식을 피하는 것만으로도 소화기에 가해지는 부담을 줄여줄 수는 있지만 이것만으로 소화기능을 정상화하기에는 한계가 있습니다.​특히 가장 많이 오해하시는 부분이 채식을 하는 것만으로 아토피나 습진의 상태가 좋아질 것이라고 생각하는 점입니다. 여기에는 두 가지 측면에서 부족한 점이 있습니다. ​                첫째는 피부질환이 심하게 발생할 정도로 소화기능이 떨어진 상태에서는 식습관 교정만으로 소화기능을 정상화하기 힘들다는 점이고, 둘째는 무조건적인 채식이 아니라 자신의 몸에 맞는 음식을 위주로 식단을 구성해야 치료에 도움이 된다는 점입니다.​저 또한 진물이 흐를 정도로 아토피가 심했던 때에는 아무리 소화가 잘 되는 음식을 먹어도 소화가 잘 되지 않았습니다. 죽처럼 소화가 잘 될 만한 음식까지도 소화가 잘 되지 않아 한약으로 소화기를 치료할 수밖에 없었고 소화기능이 회복되고 나서야 아토피가 진정되었습니다. ​그리고 한약치료와 더불어 제게 잘 맞는 음식을 위주로 식단을 구성했습니다. 가려움증이 완전히 없어지기 전까지는 몸에 잘 맞지 않는 음식을 먹을 때 종종 가려움증이 조금씩 올라왔기 때문에 최대한 몸에 맞는 음식들 위주로 식사를 하면서 호전 상태를 유지했습니다.​몸에 맞는 음식과 관련하여 부연설명하자면, 약 10년 동안 아토피 환자였던 저의 경험과 한의사로 피부질환을 진료하면서의 치료경험으로 비추어 보았을 때 자신이 피부와 소화기를 치료하기 위해 복용했던 한약에 들어간 약재와 비슷한 성질의 음식을 위주로 식단을 구성할 경우 초기 치료 속도가 빨라지는 경향이 있습니다. ​반대로 아무리 건강에 좋은 음식이라고 하더라도 자신에게 필요한 약재와 정반대 성질의 음식은 도움이 전혀 되지 않을 수 있습니다. ​채식 위주로 식단 조절을 하고 있는데도 불구하고 아토피피부염이나 화폐상습진 등 피부 가려움증이 전혀 호전되지 않고 있는 분들은 소화기능이 치료가 필요한 정도로 저하되어 있거나 자신에게 맞지 않는 식이요법을 하고 있는 것은 아닌지 확인해보시라는 말씀을 드리고 싶습니다. ​특히 엄격한 식단 조절로 건강을 유지하는 데에 필수적인 영양소가 결핍되지는 않았는지, 성장기 아이들의 경우 성장저하의 위험은 없는지도 함께 살펴보시기 바랍니다.​지금까지 소화기능이 아토피나 습진 등 피부 가려움증에 얼마나 중요한 영향을 끼치는지, 어떻게 치료하고 식단을 관리하여 피부질환을 극복할 수 있는지에 대해 저의 경험을 포함해서 말씀드렸습니다. ​소화기능을 향상하는 것, 각자의 소화기능 향상에 도움이 되는 식단을 구성하는 것이 아토피, 습진과 같은 피부질환에서 중요하다는 점을 다시 한 번 강조해드립니다. 마지막으로 환자분들이 가장 자주 하시는 질문에 대해 말씀 드리면서 글을 마무리하고자 합니다.​식이요법, 영원히 해야 하는 것은 아니다.​피부 가려움증, 피부 질환 치료를 위해 식이요법을 평생 지켜야하는지 묻는 분들이 많습니다. 소화기능 저하 또는 특정 음식물에 대한 과민반응이 아토피 피부염이나 습진 등 피부 가려움증의 원인으로 확인되었다고 하더라도 평생 동안 특정 음식물을 먹지 못하거나 식이요법을 지켜야 하는 것은 아닙니다.​일정 기간 동안 원인 음식물을 제거하거나 소화기능을 향상시키는 식단을 지켜 피부염이 가라앉고 소화기능이 좋아지면 서서히 일반 식단으로 넘어와도 괜찮습니다. 다만 일반식으로 넘어와도 되는 시기나 방법을 정할 때에도 주의가 필요하니 반드시 전문의료인과 상의하여 결정하시기 바랍니다.​이 글이 피부질환이 있는 분들에게 도움이 되셨으면 좋겠습니다.​마지막으로 병.의원을 알아보시기 전에 ​[칼럼 보러가기]● 아토피.습진 피부질환 치료 좋은 의사.한의사를 선택하는 법​[링크] 참조하시면 도움이 되실것입니다.​※ :) 아래 증상에 따른 함께보면 좋은 다른 글 -증상과 관련 된 더 자세한 정보는 아래 네임카드의 홈페이지(블로그)를 방문해 보시면 됩니다.보시고 도움이나 이해가 되셨으면 꼭 채택이나 추천해 주세요.​긴 글 읽어주셔서 감사합니다. 임은교 한의사였습니다."
사회복지사 자격증을 취득하고 싶은데요.저는 지금요양병원에서 근무를 하고있습니다.비용하고 교육내용 병원에서 근무를 하고잇는데 교육을 받을 수 있는지요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요, 교육부 정식인가 교육원 소속 학습플래너 김준규입니다.​병원을 다니고 계시더라도 온라인으로 과정이 진행되기 때문에수월하게 사회복지사 2급 자격증을 취득하실 수 있습니다.​비용적인 부분은 네이버 정책상 언급이 불가능하기 때문에연락주신다면 상세한 설명을 통해 정확한 커리큘럼으로수월하게 과정 진행 하실 수 있도록 도움드리겠습니다.​사회복지사의 경우 이수과목 14과목을 들으시면 사회복지사 2급 자격증이 발급됩니다. 학점은행제 온라인강의를 통해 2학기 과정으로, 8개월 안에 자격증 과정 이수완료가 가능합니다. 위에서 말씀드린 것처럼 사회복지 과목 14과목을 이수하시면 되며 위 14과목은, 온라인강의 13과목 + 사회복지 실습 1과목으로 구성되어 있습니다.​​실습 외에 전과정 온라인강의로 이뤄져 비용이 작고, 대학 재학 중 병행 가능합니다. 실습은 120시간으로, 실습 또한 작성자님 거주지 내 가까운 기관으로 연계 접수드립니다. 학비도 일반 대학교 한학기 등록금의 4분의1 밖에 안되는 금액이라 가격이 부담되는 분들도부담없이 학점은행제를 통해 사회복지사 2급 자격증 취득을 준비할 수 있습니다. ​​더 자세한 내용은 제 프로필(아이디)을 통해 개인문의 주시면1:1 무료 상담을 통해 상세하게 설명드리고 안내드리겠습니다. 지금도 가능합니다. 바로 도움드리겠습니다 :)                ​"
사회복지사 자격증을 취득하고 싶은데요.저는 지금요양병원에서 근무를 하고있습니다.비용하고 교육내용 병원에서 근무를 하고잇는데 교육을 받을 수 있는지요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요. 교육전문 브랜드 '프로스터디' 입니다.​""사회복지사""에 대한 문의글 남겨주셔서 답변드립니다.​사회복지사 2급자격증은 노후대비 유망 자격증으로미래를 위한 대비책으로 취득해놓는것이 좋으신데요.​​사회복지사2급 자격증 취득 조건은 두가지입니다.​​1. 전문대 이상 졸업 또는 전문학사 학위 취득자​2. 온라인수업 13과목 + 실습 1과목 이수​​위 두조건 만족시, 시험 없이 바로 자격증 취득이 가능합니다.교육부의 학점은행제 제도를 이용하신다면, 보다 빠르게 자격증 취득이 가능합니다.​고졸자의 경우 전문대졸학위+사회복지사 2급자격증을동시에 받을 수 있습니다.​2020년부터는 사회복지사업법 시행규칙의 일부개정이이루어지는데요.주요 개정내용은 이수학점이 상향되고, 실습시간이 늘어납니다.그 때문에 서둘러서 취득하시는게 보다 유리합니다.​​▶개정전 과목 14 실습 120시간 ​​▶개정후 과목 17 실습 160시간 세미나 30시간 추가​​좀 더 정확한 안내는 네임카드 클릭하시면 친절하게 상담 도와드리겠습니다.                ​"
