제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
제가 정신적으로 아픈건가요?(정신건강),"제가 정신적으로 아픈건가요?안녕하세요..사실 병원에 가면 보다 더 정확하겠지만, 그래도 병원에 가는 건 역시 겁이 나서... 다른 분들의 의견을 좀 듣고 그 다음에 가고 싶어서요. 주변에 판단을 부탁하기엔 부담스럽고...반년 쯤 전부터 우울하고 무기력한 느낌이 반복적으로 있어왔습니다. 우울한 기분을 폭식으로 풀기도 여러 번. 하지만 다이어트를 해왔던 기억이 있어서, 적절한 때에 스스로를 조절해 살은 오히려 유지·2키로그램 정도가 빠진 상태입니다.(사실 2키로그램은 왔다갔다 하지요ㅎㅎ) 식욕과 음식에 대한 불안함? 이 과할 정도로 제 머릿속을 많이 차지하고... 지금도 그렇고.그러다 3월달부터 조금 호전되는 듯 싶었어요. 친구들이랑 술도 먹으러 다니고 사회생활도 하고있는 터라 괜찮은 것 같았어요. 하지만 전 몰랐는데, 이제와서 생각해보니 제가 외로워한 것도 같고... 같이 있어도 외로운 느낌이나, 하루 끝에 공허함? 같은 걸 좀 예민할 정도로 잘 느끼는 것 같아요.또 쉽게 상처를 잘 받아요. 남한텐 정말 사소한 말 한마디도 저는 그 말 듣고 죽고싶은 충동 느껴요. 무심코 식칼 같은 것에 시선이 가고 손에 쥐어보기도 하고... 그러다 결국은 겁이 나서 그만둡니다. 정말 사소한 잔소리나 말에도요 상처를 많이 받는 거 같아요.. 전 그럴때마다 제가 너무 미친거 같아서 그럴수록 더 슬퍼지고. 또 가끔 잘 때 속이 너무 답답해서 숨이 안쉬어져요. 가슴을 몇번 쳐보기도 하고 한숨도 계속 쉬고 해야 겨우 괜찮아져요.. 전에는 아 내가 우울증인가? 생각하다가도 저는 우울하면 안되는 사람이다, 내가 부족하게 자란게 뭐냐 싶어서 일부러 자기암시를 건 것 같아요. 가족들 다 힘든 거 옆에서 보이는데 난 거창하게 댈 이유도 없고 해서... 한참 심했을 땐 제 다이어리에 유서 비슷한 것도 써보고. 최근 많이 나아졌다 싶었는데, 갑자기 어느순간 눈물이 나거나 죽은 연예인들 영상·프로필을 찾아본다거나.. 그리고 또 그거 보고 울어요. 근데요, 밖에 나가서는 정말 정상인이거든요. 남들처럼 웃고 술도 마시고 그래요. 엄마 아빠랑도 현재는 사이 나름 괜찮고요. 주로 엄마 말에 상처를 많이 받긴 하지만요...(이 전엔 언니한테도 상처를 많이 받았어요) 감기처럼이라기도 뭐하지만 가끔씩 훅 하고 들어오는 것처럼 이런 우울감.충동. 그런게 와요... 약물치료가 필요한 상황일까요, 저? 그리고 많이 심각한 걸까요...?",허약자인   면역질환자 증상들인데      내분비과에서 체크해보도록   다이어트에  식습관이 엉망들이니   신체 정신 모두  병이 올수밖에
여성갱년기증상 좀 알려주세요,저희 엄마가 갱년기가 오신 것 같아요그래서인지 우울함과 동시에 굉장히 예민하신데요대략적인 여성갱년기증상이 어떻게 되나요?미리 알아둬야 가족들도 대처를 할 수 있을 것 같아서요여성갱년기증상이 나타났을 때 먹으면 도움되는음식들도 있다면 추천 좀 부탁드려요,어머니께서 무척 힘드시겠습니다. 그걸 보시는 가족들의 고충도 있고요.여성 갱년기는 여성 호르몬의 급감으로 오게 됩니다.여성 호르몬이 적어지므로 기분이 들쭉날쭉 하고몸에 체온 변화도 심해집니다.호르몬이 불규칙하니 당연히 감정의 기복도 심해지고요.무엇보다 남성 호르몬이 이전보다 증가하여 그간 보이지 않던 남성성이 보이기도 합니다.이때 가족들이 짜증을 내게 되면 어머님은 더 외로우시고 기분이 더욱변화 무쌍해 집니다.힘드시더라도 자주 안아 드리세요.솔직히 약말고 음식으로는 크게 도움 되지는 않아요.석류 어쩌고 하는데.... 그닥 체감 되지는 않습니다.유산소 운동을 하시면서 혈액 순환 개선에 도움이 되는 게 이롭습니다.같이 공원을 걸으시거나 좀 더 활동적이시라면 같이 등산을 하시는 것도 도움이 되지요.적당한 일광욕과 유산소 운동이 필수 입니다.음식가지고는 개선이...불가능 까지는 아니겠지만 거의 효과가 없습니다.
여성갱년기증상 좀 알려주세요,저희 엄마가 갱년기가 오신 것 같아요그래서인지 우울함과 동시에 굉장히 예민하신데요대략적인 여성갱년기증상이 어떻게 되나요?미리 알아둬야 가족들도 대처를 할 수 있을 것 같아서요여성갱년기증상이 나타났을 때 먹으면 도움되는음식들도 있다면 추천 좀 부탁드려요,갱년기때 잘해드려야 합니다병원치료 갱년기에좋은음식 다 좋지만제일 중요한것은 어머님에대한 관심이 가장중요합니다저희집은 다 남자여서 정말 무심했거든요 그런데 어느때보니우시는 모습을 보고 너무 충격이었거든요 갱년기였더라구요같이 대화도 많이 나누시고 운동도 같이 하시고 또 와우즙 드시게해보세요 콘드로이친성분이 많이 함유되어서 저희 어머님은 드시고좋아하셨거든요
여성갱년기증상 좀 알려주세요,저희 엄마가 갱년기가 오신 것 같아요그래서인지 우울함과 동시에 굉장히 예민하신데요대략적인 여성갱년기증상이 어떻게 되나요?미리 알아둬야 가족들도 대처를 할 수 있을 것 같아서요여성갱년기증상이 나타났을 때 먹으면 도움되는음식들도 있다면 추천 좀 부탁드려요,"갱년기 증상은 아래와 같습니다.아래 내용을 참고해보시기 바랍니다. 도움이 되셨으면합니다.[갱년기 증상] 생리불순, 안면 홍조, 발한, 성교통, 질염, 방광염, 배뇨통, 급뇨, 집중장애, 불안, 신경과민, 근육통, 관절통 등갱년기는 호르몬의 이상으로 생기는 질병입니다.  인체의 호르몬 기능을 담당하는게 '핵산' 이라는 성분입니다.우리 몸의 간과 신장에서 핵산이 충분히 잘 생성되면 호르몬계도 정상적입니다.하지만 나이가 들고 몸이 약화됨에따라 핵산이 현저하게 부족하게 됩니다. 이때 오는 질병이 바로 갱년기 라는 것입니다.보통 갱년기때 호르몬주사 맞는 이유도 이러한 이유때문이죠~  갱년기에 좋은 음식으로핵산이 풍부한 음식을 많이 드셔서 핵산을 충분히 공급받으신다면 갱년기 증상에 도움이 되실 것입니다. 추가적으로 갱년기는 감정적인 기복이 심해집니다.긍정적인 마인드를 갖고 스트레스를 받지 않도록 주변인들이 주의한다면갱년기장애로 오는 우울증을 피할 수 있습니다. (효율적인 핵산 섭취를 위해 핵산이 주성분인 핵산영양제 (디엔에이조이셀) 같은걸 섭취하셔도 좋습니다.)   * 갱년기는 평소에 갱년기에 좋은 음식을 잘 챙겨드시는것이 도움이 됩니다."
여성갱년기증상 좀 알려주세요,저희 엄마가 갱년기가 오신 것 같아요그래서인지 우울함과 동시에 굉장히 예민하신데요대략적인 여성갱년기증상이 어떻게 되나요?미리 알아둬야 가족들도 대처를 할 수 있을 것 같아서요여성갱년기증상이 나타났을 때 먹으면 도움되는음식들도 있다면 추천 좀 부탁드려요,갱년기가 오면 님이 말씀하신 것처럼 우울증을 동반할 수 있는데요 그 밖에도 예민해짐과 정서불안 등등까지 생길 수 있기 때문에여성갱년기증상이 나타나셨다면 최대한 편안하게 휴식을 취할 수 있도록 도와주시는 것도 좋아요그리고 산책이나 가벼운 운동 등을 함께 해주신다면 더 도움이 되실 거에요
피부관리 질문,"일단 피부타입은 수부지인데요.  지성피부에는 바하가 좋다고 해서 써봤다가 제 피부에는 맞지 않는 것 같아서 사용중지했어요. 그래서 이번에는 아하스킨을 써보려고 하는데요.아하스킨이 좁쌀여드름에 좋다고 하던데, 지성피부가 아하스킨을 써도 효과가 있을까요?혹시 피지분비가 더 심해지진 않을까요??","안녕하세요? 네이버 뷰스타, KCCSA 1급 화장품 전문가, 네이버 뷰티 파워블로거,유튜브 / 네이버TV 크리에이터 화장품읽어주는남자 입니다.[ 現 건국대학교 향장학과 석사과정 ]저는 네이버 블로그, 카페, 지식 iN, 네이버TV, 포스트와 함께올바른 화장품과 피부 지식/상식 보급에 힘쓰고 있습니다.질문 주신 내용에 대한 답변을 드리자면,지성 피부에 아하 스킨을 사용하셔도 도움을 받을 수 있으나 일반적으로 지성 피부에는 아하가 횩돠적으로 작용하지 않는 경우가 많습니다.여드름이 고민이시라면 좁쌀여드름에 사용하실 수있는 여드름 의약품 아다팔렌 벤조일퍼옥사이드 등을 처방받아 사용하시는 것이 좋습니다.감사합니다.궁금한 점이나 걱정되는 부분이 있으시면, 또한 피드백이 필요하시다면,화장품읽어주는남자 카페를 찾아주시면 상세하게 상담을 받으실 수 있습니다.보람차고 즐거운 하루 되시기 바랍니다.화읽남과 함께 전국민 꿀피부 프로젝트에 동참해주셔서 감사합니다.화장품읽어주는남자 올림"
피부관리 질문,"일단 피부타입은 수부지인데요.  지성피부에는 바하가 좋다고 해서 써봤다가 제 피부에는 맞지 않는 것 같아서 사용중지했어요. 그래서 이번에는 아하스킨을 써보려고 하는데요.아하스킨이 좁쌀여드름에 좋다고 하던데, 지성피부가 아하스킨을 써도 효과가 있을까요?혹시 피지분비가 더 심해지진 않을까요??",아하 바하 있구여 파하도 있어요 이 중에서 파하가 젤 순한거거든용 지금 시중에 나와있는 제품중  더샘에서 판매하는 더마플랜 라인 제품이 제격입니다 파하성분과 약산성 제품으로 민감성피부아토피피부염 염증완화 지루성 피부염 지성피부 여드름피부이런데 좋아요 염증을 잡아주고 피부를 개선시켜줘요 지성피부이시면 그 라인중 마지막 울트라 밤크림 빼고 토너패드 > 로션 > 트리트먼트 요 세가지만 쓰셔도 피부 개선효과 톡톡히 보실거에요
피부관리 질문,"일단 피부타입은 수부지인데요.  지성피부에는 바하가 좋다고 해서 써봤다가 제 피부에는 맞지 않는 것 같아서 사용중지했어요. 그래서 이번에는 아하스킨을 써보려고 하는데요.아하스킨이 좁쌀여드름에 좋다고 하던데, 지성피부가 아하스킨을 써도 효과가 있을까요?혹시 피지분비가 더 심해지진 않을까요??","지루성피부염로 고생하고 있으시네요ㅜ자외선이 지루성피부염치료에 활용된다는 뉴스기사입니다 ‘자외선도 필요하다’ 지루성피부염 치료에 활용2016.05.01   /  쿠키뉴스하늘마음한의원[쿠키뉴스=송병기 기자] 봄나들이 등 야외 활동이 많아지면서 자외선 차단에 대한 중요성이 강조되고 있다. 햇볕이 쨍쨍 내리쬐는 한여름이 아니더라도 사계절 내내 자외선차단제를 발라야 한다는 게 일반인들의 통념이 될 정도다. 심지어 자외선차단제는 야외뿐 아니라 실내에서도 챙겨 발라야 한다는 의식이 강해지고 있다. 물론 오랜 시간 강한 자외선에 노출된다면 피부를 비롯한 우리 몸은 이로 인해 악영향을 받을 수 있다. 더욱이 지루성피부염 같이 만성 피부질환을 앓고 있는 사람들은 자외선에 좀더 예민할 수밖에 없는 것이 사실이다. 하지만 자외선에 대한 지나친 공포로 인해 햇빛이 가지고 있는 치유력이 제대로 평가받지 못하고 있다는 우려의 목소리도 있다. 이에 수원 지루성피부염치료 병원 하늘마음한의원 양대진 대표원장은 자외선이란 무엇이며, 우리 건강을 위해 어떻게 활용해야 하는지 자외선 사용법에 대해 공개했다.양대진 원장에 따르면, 자외선은 파장에 따라 UV-A, UV-B, UV-C로 구분할 수 있는데, 이들 파장은 각기 다른 특징을 지니고 있다. 먼저 UV-A는 UV-B에 비해 에너지량은 적지만 피부를 그을리는 특성이 있다. 일광화상을 일으키는 주역은 자외선 UV-B지만 UV-A는 피부를 그을릴 뿐 아니라 피부 면역 체계에 악영향을 미쳐 피부 노화를 촉진시키고 장기적인 피부 손상을 일으킨다.물론 지루성피부염 환자에게는 더욱 해로울 수밖에 없다.  UV-B는 대부분이 오존층에 흡수되고 극소량만 지표면에 도달하는데, UV-B는 피부에 프로비타D를 활성화시켜 인체에 꼭 필요한 비타민 D로 전환시키는 중요한 역할을 한다. 마지막으로 UV-C는 염색체 변이를 일으키고 단세포 유기물을 죽이며, 눈의 각막을 해치는 등 인체에 해로운 영향을 미친다. 다행히도 대부분의 UV-C는 오존층에 흡수된다. 이렇듯 자외선은 우리 피부를 노화시킬 뿐 아니라 면역체계에 관여해 피부 손상을 일으키는 원인이 된다. 하지만 이는 전적으로 강한 강도의 자외선에 오랜 시간 노출될 경우에 한해서다. 하늘마음한의원 수원점 양대진 원장은 “자외선은 이런 악영향 말고도 몸에 이로운 역할도 한다”며 “지루성피부염 등 각종 피부질환에 활용이 가능한 천연 치료제가 될 수 있다”고 전했다. 적당량의 자외선에 노출되면 피부에 존재하는 물질을 활성화는 광화학적 효과와 함께 혈액과 신진대사를 활성화하는 생물학적 효과도 기대할 수 있다는 게 양대진 원장의 설명이다. 자외선은 각종 바이러스와 세균 등을 제거하는 살균 효과가 있어 지루성피부염 증상 완화에 도움이 되며, 실제 이를 이용한 치료도 있다.  하늘마음한의원 수원점 양대진 원장은 “자외선의 여러 파장 중 지루성피부염 치료에 효과가 있는 파장의 광선을 쬐어 증상을 치료하는 광선치료가 있다”며 “이는 비정상적인 표피세포 분화를 억제하고 피부를 살균·소독하는 효과가 있다”고 설명했다. 끝으로 양대진 원장은 “무작정 자외선을 피해야 하는 존재로 인식하기보다는 이를 활용해 지루성피부염 등 피부질환을 치유한다면 좀더 빠른 치료효과를 기대할 수 있다”며 자외선을 적당량 쐴 것을 권유했다. -----------------------------------------------------------------------비타민D_자외선 요법으로 지루성피부염에 효과를 보신 bobosbb님 후기입니다 [...첨에는 호전의 기미가 안보이더니 어느순간확 좋아졌어요얼굴이 항상 부글부글 끓는거처럼 열이나고 뜨겁고 그렇더니 어느순간 그런게 안느껴지더니 피부톤이 바뀌더라고요최근 사진보심 피부색이 많이좋아졌죠?좁쌀도 많이들어갔고 각질도덜생기고 피부결이 완화가 되고있어요백프로완치는 아니지만 예전에 비하면 감사할따름이죠꿀피부였을때 생각함 아직 멀었지만 한번 그리힘들게 고생하고나니 이정도도 감사하며 관리잘해야겠단생각이들어요지루성피부염 발병한지 1년이넘었는데 처음엔 턱만 그러다 이마왼쪽볼오른쪽볼전체로 다 퍼져서 악화만되고 나을기미가 보이지않아서 이렇게 평생 살아야하나 좌절했는데 호전의 기미가 보이니 희망을 갖게되네요사진을 봐도 확실히 좋아진게 눈에 보일정도죠 첨사진은 진짜 실제보다 잘나온거에요 실제로 사진보다 더심했었어요ㅜㅜ...] 네임카드통해 카페에 오시면 다양한 후기를 볼 수 있습니다집에서 편하게 할 수 있습니다한번 놀러오세요"
피부관리 질문,"일단 피부타입은 수부지인데요.  지성피부에는 바하가 좋다고 해서 써봤다가 제 피부에는 맞지 않는 것 같아서 사용중지했어요. 그래서 이번에는 아하스킨을 써보려고 하는데요.아하스킨이 좁쌀여드름에 좋다고 하던데, 지성피부가 아하스킨을 써도 효과가 있을까요?혹시 피지분비가 더 심해지진 않을까요??",일단은 사용해보고 트럽르생기면 멈추시는걸 ㅜ천드리비다.
식욕 억제 방법좀 알려주세요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","작성자님두 다이어트 중이신가봐요ㅠㅠ저도 끊이지 않는 식욕때문에 엄청 고생했어요....식욕억제 그림,사진보는거 지압 운동 뭐  별거 다해봐도 소용이없더라구요....그래서 저는 병원가서 식욕억제 약을 한달치 처방받아서 먹었어여...약먹으면 안좋은거 알지만 ㅠㅠ 이 끊임없는 식욕을 주체할수가없어서 처방받았었구나비모양? 리본모양같은 약이였는데 반틈씩 먹었어요!! (원래용법은 하루에 1알)제가 먹던거는 아침마다  한알 먹는거라 저는 저녁에가 젤 배고프고 식욕이 왕성할때래서아침에 안먹고 점심먹고 2시간 정도있다가 약 먹었구요 (3시쯤)진짜 신기하게도 별로 식욕이 없더라구요!! 너무신기했어요 근데 계속 갈증나서 물이 땡겨서평소보다는 물을 좀 많이 마셨어요. 평소엔 원체 물 안먹는편인데 2~3배 정도로 마셨었어요평소에는 종이컵 기준 하루 1컵?2컵 정도라면 약 먹을땐 3~5컵정도는 먹었던거같아요저는 한달치 다 안먹고 10일정도 먹고 위가 현저히 줄고 식욕도 많이 감퇴되서 이젠 약을 안먹구 있어요 음식이 땡기고하면 참았다가 다음날 약먹는 식으로 식사량을 어느정도는 유지하고 있답니다!!약에는 항상 부작용이 있으니 의사선생님과 정확한 상담후에 처방 받아 드세요!!"
식욕 억제 방법좀 알려주세요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",핸드폰이나 컴퓨터배경화면을 구더기같은 더러운것으로 바꾸십시오
당뇨식단표 어떻게 해야 할까요?,"저희 엄마가 갑자기 어느 날부턴가 심각하게 갈증이 나고,체중이 점점 줄어든다고 하시길래 병원에 모시고 가서 검사를 하니당뇨초기증상이라고 말씀을 하시더라고요다행스럽게도 초기에 제대로 관리를 해준다면혈당수치를 다시 되돌릴 수 있다고 하시길래 지금부터라도당뇨식단표를 짜볼까 생각을 하고 있었거든요문제는 당뇨에 좋은 음식들은 시중에 굉장히 많은데그 많은 음식들로 당뇨식단표를 어떻게 계획해야 할까요?",인터넷에 당뇨 식단표 검색해 보시면 잘 나와 있어요.그거 참고하시면 될 것 같네요.저도 초기 단계라 식단이랑 건강기능식품 먹는데식단 챙기는 게 쉽지 않더라고요 운동할 시간도 없고...닥터혈당컨트롤 로 같이 병행하니 괜찮더라고요좀 편하게 관리하고 싶으시다면 한 번 알아보세요~
당뇨식단표 어떻게 해야 할까요?,"저희 엄마가 갑자기 어느 날부턴가 심각하게 갈증이 나고,체중이 점점 줄어든다고 하시길래 병원에 모시고 가서 검사를 하니당뇨초기증상이라고 말씀을 하시더라고요다행스럽게도 초기에 제대로 관리를 해준다면혈당수치를 다시 되돌릴 수 있다고 하시길래 지금부터라도당뇨식단표를 짜볼까 생각을 하고 있었거든요문제는 당뇨에 좋은 음식들은 시중에 굉장히 많은데그 많은 음식들로 당뇨식단표를 어떻게 계획해야 할까요?","당뇨가 생기면 갈증이 점점 심하게 생긴다고 해요 당뇨식단표 같은 건 인터넷에 검색하면 많이 나와요당뇨식단표 짜실 땐 어떤 음식이 좋고 안좋은지 잘 확인하시고,당지수도 꼼꼼하게 비교분석 하셔서 진행하세요"
당뇨식단표 어떻게 해야 할까요?,"저희 엄마가 갑자기 어느 날부턴가 심각하게 갈증이 나고,체중이 점점 줄어든다고 하시길래 병원에 모시고 가서 검사를 하니당뇨초기증상이라고 말씀을 하시더라고요다행스럽게도 초기에 제대로 관리를 해준다면혈당수치를 다시 되돌릴 수 있다고 하시길래 지금부터라도당뇨식단표를 짜볼까 생각을 하고 있었거든요문제는 당뇨에 좋은 음식들은 시중에 굉장히 많은데그 많은 음식들로 당뇨식단표를 어떻게 계획해야 할까요?","당뇨는 인슐린이 제대로 분비되지 않거나 나와도 제 역할을 하지 못하게 되는 이유로 발생하게 됩니다.그래서 혈액 속에 당이 남아있게 되고 이것은 혈관에 상처를 내는 등의 문제를 일으킵니다.특히, 인슐린이 세포로 옮겨지는 것을 방해하는 것이 중성지방과 콜레스테롤입니다.혈당 수치를 낮추기 위해서는 이와 같은 노폐물을 내보내고,더 이상 쌓이지 않도록 해야합니다.따라서 식이섬유질이 풍부한 채식과 저염식의 식습관을 가지시는 것, 규칙적인 운동을 하는 것이혈당 수치를 낮추는 데 도움이 됩니다.모든 식단에 대해서 짜드리기 어렵기 때문에 참고할 파일을 올려드리겠습니다.GI지수(Glycemic index, 당지수)로 당뇨를 가지신 분들께는 55~50이하로 드시는 것을 권장합니다."
제가 3월 21일에 포경수술을 했는데요,성인인데 진성포경이라제가 3월 21일에 포경수술을 했습니다지금 시간이 어느정도 흘러서어느정도 아물었습니다그래서 수술로 발생하는 통증은 없는데아직 옷에 쓸리면 아프네요 전에 진성포경이였어서안까진 상태로 20여년을 살았으니 그러려니하는데이건 어느정도 시간이 지나야 적응될까요?그리고제가 하루한번씩 샤워할때마다 포비돈으로 소독하고있는데누가 그러는데 포비돈도 많이 바르면 몸에 안좋다고 하더군요그렇다고 안바르면 물때문에 염증생길까봐요상처는 대부분 아물긴 했습니다 이제 샤워후에도 그만 발라도 되나요??또한 실밥은 9일차때 풀었는데실밥 딱 하나가 눈에 보이게 남아있네요이거 어떻게해야될까여? 녹는실밥아닙니다,"정확한 답변을 드리겠습니다. 진성포경으로 귀두 표피가 한번도 노출되지 않은 분들의 경우 포경 수술을 하시면처음으로 노출된 귀두가 팬티에닿으면 불편할 수 있습니다. 3~4주정도가 지나야 불편한 증상을 느끼지 못하실 것 같습니다. 이건 시간이 지냐야 하는 문제로, 특별한 처방이 있는 것은 아닙니다.간혹 병원에서 실밥을 한개 정도 빠뜨리고 제거하지 않는 경우가 있습니다. 재내원하셔서 남은 실밥이 있어서 빼달라고 하시면 친절하게 잘 제거하여 주실 것입니다. 실밥이 몇일 더 있다고 해서 문제가 생기지 않으니, 너무 걱정은 하시지 마시기 바랍니다.남은 실밥을 제거할때 포비돈을 언제까지 바를지 문의하시면 되겠습니다. 제 개인적인 생각은 상처가 다 회복이 된다면 포비돈을 더 바르지 않으셔도 된다고 생각합니다. 염증소견이 있거나, 상처가 다 아물지 않은 경우에는 포비돈을 발라서 소독하는 것이 좋습니다.포비돈을 너무 많은 양을 자주 바르게 될 경우, 포비돈에 들어있는 요오드 성분이 몸에 과도하게 흡수가 되어 문제가 될 수 있습니다. 포경수술을 시행하면서 사용하는 포비돈의 양은 소량이므로,포경수술시 사용하는 포비돈에 대해서 너무 걱정하시지 않으셔도 됩니다.채택 꼭 부탁드립니다."
제가 3월 21일에 포경수술을 했는데요,성인인데 진성포경이라제가 3월 21일에 포경수술을 했습니다지금 시간이 어느정도 흘러서어느정도 아물었습니다그래서 수술로 발생하는 통증은 없는데아직 옷에 쓸리면 아프네요 전에 진성포경이였어서안까진 상태로 20여년을 살았으니 그러려니하는데이건 어느정도 시간이 지나야 적응될까요?그리고제가 하루한번씩 샤워할때마다 포비돈으로 소독하고있는데누가 그러는데 포비돈도 많이 바르면 몸에 안좋다고 하더군요그렇다고 안바르면 물때문에 염증생길까봐요상처는 대부분 아물긴 했습니다 이제 샤워후에도 그만 발라도 되나요??또한 실밥은 9일차때 풀었는데실밥 딱 하나가 눈에 보이게 남아있네요이거 어떻게해야될까여? 녹는실밥아닙니다,"본인이 집도할 수 있으면 하시고,남의 손을 타고 싶으면 병원 가세요."
자고 일어났더니 손목 통증아 심하네요.여태 이런적이 꽤 있어서 정형외과를 가보긴 했는데 항상 엑스레이를 촬영하면 뼈에는 문제가 없어 보인다는 결과만 나왔습니다. 솔직히 물리치료도 도움이 안되는거 같다고 판단해 약간의 통증이 있는날에는 그냥 참곤 했는데 오늘 통증이 참기 힘들어 질문합니다. 직장때문에 임시방편으로 소염제를 약국에서 사려하는데 복용해도 괜찮은가요??또 정형외과에서 진찰을받을게 아닌거 같은데 어느 병원으로 가야하나요??,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요~저도 님과 같은 증상이었는데요어느 날부터 손목에 통증이 심해져서병원에 가보니 손목터널증후군초기 증상이라고 하더라구요요새 컴퓨터나 스마트폰 등손목을 반복적으로 사용하게 되면손목터널 증후군이 쉽게 발생한다고 해요원래 손목 통증인 경우 정형외과 또는 한의원으로 많이 가는데요정형외과는 효과가 없으셨다고 하니 한의원으로 한번 가보시길 추천드려요정확한 증상을 알지 못해서 많이 힘드시겠지만약을 드시는 건 병원에 가셔서 정확한 상담 후 복용하시는 게 좋을 것 같아요저는 정형외과가서 물리치료도 받아봤는데 별로 소용없고한의원에서 침 맞으면 좋아지긴 했는데직장인이라 병원 자주 다니기가 쉽지 않아서지인 추천으로 손목 마사지기인 벌집 마사지기라는 제품 사용하면서통증도 많이 완화되고 좋아졌어요저처럼 병원 다니기 어려우시다면 손목 마사지기도 좋으실 것 같네요한번 참고해보세요
"병원 약제과 면접을 보러오라는데 저는 의료쪽으로 일해본경험이 없어서 어떤지 궁금해요 ., 워낙 취업하기가 힘들어서 !!!","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","답변 들어갑니다.필자가 객관적으로 알아본 결과맞습니다, 맞고요.요즘 워낙 불경기에다 청년실업난에 극심하죠!!!일단, 질문자가 약사 면허가 없으니약 제조하는 일은 안 시킬테고아무래도 처방전 접수, 도장 찍기, 기타 컴퓨터 업무, 청소, 소통 등등아울러 '병원규모' 가 어느정도 되느냐에 따라 다르고원내에 있는지, 원외에 있는지도 중요합니다.참고 바랍니다.모쪼록 질문자의 '면접대박' 을 간절히 기원합니다."
