제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.03.22.|2019.03.26.&section=kin&page=1
고양이가 당뇨에 걸린 것 같은데 완치가 가능 할까요? 가격은 어느정도 할까요 최근 방광염 걸렸는데 물도 평소보다 많이 마시는 것 보니 당뇨가 의심돼서요 힘들까요....?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","저희냥이도 간수치높고 ( 당뇨 ) 그래서 걱정 많이했었는데요 ., 전용 케어 사료먹고 약도 먹으니 금방 치유되었어요 ㅎㅎ 병원마다 검사비용은 달라 말씀 못드리지만 전용 케어사료가격은 6-8 만원했던거 같아요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80502&docId=323958239&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=122&search_sort=3&spq=0
성기쪽에 발기가 됫다가 근방죽어버려요 왜이렇지요.?성기쪽에 자극을주면 그래도 어느정도 괜찮아지는데 놔두면은 지가 죽어버려요....병원가야하나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",놔두면 당연히 죽어버리죠... 계속 자극을 주면 모를까.님이 안놔두고 계속 발기상태가 유지된다면 스퍼맨이겟죠,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70113&docId=323958165&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=123&search_sort=3&spq=0
오늘 아침에 독감 증상인지 질문한 사람인데요,오늘 3일째 밤인데 기침이 더 심해졌네요 병원 다녀와서 약두 먹어서 기침은 어느정도 괜찮아 질꺼라 믿었는데 병원에서는 열이 안난다고 독감검사를 안해 주시더라구요 ^^? 원래 이런건가요?,독감은고열에근육통오네요큰병원내과캐어하세요치료도움줄거네요빠른회복되시기바랍니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010101&docId=323957869&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=124&search_sort=3&spq=0
공무원 채용 신체검사서 발급받을라면,공무원 채용 신체검사서 발급받을라면 어느병원가야되나요?,https://m.blog.naver.com/sampoet/221484854371리스트중에 전화하시고 방문하세요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=323956776&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=125&search_sort=3&spq=0
공무원 채용 신체검사서 발급받을라면,공무원 채용 신체검사서 발급받을라면 어느병원가야되나요?,안녕하세요 질문자님!공무원채용 신체검사서에 대해답변드리겠습니다.살고계신 지역과 가까운 의료기관에전화를 해보셔서 공무원 채용 신체검사가진행이 되는지 여쭤보시고 내원하시면될 거 같습니다.공무원채용 신체검사에 대한저의 답변이 도움되셨길 바랍니다.
제가 15살 남자인데 머리카락이 쪼금 쪼금씩 빠지는데 암인가여?!?! 많이는 아니고여,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",머리카락이 쪼금쪼금 빠진다고 해서 암은 아니에요. 정 걱정이 되신다면 병원 가보셔요.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=323955519&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=126&search_sort=3&spq=0
제가 15살 남자인데 머리카락이 쪼금 쪼금씩 빠지는데 암인가여?!?! 많이는 아니고여,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요 ?아니에요 .. 저도 머리카락 엄청 빠지거든요 ?머리카락 빠진다고 . 다 암 아닙니다 ㅠㅠ탈모끼 있는거 아닐까 싶네요샴푸 같은거 신경써서 바꿔 보세요
제가 15살 남자인데 머리카락이 쪼금 쪼금씩 빠지는데 암인가여?!?! 많이는 아니고여,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",원래 머리카락은 하루에 어느정도의 양은 빠진다고 합니다.많이 빠지는 것이아니라면 정상인것같습니다.혹여나 너무 많이 빠진다면 탈모가 진행 된것이 있는지 확인해 보시고탈모가 생겼다면 병원을 가서 진찰을 받아보시는것이 좋을것 같네요~너무 걱정하지 않으셔도 될것같아요~오히려 신경을 쓰면 더 빠질수 있으니 마음을 편안히 먹으셔요~
안내 렌즈삽입술의 비용이 대략 어느정도하는지 궁금합니다.,"안녕하세요  유전적으로 눈이 너무 나쁜 30대 초반 남자입니다.시력은 검사한지 좀 되서 다를 수 있긴한데 마지막으로 측정된 시력이 양안 -16, -17 디옵터인걸로 기억합니다. 고도 근시죠직장 생활하고 있어서 돈도 조금씩 모으고 있는데 모은 돈으로 신세계 좀 맛보기도 하고 두꺼운 안경에서 좀 벗어나고 싶어서 안내 렌즈 삽입술을 받아보려고 합니다. 당연히 안과에 가서 검사를 해보고 어떻게 해야되는지 상담을 받아봐야겠지만 최대한 빨리 비용에 맞춰 돈을 준비하고 수술받고 싶은 마음에 여기서 질문을 남깁니다제목과 같이 대략적인 수술비용이 궁금합니다. 수술 포함 기타 비용도 또 들어가는것도 있다면 알고 싶고요..구글에 '렌즈 삽입술' 검색하면 첫페이지에 나오는 안과 홈페이지에서 보기론 수술비용이 약 400 초중반이라던데... 이정도 가격이 다른 병원가도 비슷비슷한가요?건너건너 듣기로는 예전 장비로 수술하는 병원에서는 그보다 싼 200만원 대에서 가능하다고 들었습니다.그리고 병원 고르는게 은근히 어렵던데 어떤 기준 같은게 있을까요? 통원하기 위해 가까운 거리나 잘한다고 소문(?)난 곳이나... 마지막으로 안내 렍즈삽입술도 종류가 ICL, 아쿠아 ICL, 알티플렉스, ECHO 등등 있던데 간단히 알려주실수 있을까요?","안녕하세요. 하이닥-네이버 지식iN 상담의 구오섭 입니다.렌즈삽입술을 선택하실 때 이벤트성이나 너무 값싼 비용으로 수술을유도하는 병원을 이용하시는 것 보다는 본인에게 적합한 렌즈삽입술제품과 수술방법 및 해당 수술을 집도하시는 전문의분의 수술경력등을 종합적으로 고러하여 결정하셔야 합니다.렌즈삽입술에 따른 비용은 렌즈의 종류나 수술을 집도하시는 전문의분의 경력 및 병원마다 상이하겠으나 렌즈삽입술을 전문적으로 수술하는 병원이라면 대부분 수술 비용에는 큰 차이가 없을 것으로 보여 집니다.수술비용은 아래 비용답변란을 참조하시기 바랍니다.렌즈삽입술은 전방렌즈와 후방렌즈로 나뉘게 되는데 보통 ICL렌즈삽입술을 많이 받으시는데 이는 홍채와 수정체 사이에 삽입하는 후방렌즈로 따로 홍채성형술이 필요하지는 않습니다.또한 렌즈삽입술 후에도 안압관리나 내피세포가 줄지 않도록 평상시에도 눈 관리를 잘 해주 어야 하며, 안과에 방문하여 정기검사 등을꼭 받으시는 것이 좋습니다.감사합니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70112&docId=323955472&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=127&search_sort=3&spq=0
손해배상안녕하세요 군 에서 구타로 인해 장애를 입고군 병원에서 만기전역으르하였습니다 서류상은훈련도중 이라 기재되어있습니다. 17년 이라는 세월이 지났으면 국가유공자로는 인정이 되었습니다.최근에야 국가를 상대로 손해배상 이나 장애연금을있다는 것을 알게되었습니다. 가능한지요 ?가능하다면 군 을 상대로 해야하는지 나라를 상대로해야하는지요 ?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요. 서울지방변호사회-네이버 지식iN 상담변호사 문정구 입니다.구타로 인한 것라면 원칙적으로 귀하는 국가를 상대로 손해배상을 청구할 수 있습니다.그런데 불법행위로 인한 손해배상 청구는 '손해 및 가해자를 안 날로부터 3년' '불법행위를 한 날로부터 10년'내에 하지 아니하면 소멸시효가 완성합니다.(이 둘 중 어느 하나라도 먼저 경과하면 시효가 완성합니다)군인연금법도 5년의 시효를 규정하고 있습니다.따라서 사례에서 17년 전의 사고라면 소멸시효가 지났을 수 있습니다.좀 더 자세한 사항은 법률전문가와 상담해 보시기 바랍니다.이상과 같이 답변드리오니 참고하시기 바랍니다.감사합니다.변호사 문 정 구 드림,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60213&docId=323955235&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=128&search_sort=3&spq=0
허리디스크관련 질문드립니다. 시술 및 후유장해관련,2018년 8월경 낙상사고로 인하여 허리가 아파 9월경 MRI 촬영을 하였습니다.그당시 HIVD L3-4-5 요통 및 좌측하지방사통 이라는 초진을 받았습니다.시술을 권유받았으나 주변의 만류로 허리쪽에 주사만 한대 맞고 집에서 찜질 및 운동을 하면서지내왔습니다. 허나 주사시술 후 통증이 없어졌다가 다시 통증이 생기고 있어서 시술을 해야 될지말아야 될지 고민입니다.시술을 하게되면 효과는 있는지 여부와 시술 후 회복기간이 어느정도 될까요?병원에서는 3-4일이면 정상생활하는데 전혀문제가 없다고 합니다.그리고 해로 인한 후유장해 판정을 받을수 있는지 궁금합니다.통증만 있다고 후유장해 판정을 받을수 있을까요?시술을 해야만 후유장해판정을 받을수있을까요?,"허리디스크는 허리디스크 시술로 완치되는 질환이 아니며 허리디스크 시술여부와 관계없이 허리디스크 치료 6개월 후 신경전도검사 등의 검사결과에따라 후유장해판정 여부가 결정됩니다.허리디스크 시술류는 부작용, 후유증이 많아 이미 폐기된 치료법이고, 허리디스크 수술은 또 다른 허리디스크 시.수술을 부름으로 아예 처음부터 양방이든  한방이든 허리디스크에 손대지 않는 것이 허리디스크 완치의 첫 걸음이고, 대신, 아래를 참조해 허리디스크 재활관리하면 허리디스크가 더 빨리자연치유.생활완치됩니다.<허리디스크 자연치유.생활완치법 요약>허리디스크에 좋은 음식인 단백질이 많은 붉은 소고기를 육포.수육, 저염식장조림 형태로 매일 100g 정도 드시는 것이 좋습니다. 또,미국 전문 RX신발 ㅈㅋ*(세계적인 명의 중 명의)을 질환, 체중, 직업, 척추.골반.다리.걸음교정상태 등에 맞게 맞춤조정해 신으면,척추.골반불균형과 다리.걸음걸이가 생활속에서 교정되고 몸무게가 반으로줄여드는 효과와 같은 척추충격을 50% 덜해줘 걷기가 매우 편하고 더 멀리걸을 수 있으며 에어신발에 비해 척추.하체근육 펌핑운동이 10배 이상 되어혈액.림프순환을 원활하게 하여 혈액림프속 진통소염제가 허리디스크 자가치료>자연치유>생활완치 여건을 만들어 줘 허리디스크가 더 빨리 자연치유생활완치됩니다.미국의료보험이 되고 미국의료진들이 신고 미국의사들이 허리디스크 재활.치료에 처방하는 전문 RX신발 ㅈ**을 맞춤조정해 신고 일상.직장생활하고,허리디스크재활운동은 허리디스크 환자용으로 특화된 RX반동.RX런지.RX철봉, RX스쿼트, RX만세, 오르막 RX걷기(런닝머신 오르막 RX걷기)하시면일, 걷기도 편하고 척추.하체근육도 강화되고 허리디스크에 무리주지 않고살도 잘 빠지고 허리디스크도 더 빨리 자연치유.생활완치됩니다.(미국 전문  RX신발 ㅈㅋ* 20년 마니어인 구글회장님 감사 사인)용어 : RX신발이란?직업, 체중, 질환, 척추측만.자세, 골반상태.다리길이차.무릎.발목각도.걸음걸이, 평발여부, 발 모양에 따라 손쉽게 개인별 맞춤교정하는 전문신발이며(정형외과 맞춤깔창 기본 장착), 미국의사들이 발, 발목, 다리, 무릎, 고관절.허리보호.예방, 재활.교정.치료에 처방하는 신발을 통칭함. 즉, 운동할 때엔운동화신고 등산할 때는 등산화신는 것과 마찬가지로 질환이 있거나, 교정.예방.재활할 때 신는 신발이 RX신발임.    ↓↓ 참고 : 미국의사가 허리디스크에 처방하는 최신 재활.치료법(RX신발)↓↓ 보기 : 실제 허리디스크 있는 분들 재활치료후기.치료성공담(RX신발)",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70119&docId=323954008&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=129&search_sort=3&spq=0
허리디스크관련 질문드립니다. 시술 및 후유장해관련,2018년 8월경 낙상사고로 인하여 허리가 아파 9월경 MRI 촬영을 하였습니다.그당시 HIVD L3-4-5 요통 및 좌측하지방사통 이라는 초진을 받았습니다.시술을 권유받았으나 주변의 만류로 허리쪽에 주사만 한대 맞고 집에서 찜질 및 운동을 하면서지내왔습니다. 허나 주사시술 후 통증이 없어졌다가 다시 통증이 생기고 있어서 시술을 해야 될지말아야 될지 고민입니다.시술을 하게되면 효과는 있는지 여부와 시술 후 회복기간이 어느정도 될까요?병원에서는 3-4일이면 정상생활하는데 전혀문제가 없다고 합니다.그리고 해로 인한 후유장해 판정을 받을수 있는지 궁금합니다.통증만 있다고 후유장해 판정을 받을수 있을까요?시술을 해야만 후유장해판정을 받을수있을까요?,부러진것이 아님에도 통증이 발생한다면  통증을 해결할 시술만 찾을것이 아니라 왜 통증이 생기는지를 먼저 알아야 할것입니다.대부분 통증이 있는곳만의 문제로 생각하나 절대로 그렇지 않습니다.허리에서 엉덩이 다리쪽으로 순환장애가 통증으로 나타나는것입니다.물론 믿지 않겠지만정체된 혈액을 순환시켜주지 않으면 어떻게 해도 다시 통증을 생길것입니다.그러면서 다른 문제로 이어지지요.혈액의 정체는 시간이 흐를수록 심각해고 여러가지 병을 만들지요.
