제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.10.22.|2018.10.26.&section=kin&page=1
원래도 가슴이 답답하고 그랬는데 운동부족인가 싶었는데운동을 몇달해보니 면역력은 늘어도 그래도 가슴이 답답하고운동해도 가슴답답하고 숨쉬기도 힘들어요어느 병원을가야하나요? 엑스레이 찍어도 아무 이상없는데 어디 병원을 가야하고 무슨검사를 해야아는건가요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",흉부사진은 이미 찍으셨다니까..내가에 가셔서 일차적으로일단 심전도하고 폐기능 검사를 해보세요.그리고 나서 결정을 하시면 됩니다.
남자친구와 관계하면서 한번도 피임한적없고요 질에사정한적도없습니다 나올꺼같으면 바로빼고 그랬는데 어느날갑자기 생리를안해요..... 제가 한달기준으로23에서25일쯤 하는데 안한지2~3일된거같아요 너무 불안해요.... 한지는1주일조금넘었습니다 테스트기를해2번해봤어요 아침. 저녁 했는데 비임신이라는데 해결방안이없을까요? 병원을 혹시부모님이랑 가야되나요? 제가고3인데아직...이런말하는것도 챙피하고 그런데 급해서 글올려요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",임테기는 관계 후 2주후부터 알 수 있어요..나이도 어린데 콘돔 끼고 하세요; 질외사정은 피임방법이 아닙니다...남친도 참..
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)",밀가루는거의다수입품으로방부제가엄청들었네요과자.라면.분식.짜장면등은좋치않네요큰병원소화기내과케어하세요검진후치료도움줄거네요참고되시기바랍니다.
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","저는 대체의학을 공부하여 치병의 원리는 조금은 터득한 사람입니다. 저의 설명을 잘 새겨들으시면 해법을 찾을 수 있을 것입니다.  먼저 자신의 병은 자기 자신이 치료(자체치유력)하는 것입니다. 그러므로 지피지기를 하셔야 하실 것입니다. 역류성 식도염이 무엇인가를 먼저 정확히 아셔야 치료 또한 가능한일 아니겠습니까? 병원 의사에게 역류성 식도염의 정확한 원인이 무엇인가 하고 물으면 아마도 정확한 원인은 모른다고 하실 것입니다. 원인도 모르면서 치료할 수 있다는 말은 어법이 성립되지 않는 것입니다. 이러한 점이 현대의학의 실태인 것입니다. 어느 내과 의사가 진료 받으러온 환자에게 “신경성 위장병에는 약이 없습니다.” 하면서 약을 처방해주는 웃지 못 할 세상에서 어쩔 수 없는 선택을 해야만 하는 현대인들의 애처로운 심정을 무엇으로 대변할 것인지 참으로 안타까운 일입니다. 이제는 자신의 건강은 자신이 책임져야 하는 시대에 이르지 않았나 생각 됩니다. 역류성 식도염이;란 위액이 역류하여 식도에 염증이 발생되었다는 병명이나 그것은 나타나는 증상에 불과한 것이지 원인이 아니라는 말이며, 원인은 위액이 역류한다는 것이고, 그 또한 위의 분문(위상문) 괄약근의 힘이 느슨해져서 그러하며 그 근본적인 원인은 위의 기능이 저하되어 그러하며, 위장의 기능은 담적에 의해서 저하된다고 합니다. 결국은 위장의 기능이 정상적인 회복이 되어야 분문 괄약근의 힘이 정상이 될 것이며, 역류성 식도염도 낫을 것 입니다. 미련한 중생들이 위산이 많아서라고 위산억제제나 먹이고, 염증이 원인이라고 소염제나 항생제나 먹여서 치료해보겠다는 발상 그 자체가 잘못되었으니 치료가 되지않는다는 것은 자명한일 인 것입니다.밀가루는 체물이라고하여 한의에서도 위장병 환자에게는 피하라고 하는 음식인 것입니다. 요즈음 체하지 않는 밀가루를 연구중에 있다고 들었습니다. 역류성 식도염에서 특히 주의해야할 부분이 식사를 할 때, 젓가락으로만 식사를 해야하며, 식후 전, 후 1시간 이내에는 물을 먹으면 안된다고 합니다. 담적병을 검색해보시면, 위장병의 개념이 바뀌실 것입니다. 위장 내부의 문제가 아니며,미들존 이라고 하는 위의 외벽의 문제이므로 내시경으로도 잡히지 않으며, 위장병의 원인을 모른다는 말과도 일맥상통하는 것입니다.담적을 푸는 방법 또한 검색해보시고, 위장병의 책임은 본인에 있다는 말도 있답니다.참고하시기 바랍니다."
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","안녕하세요, 질문자님.역류성 식도염으로 인해 고생하고 계시는군요.빠른 쾌유 하시기 바랍니다.역류성식도염은 위액이 식도로 역류하여 쓰리고 아픈 증상이 지속되는 질병입니다.증상으로는 가슴 쓰림, 신물이 넘어옴, 속의 더부룩함,명치 끝의 통증, 트림의 반복 등이 있습니다.역류성식도염은 하부 괄약근의 기능저하로 발생하게 되는데요.하부 식도 괄약근이 약해지고 헐렁해져 제대로 기능을 하지 못하면위산과 같은 위액이 식도로 역류하게 됩니다.역류한 위액이 식도의 점막을 자극하면 염증이 생기고그로 인해 궤양과 출혈이 발생하게 되는데 이를 역류성식도염이라고 합니다.역류성식도염의 치료방법으로는 한방치료를 추천해드립니다.한의학에서는 역류성식도염을 치료하기위해 울체된 기를 풀어주고자율신경의 안정을 도와주는 한약을 처방하고 있습니다.한약 외에도 발효환과 뇌척수액 주사, 체질에 따른 침 시술을 통해역류성식도염이 완치될 수 있습니다.더 궁금한 점이 있으신 경우, 네임카드를 참고해주세요.감사합니다^^"
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","자주 재발하는 역류성식도염을 치료하기 위해서는 단순히 약을 복용하는 것에 그치지 않고생활습관 및 식습관의 개선이 필요합니다.역류성식도염을 개선하는 방법으로는스트레스를 줄이고 바른 식습관과 생활습관 들이기, 건강기능식품 챙겨먹기 등이 있습니다.몸을 이완시키는 명상이나 스트레칭, 족욕 등이 역류성식도염을 개선시키는데 도움이 되며지나치게 뜨겁거나 차가운 음식 피하기, 자극적인 음식 피하기, 식사량 자체를 줄이기는 방법이 있습니다. 병원에서 약을 처방 받으셔서 섭취하시더라도 약이 위산을 중화시키는 제산제의 역할을하므로 생활습관 조절을 함께 하시는 것을 원칙으로 하는 것이 좋습니다. 또한 역류성식도염은 소화불량 등으로 인하여 위 점막이 약해져 염증이 발생되어 역류하는현상이므로 소화불량도 같이 잡아주는 것이 좋습니다.소화불량은 평소 소화가 안 되었던 음식들 피하기, 식후에는 바로 눕지 않기, 국물음식을 줄이기. 몸 건강을 위해서 영양제를 챙겨 먹는 것도 좋은 방법입니다.(네이버에 검색하시면 ‘위양배추,’소하튼‘ 등의 다양한 제품 검색됨)모든 질병들이 그렇지만 특히 식습관이나 생활습관과 연관이 많은 역류성식도염은 약을 복용한다고 완치되는 것이 아님을 이해하시고 바른 식습관과 생활습관, 건강기능식품 챙겨먹기 등을 통해 꾸준히 관리하시기 바랍니다.소화불량이 지속되면 관련된 영양제(건강기능식품)를 챙겨 먹는 것도 좋습니다."
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)",밀가루는거의다수입품으로방부제가엄청들었네요과자.라면.분식.짜장면등은좋치않네요큰병원소화기내과케어하세요검진후치료도움줄거네요참고되시기바랍니다.
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","저는 대체의학을 공부하여 치병의 원리는 조금은 터득한 사람입니다. 저의 설명을 잘 새겨들으시면 해법을 찾을 수 있을 것입니다.  먼저 자신의 병은 자기 자신이 치료(자체치유력)하는 것입니다. 그러므로 지피지기를 하셔야 하실 것입니다. 역류성 식도염이 무엇인가를 먼저 정확히 아셔야 치료 또한 가능한일 아니겠습니까? 병원 의사에게 역류성 식도염의 정확한 원인이 무엇인가 하고 물으면 아마도 정확한 원인은 모른다고 하실 것입니다. 원인도 모르면서 치료할 수 있다는 말은 어법이 성립되지 않는 것입니다. 이러한 점이 현대의학의 실태인 것입니다. 어느 내과 의사가 진료 받으러온 환자에게 “신경성 위장병에는 약이 없습니다.” 하면서 약을 처방해주는 웃지 못 할 세상에서 어쩔 수 없는 선택을 해야만 하는 현대인들의 애처로운 심정을 무엇으로 대변할 것인지 참으로 안타까운 일입니다. 이제는 자신의 건강은 자신이 책임져야 하는 시대에 이르지 않았나 생각 됩니다. 역류성 식도염이;란 위액이 역류하여 식도에 염증이 발생되었다는 병명이나 그것은 나타나는 증상에 불과한 것이지 원인이 아니라는 말이며, 원인은 위액이 역류한다는 것이고, 그 또한 위의 분문(위상문) 괄약근의 힘이 느슨해져서 그러하며 그 근본적인 원인은 위의 기능이 저하되어 그러하며, 위장의 기능은 담적에 의해서 저하된다고 합니다. 결국은 위장의 기능이 정상적인 회복이 되어야 분문 괄약근의 힘이 정상이 될 것이며, 역류성 식도염도 낫을 것 입니다. 미련한 중생들이 위산이 많아서라고 위산억제제나 먹이고, 염증이 원인이라고 소염제나 항생제나 먹여서 치료해보겠다는 발상 그 자체가 잘못되었으니 치료가 되지않는다는 것은 자명한일 인 것입니다.밀가루는 체물이라고하여 한의에서도 위장병 환자에게는 피하라고 하는 음식인 것입니다. 요즈음 체하지 않는 밀가루를 연구중에 있다고 들었습니다. 역류성 식도염에서 특히 주의해야할 부분이 식사를 할 때, 젓가락으로만 식사를 해야하며, 식후 전, 후 1시간 이내에는 물을 먹으면 안된다고 합니다. 담적병을 검색해보시면, 위장병의 개념이 바뀌실 것입니다. 위장 내부의 문제가 아니며,미들존 이라고 하는 위의 외벽의 문제이므로 내시경으로도 잡히지 않으며, 위장병의 원인을 모른다는 말과도 일맥상통하는 것입니다.담적을 푸는 방법 또한 검색해보시고, 위장병의 책임은 본인에 있다는 말도 있답니다.참고하시기 바랍니다."
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","안녕하세요, 질문자님.역류성 식도염으로 인해 고생하고 계시는군요.빠른 쾌유 하시기 바랍니다.역류성식도염은 위액이 식도로 역류하여 쓰리고 아픈 증상이 지속되는 질병입니다.증상으로는 가슴 쓰림, 신물이 넘어옴, 속의 더부룩함,명치 끝의 통증, 트림의 반복 등이 있습니다.역류성식도염은 하부 괄약근의 기능저하로 발생하게 되는데요.하부 식도 괄약근이 약해지고 헐렁해져 제대로 기능을 하지 못하면위산과 같은 위액이 식도로 역류하게 됩니다.역류한 위액이 식도의 점막을 자극하면 염증이 생기고그로 인해 궤양과 출혈이 발생하게 되는데 이를 역류성식도염이라고 합니다.역류성식도염의 치료방법으로는 한방치료를 추천해드립니다.한의학에서는 역류성식도염을 치료하기위해 울체된 기를 풀어주고자율신경의 안정을 도와주는 한약을 처방하고 있습니다.한약 외에도 발효환과 뇌척수액 주사, 체질에 따른 침 시술을 통해역류성식도염이 완치될 수 있습니다.더 궁금한 점이 있으신 경우, 네임카드를 참고해주세요.감사합니다^^"
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","자주 재발하는 역류성식도염을 치료하기 위해서는 단순히 약을 복용하는 것에 그치지 않고생활습관 및 식습관의 개선이 필요합니다.역류성식도염을 개선하는 방법으로는스트레스를 줄이고 바른 식습관과 생활습관 들이기, 건강기능식품 챙겨먹기 등이 있습니다.몸을 이완시키는 명상이나 스트레칭, 족욕 등이 역류성식도염을 개선시키는데 도움이 되며지나치게 뜨겁거나 차가운 음식 피하기, 자극적인 음식 피하기, 식사량 자체를 줄이기는 방법이 있습니다. 병원에서 약을 처방 받으셔서 섭취하시더라도 약이 위산을 중화시키는 제산제의 역할을하므로 생활습관 조절을 함께 하시는 것을 원칙으로 하는 것이 좋습니다. 또한 역류성식도염은 소화불량 등으로 인하여 위 점막이 약해져 염증이 발생되어 역류하는현상이므로 소화불량도 같이 잡아주는 것이 좋습니다.소화불량은 평소 소화가 안 되었던 음식들 피하기, 식후에는 바로 눕지 않기, 국물음식을 줄이기. 몸 건강을 위해서 영양제를 챙겨 먹는 것도 좋은 방법입니다.(네이버에 검색하시면 ‘위양배추,’소하튼‘ 등의 다양한 제품 검색됨)모든 질병들이 그렇지만 특히 식습관이나 생활습관과 연관이 많은 역류성식도염은 약을 복용한다고 완치되는 것이 아님을 이해하시고 바른 식습관과 생활습관, 건강기능식품 챙겨먹기 등을 통해 꾸준히 관리하시기 바랍니다.소화불량이 지속되면 관련된 영양제(건강기능식품)를 챙겨 먹는 것도 좋습니다."
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)",밀가루는거의다수입품으로방부제가엄청들었네요과자.라면.분식.짜장면등은좋치않네요큰병원소화기내과케어하세요검진후치료도움줄거네요참고되시기바랍니다.
위산부족 역류성식도염,"매운음식 잘못먹고 2017년 1년동안 역류성 식도염으로 진짜 무지하게 고생해서 몸무게가 10kg이 빠졌습니다. 그래서 1년동안 병원 다니면서 위산억제제 넥시움을 먹었는데요. 약 효과도 점점 사라져서 올 해 1월부터 넥시움도 끊고 식단관리 하면서 스스로 나으려고 노력하니까 조금씩 나아지더라구요. 그래서 조금씩 먹는 음식의 종류와 양을 늘려봤습니다. 그랬더니 어느순간부터 적당히 매운음식과 술을 먹어도 전혀 탈이 없더라구요. 너무 기뻐서 마구마구 먹었더니 10kg 찌고 다시 원래 몸무게로 돌아왔습니다. 근데 딱 한 가지 밀가루 음식.... 밀가루 음식만 먹으면 한 일주일을 무지하게 고생합니다. 소화도 안되고 배 고픈 것도 모르고 물 마시면 더 심해지면서 역류하고...당시에는 너무 고생하니까 안 먹기를 다짐하지만 또 괜찮아져서 잊고 지내다보면 밀가루 먹고 또 탈 나고... 바보같이 반복 중입니다. 근데 다른 음식들은 정말 다 괜찮은데 하물며 술을 먹어도 괜찮은데 왜 밀가루만 먹으면 정말 이렇게 탈이 날까요..? 평생 밀가루 끊어야 할까요..?(쌀국수, 카레, 팝콘 이런건 또 괜찮은데 짜장면, 짬뽕, 라면, 빵, 다코야키 이런거 먹으면 최악입니다..)","저는 대체의학을 공부하여 치병의 원리는 조금은 터득한 사람입니다. 저의 설명을 잘 새겨들으시면 해법을 찾을 수 있을 것입니다.  먼저 자신의 병은 자기 자신이 치료(자체치유력)하는 것입니다. 그러므로 지피지기를 하셔야 하실 것입니다. 역류성 식도염이 무엇인가를 먼저 정확히 아셔야 치료 또한 가능한일 아니겠습니까? 병원 의사에게 역류성 식도염의 정확한 원인이 무엇인가 하고 물으면 아마도 정확한 원인은 모른다고 하실 것입니다. 원인도 모르면서 치료할 수 있다는 말은 어법이 성립되지 않는 것입니다. 이러한 점이 현대의학의 실태인 것입니다. 어느 내과 의사가 진료 받으러온 환자에게 “신경성 위장병에는 약이 없습니다.” 하면서 약을 처방해주는 웃지 못 할 세상에서 어쩔 수 없는 선택을 해야만 하는 현대인들의 애처로운 심정을 무엇으로 대변할 것인지 참으로 안타까운 일입니다. 이제는 자신의 건강은 자신이 책임져야 하는 시대에 이르지 않았나 생각 됩니다. 역류성 식도염이;란 위액이 역류하여 식도에 염증이 발생되었다는 병명이나 그것은 나타나는 증상에 불과한 것이지 원인이 아니라는 말이며, 원인은 위액이 역류한다는 것이고, 그 또한 위의 분문(위상문) 괄약근의 힘이 느슨해져서 그러하며 그 근본적인 원인은 위의 기능이 저하되어 그러하며, 위장의 기능은 담적에 의해서 저하된다고 합니다. 결국은 위장의 기능이 정상적인 회복이 되어야 분문 괄약근의 힘이 정상이 될 것이며, 역류성 식도염도 낫을 것 입니다. 미련한 중생들이 위산이 많아서라고 위산억제제나 먹이고, 염증이 원인이라고 소염제나 항생제나 먹여서 치료해보겠다는 발상 그 자체가 잘못되었으니 치료가 되지않는다는 것은 자명한일 인 것입니다.밀가루는 체물이라고하여 한의에서도 위장병 환자에게는 피하라고 하는 음식인 것입니다. 요즈음 체하지 않는 밀가루를 연구중에 있다고 들었습니다. 역류성 식도염에서 특히 주의해야할 부분이 식사를 할 때, 젓가락으로만 식사를 해야하며, 식후 전, 후 1시간 이내에는 물을 먹으면 안된다고 합니다. 담적병을 검색해보시면, 위장병의 개념이 바뀌실 것입니다. 위장 내부의 문제가 아니며,미들존 이라고 하는 위의 외벽의 문제이므로 내시경으로도 잡히지 않으며, 위장병의 원인을 모른다는 말과도 일맥상통하는 것입니다.담적을 푸는 방법 또한 검색해보시고, 위장병의 책임은 본인에 있다는 말도 있답니다.참고하시기 바랍니다."
