담당자,부위,증상,질환명,진료과,TAG
박장훈,생식/비뇨기,"아이들은 자신의 증상을 구체적으로 표현하기 어렵기 때문에 대부분 열을 동반한 비특이적인 증상으로 병원에 내원해 소변검사 후 방광요관역류를 발견하는 경우가 많습니다. 요로감염은 소아에서 상기도 감염과 함께 발열을 유발하는 가장 흔한 원인이지만, 성인과 달리 영유아 시기에는 발열을 제외하고는 증상으로 이를 알아채기가 쉽지 않습니다. 따라서 39도 이상의 고열이 있을 때는 반드시 소변검사를 시행해 결과를 확인하는 것이 좋습니다.
한편 산전 수신증이 있었다면 출생 후 소아비뇨의학 전문의를 찾아 자문을 받는 것이 조기 진단에 도움이 됩니다. 최근에는 산전 초음파검사를 통해 수신증을 진단받고 출생 후 조기에 방광요관역류를 발견하는 사례도 늘고 있습니다.",방광요관역류 Vesicoureteral reflux,"소아청소년과, 비뇨의학과, 소아비뇨의학과","빈뇨  ,소변 볼때 힘  ,소변 참음  ,단백뇨 ,고열 ,산전수신증 ,방광 ,소변역류 ,VUR ,수신증  ,요로감염  ,신우신염  ,DMSA  ,핵의학검사  ,VCUG  ,신장스캔검사  ,방광요도조영술  ,요도하열  ,음낭수종  ,만성 신장병  ,만성 신부전"
박장훈,생식/비뇨기,"난소는 골반 안에 들어있는데, 주변 공간이 넉넉해서 낭종이 어느 정도 크게 자라기 전까지는 아무런 증상이 없는 경우가 많아요. 증상이 있는 경우는 골반에 통증이 있거나, 부정출혈이 보이는 경우가 흔해요. 아랫배가 묵직하게 느껴지기도 하고, 성교나 생리 중에 통증이 있기도 해요. 낭종의 크기가 많이 커져서 방광을 누르면 소변이 자주 마렵기도 해요. 

난소낭종 때문에 합병증이 생기기도 해요. 난소 염전은 난소가 꼬이는 것을 말하는데, 낭종이 커져서 혹과 난소가 배 안에서 움직이다가 위치가 바뀌면서 꼬이게 돼요. 난소 염전이 생기면 갑자기 심한 복통, 구토가 생기는데, 수술이 필요하기도 해요. 심하게 움직이면서 낭종이 배 안에서 터지면 출혈과 복통을 일으키기도 해요. ", 난소낭종  Ovarian cyst ,산부인과,"생리불순,  ,부정출혈  ,복통  ,성교통  ,생리통  ,월경통  ,복부팽만 ,난소종양  ,기능성 낭종  ,난포성 낭종  ,기형종  ,난소 물혹"
박장훈,생식/비뇨기,"아이들은 성장하면서 대개 30개월쯤이면 소변을 보고 싶다는 의사표시를 하기 시작하고, 세 살이면 혼자 화장실에 갈 수 있어요. 만 5세 이후 아이들 대다수는 소변을 가릴 수 있어요. 하지만 5세가 넘어서도 낮에는 소변을 잘 가리다가 밤에 잠을 자면서 소변을 보는 아이들이 있어요. 만 5세가 넘어가는 아이가 밤에 소변을 가리지 못하는 경우를 야뇨증이라고 불러요. 

야뇨증은 생각보다 흔한 증상으로, 5세 경 어린이의 약 15%, 초등학교에 들어가는 만 7세 경 어린이의 약 10% 정도가 야뇨증을 겪고 있어요. 야뇨증은 여자아이보다 남자아이에게서 3~4배 정도 더 흔해요. 부모가 어릴 때 야뇨증이 있었다면 아이에게도 야뇨증이 나타날 가능성이 커져요.", 야뇨증  Enuresis ,"비뇨의학과, 소아청소년과, 비뇨의학과, 소아비뇨의학과","밤에 소변  ,소변 지림  ,기저귀 떼기  ,소변 가림 ,1형 당뇨병  ,항이뇨호르몬  ,유뇨증  ,비기질적 유뇨증  ,방광"
박장훈,생식/비뇨기,"대부분 뚜렷한 증상이 없으나, 월경 과다, 비정상적으로 길어지는 월경, 월경 기간이 아닌데 발생하는 출혈 등 출혈 증상이 나타나거나 출혈로 인한 빈혈이 발생할 수 있습니다. 자궁근종이 커지면서 주변 장기를 압박해 빈뇨, 잔뇨감, 요실금, 변비, 골반 압박감 등의 불편이나 골반통, 월경통 같은 각종 통증이 나타나기도 합니다. 또한 임신 혹은 유산과 관련해 가임력에 영향을 줄 수도 있습니다.",자궁근종 Uterine myoma,"산부인과, 자궁근종자궁내막증클리닉","복부팽만  ,복부비만  ,빈뇨  ,변비  ,생리통  ,불규칙월경  ,골반통증 ,자궁의 평활근종  ,자궁선근증  ,자궁내막증"
박장훈,생식/비뇨기,"사람유두종바이러스에 감염되어도 증상이 없이 지나가는 사람도 많아요. 밖으로 드러나는 대표적인 증상은 사마귀가 나는 거예요. 손이나 발바닥, 얼굴 등의 피부에 사마귀가 생기기도 하고 성기 주변에 산딸기 모양으로 사마귀가 생기기도 해요. 

사람유두종바이러스 중 고위험군의 바이러스는 자궁경부암의 원인이 될 수 있어요. 바이러스가 자궁경부의 세포를 변화시키고, 이렇게 변한 세포가 다시 암세포로 진행되는 과정이지요. 하지만 이러한 과정은 굉장히 천천히(수년 이상) 진행되기 때문에 꾸준한 정기검진을 받으면 조기에 진단하고 치료할 수 있어요. ",사람유두종바이러스감염  HPV(Human Papilloma Virus) infection ,산부인과,"성기 사마귀  ,입 사마귀  ,양배추 사마귀  ,자궁경부암  ,첨형콘딜로마 ,인간유두종바이러스  ,인유두종바이러스  ,HPV"
박장훈,생식/비뇨기,"요로결석에 의한 증상은 결석의 크기와 위치, 동반된 질환, 요로가 막힌 정도, 염증 등에 따라 다르나, 대부분의 환자가 극심한 통증을 경험하게 됩니다. 대개 옆구리나 아랫배에 심한 통증이 발생하는데, 같은 강도로 지속되기보다는 갑자기 극심한 통증이 나타났다가 사라지는 간헐적 양상을 보입니다. 토하고 싶은 느낌이나 복부 팽만감 같은 위장장애 증상이 나타나기도 하며, 소변에 피가 섞여 나오는 혈뇨도 흔히 볼 수 있습니다.",요로결석 Urinary calculus(Urinary stone),"비뇨의학과, 소아비뇨의학과","통증,  배뇨 시 ,통증  옆구리 ,통증  ,복통  탁한 ,소변  ,혈뇨  현미경적 ,혈뇨  ,요잠혈 ,수산염  ,요폐  ,신장결석  ,신부전  ,쇄석술  ,방광내시경 ,옆구리통증 ,급성복통 ,혈뇨 ,신장내과 ,비뇨의학과"
박장훈,생식/비뇨기,"감수성 있는 유전자의 돌연변이에 따라 유전성 유방암 가족 내에서도 질병의 심각도와 발병 연령이 큰 차이를 보인다. 유전성 유방암은 특정 표현형과 연관되어 있지 않으며 다음과 같은 특징들이 있다 : 같은 혈통(모계와 부계 어느쪽이나)에서  유방암 환자의 증가, 양쪽성 유방암의 증가, 난소암과 동반되어 발생, 남성에서도 유방암 발생.",유전성 유방암-난소암 증후군 Hereditary breast-ovarian cancer syndrome,"부인암센터, 유방암센터, 암예방센터","BRCA  ,BRCA1  ,BRCA2  ,브라카 ,유전성 유방암  ,유전성 난소암  ,가족검사 ,암 고위험군 ,암 생존자 ,암 경험자 ,연세암병원 ,암예방센터"
박장훈,생식/비뇨기,"요도하열은 요도 입구의 위치에 따라 심한 정도도 다르고 증상도 다르게 나타날 수 있어요. 가장 특징적인 증상은 소변이 나오는 요도 입구가 귀두가 아닌 다른 곳에 나 있는 거예요. 요도가 귀두까지 이어지지 못한 만큼 길이도 부족해요. 음경도 아래쪽으로 구부러지고, 귀두를 덮어주는 포피의 모양도 이상해요. 요도 입구의 위치가 아래쪽으로 많이 내려와 있으면 서서 소변을 보기가 어려워요. 남자아이가 서서 소변을 보지 못한다는 것은 추후 사회생활의 장애를 초래할 수도 있고, 성장 과정에서도 자신의 성기가 친구들과 다르다는 생각에 심리적으로 위축될 수 있어요. 성장 후에는 발기 시에도 음경이 구부러지면서 원만한 성생활도 어려울 수 있어요.", 요도하열  Hypospadias ,"비뇨의학과, 소아청소년과, 소아비뇨의학과","소변 줄기,  요도 구멍  ,요도 입구  ,음경 만곡  ,음경 휘어짐  ,삭대 ,방광요관역류  ,잠복고환  ,요도협착  ,요도게실  ,음낭수종  ,정계정맥류"
박장훈,생식/비뇨기,"- 만 8세 이하의 여아가 유방발달을 보이는 경우
- 만 9세 이하의 남아가 고환이 커지는 등 사춘기 증상을 보이는 경우
- 자녀의 키가 이전보다 갑자기 잘 자라는 경우
- 두피에 기름이 끼고, 몸에서 체취가 느껴지는 경우
- 저체중 출생아로 출생해 빠른 체증 증가를 보인 경우
- 부모나 친척 등이 일찍 키가 컸거나, 조발 사춘기의 내력이 있는 경우
- 비만이 있는 경우",성조숙증 Precocious puberty,"소아청소년과, 소아내분비과","가슴 몽우리,  가슴 멍울  ,가슴 통증  ,고환 발달  ,머리 냄새  ,정수리 냄새  ,저신장  ,작은 키  ,성장지연 ,사춘기지연  ,사춘기장애  ,뇌종양  ,비만  ,부신피질종양  ,환경호르몬  ,성장호르몬  ,MRI ,성조숙증 ,조발사춘기 ,precocious peberty"
박장훈,생식/비뇨기,"바르톨린 낭종은 바르톨린선이 외상이나 감염, 농축된 점액으로 막히면서 생겨요. 소변이나 대변 때문에 오염되기도 하고, 성관계를 통해 세균에 감염되기도 해요. 바르톨린선은 눈으로 확인하기 어려운 위치라서, 보통 외음부에 무언가 동그랗게 만져지기 시작하면서 바르톨린 낭종이 있다는 걸 알게 돼요. 바르톨린선은 양쪽에 있지만, 보통 낭종은 한쪽에만 생겨요. 처음에는 덩어리가 만져지는 것 외에는 특별한 증상이 없지만, 크기가 커지면 불편감이 느껴져요. 심하면 걷거나 앉을 때, 성관계 시에 압박감이나 통증이 생겨요. 바르톨린선이 세균에 감염되면 고름이 생기면서 빨갛게 부어오르고, 통증이나 열감이 느껴지기도 해요. ",바르톨린 낭종  Cyst of Bartholin's gland ,산부인과,"몽우리  ,몽우리 만져짐  ,질 입구 덩어리  ,걸을 때 불편  ,생식기 발적  ,질 분비물  ,성교통  ,외음부 혹 ,바톨린낭종  ,큰질어귀샘  ,바르톨린선  ,바톨린선  ,외음부암  ,질암"
박장훈,생식/비뇨기,"임신 20주 이후에 고혈압과 단백뇨가 확인되면 자간전증을 의심하지만, 증상이 가벼울 때는 산모에게 느껴지는 증상은 거의 없어요. 증상이 심해지면 몸이 붓는 부종이 나타나는데, 부종은 정상적인 산모에게서도 생길 수 있어서 부종만으로 자간전증을 알아차리기는 어려워요. 자간전증이 중증으로 진행하면 두통이나 시력장애, 간 기능과 신장 기능 저하, 폐부종이 나타나요. 용혈성 빈혈(H), 간 수치 상승(EL), 혈소판감소증(LP)을 동반하는 상태를 HELLP증후군이라고 따로 부르기도 해요. 경련과 발작을 보이면 자간증으로 진단하는데, 경련은 산모나 태아의 생명을 위협할 수도 있는 응급상황이에요. ",자간전증과 자간증  Pre-eclampsia and Eclampsia ,산부인과,"고혈압  ,단백뇨  ,경련  ,발작  ,부종 ,임신성 고혈압  ,HELLP 증후군  ,임신중독증  ,다태임신"
박장훈,생식/비뇨기,"여성 생식기 탈출은 부위에 따라 몇 가지 종류로 나눌 수 있어요. 방광이 질 쪽으로 밀리는 방광류나 방광요도류, 자궁이 아래쪽으로 밀리는 자궁탈출증, 직장이 질 뒤쪽 벽으로 밀고 나오는 직장류가 대표적이에요. 
골반 안에 들어있어야 할 장기가 밀리거나 위치가 변하면, 질 주변으로 압박감이나 하강감을 느껴요. 흔히 ‘밑이 빠지는 것 같다, 달걀 위에 앉아있는 것 같다’라고 표현하면서 병원을 찾아요. 소변을 자주 보는 빈뇨나 소변을 조절하기 어렵고 소변이 새어 나오는 요실금 증상을 호소하기도 해요. 대변을 보는 것이 어렵기도 해요. 증상은 누워있을 때는 호전되고, 오랜 시간 서 있거나 무거운 물건을 들면 심해져요. 아침보다는 오후에 증상이 더 심해져요. 탈출 정도가 심하면 질 쪽으로 묵직한 덩어리가 만져지기도 하고, 빠져나온 기관 일부가 피부나 속옷에 쓸리면서 출혈이 생기기도 해요.", 여성생식기탈출  Female genital prolapse ,산부인과,"질 주변 압박감  ,밑 압박감  ,빈뇨  ,요실금  ,질 덩어리  ,질 출혈 ,방광류  ,자궁탈출  ,직장류  ,밑빠짐  ,자궁하수"
박장훈,생식/비뇨기,"자궁경부암의 주된 증상은 부부관계를 할 때 발생하는 접촉성 질출혈이며, 그밖에 악취가 나는 질분비물이 나오기도 합니다. 최근에는 아무런 증상이 없는데 암 검진을 받다가 진단받는 경우도 많습니다.",자궁경부암 Cervix Cancer,"부인암센터, 방사선종양학과, 혈액종양내과, 산부인과, 자궁난소암센터","질 출혈  ,부정출혈  ,월경과다  ,성교통 ,자궁경부의 악성 신생물  ,자궁경부이형성증  ,상피내암종 ,자궁경부세포진검사 ,pap smaer ,HPV 백신 ,Human papilloma virus"
박장훈,생식/비뇨기,"칸디다 질염의 특징적인 증상은 하얀 코티지 치즈 덩어리 같은 분비물이에요. 비지나 두부를 으깨놓은 것처럼 보이기도 해요. 보통 냄새는 심하지 않아요. 외음부가 가렵고, 빨갛게 부어서 화끈거리기도 해요. 소변을 보거나 성관계를 할 때 통증이 있을 수도 있어요.", 칸디다질염  Vaginal candidiasis ,산부인과,"간지러움  ,성교통  ,회음부 냄새  ,치즈같은 분비물  ,칸디다알비칸스 ,캔디다질염"
박장훈,생식/비뇨기,"바이러스에 감염된 후 1~6개월 뒤에 증상이 나타나기 시작해요. 분홍색이나 회색, 갈색의 작고 오돌토돌한 혹이 생기기 시작해요. 눈으로 관찰하기 어려울 때도 있어요. 혹이 여러 개 모여서 산딸기나 콜리플라워 모양처럼 보이기도 해요. 대부분 아프지는 않지만, 성관계를 하거나 마찰이 있을 때 쉽게 출혈이 일어나기도 하고 가려움증을 일으키기도 해요. 첨규콘딜롬은 주로 여성의 외음부, 질 벽, 항문 주위, 자궁경부에 생기고 남성의 경우는 음낭, 음경, 항문 주위에 생겨요. 사람유두종 바이러스에 감염된 사람과 구강 성 접촉을 한 경우에는 입이나 목에서도 첨규콘딜롬이 발견될 수 있어요. 임신한 경우에는 사마귀의 크기가 갑자기 커질 수 있어요. 

",첨규콘딜롬(첨형 콘딜로마)  Condyloma accuminatum ,"산부인과, 비뇨의학과","돌기,  가려움 ,사마귀  ,인간유두종바이러스  ,사람유두종바이러스  ,HPV  ,항문 ,콘딜로마 ,뾰족콘딜로마  ,첨규콘딜로마  ,첨규콘딜롬  ,곤지름  ,음부사마귀"
박장훈,생식/비뇨기,"질편모충증에 걸리면 여성은 질과 요도, 남성은 요도에 증상이 나타나요. 여성은 질 분비물이 황록색으로 변하고 생선 냄새가 나요. 평소보다 분비물의 양도 많아지고 거품이 나기도 해요. 질 입구가 붓거나 소변을 볼 때 타는 듯한 느낌을 받기도 하죠. 남성은 증상이 없는 경우도 많아요. 하지만 요도 끝에 분비물이 보이거나 소변을 볼 때 통증을 호소하는 사람도 있어요. ",질편모충증(트리코모나스증)  Trichomoniasis ,산부인과,"가려움  ,질 분비물  ,배뇨통  ,냉 ,트리코모나스질염"
박장훈,생식/비뇨기,"증상은 균에 감염되고 1~3주 정도의 잠복기를 거친 후 나타나요. 남자는 비임균성 요도염 증상으로 소변을 볼 때 통증이 있거나 가렵고, 요도 입구에서 분비물이 보여요. 여자는 증상이 전혀 없을 수가 있어요. 증상이 있다면 자궁경부염이나 질염의 증상이 나타날 수 있어요. 소변을 볼 때 통증이 있고 질 분비물에서 냄새가 나거나 양이 많아져요. 비정상적인 질 출혈이 발생하고 성관계를 할 때 통증을 느껴요. 또한, 항문성교로 감염됐다면 직장염이 발생할 수도 있죠.", 클라미디아 감염증  Chlamydial infection ,"산부인과, 비뇨의학과","배뇨통  ,분비물  ,고름  ,성교통  ,난임, 골반염  ,부고환염  ,전립선염  ,신생아 결막염  ,클라미디아질염"
박장훈,생식/비뇨기,"남성의 경우, 소변볼 때 타는 듯한 통증을 느끼며, 음경 끝이 빨갛게 되면서 고름 같은 분비물이 나와요. 소변이 자주 마려우며, 고환이 붓거나 통증이 있기도 해요.  여성의 경우, 감염 초기에는 증상이 없는 경우가 많아서 감염되었는지 모르고 있을 수가 있어요. 증상이 있는 경우에는 질 분비물이 흰색 또는 노란 고름처럼 배출되고 양이 많아져요. 소변이 자주 마렵고 하복부와 골반에 통증이 발생하고, 소변볼 때 타는 듯한 통증을 느껴요. 비정상적인 질 출혈이 있을 수 있어요. 구강성교나 항문성교를 한 경우, 인후염과 직장염이 발생할 수 있어요. ",임질 Gonorrhea ,"산부인과, 비뇨의학과","배뇨통,  음경 고름  ,분비물  ,작열감  ,부정출혈 ,비임균성 요도염  ,신생아 결막염"
박장훈,생식/비뇨기,"1기 매독
제작진이 드라마를 준비하는 기간처럼 매독균도 몸속에서 준비하는 기간이 필요해요. 처음 균에 노출되고 나서 증상이 시작될 때까지는 10일~90일까지도 걸려요. 그 후 첫 번째 증상인 피부 궤양이 나타나요. 이것이 1기 매독이에요. 주로 매독균이 접촉되었던 곳에서 궤양이 나타나요. 보통 성기 부위나 항문 주위죠. 궤양은 붉고 단단하지만, 통증은 없답니다. 단단하다고 해서 경성하감이라고 불러요. 1기는 3~6주 동안 진행되고 특별한 치료 없이도 나아요. 하지만 증상이 사라졌다고 해서 치료를 받지 않는다면 2기 매독으로 진행되지요.
2기 매독
2기 매독부터는 증상이 더 다양한 부위에서 드러나요. 1기 매독 이후 몇 주 이내에 몸통부터 분홍빛이 도는 울퉁불퉁한 피부 발진이 나타나요. 발진이 몸 전체를 덮는 일도 있어요. 하지만 보통 가렵지는 않아요. 발진과 함께 입이나 성기 부위에 사마귀 같은 염증이 생겨요. 열이나 근육통이 있을 수도 있고, 탈모가 오고 목이나 겨드랑이가 붓기도 해요. 이런 증상이 몇 주 이내에 사라지는 사람도 있지만, 1년 동안 생겼다가 없어지기를 반복하는 사람도 있어요. 2기 매독은 가장 전염성이 높아요. 혈액에 매독균이 많이 살고 있기 때문이죠. 이 상황에도 증상이 사라졌다고 해서 치료를 받지 않는다면 가장 위험한 3기로 이어질 수 있어요.
잠복 매독과 3기 매독
매독을 계속 치료받지 않고 내버려 두면 증상이 드러나지 않는 잠복 매독으로 진행될 수 있어요. 잠복 매독 시기는 수년에서 수십 년까지 계속되기도 해요. 
3기 매독의 경우는 뇌, 신경, 눈, 심장, 대동맥, 간, 뼈, 관절 등 다양한 부위에서 증상이 나타날 수 있어요. 대동맥이나 심장 판막에 손상을 주기도 하고 경련이나 마비를 일으키기도 해요. ",매독  Syphilis ,"감염내과, 피부과, 비뇨의학과","피부 궤양  ,성기 궤양  ,경성하감  ,근육통  ,탈모 ,신경매독  ,잠복매독  ,산전검사  ,트레포네마 팔리디움"
박장훈,정신,"게임중독장애란 인터넷 혹은 오프라인 게임과 관련하여 강한 집착, 내성, 금단 등 중독증상을 경험하고 이로 인해 사회적, 직업적 기능에 유의한 손상을 가져오는 질환입니다. 인터넷 게임 중독 진단은 정신과적으로 아직 공고화되지는 않은 상태지만 질병으로 분류된 이유는 게임에 빠진 일부 환자들은 알코올 중독이나 병적 도박과 비슷하게 자신의 행동을 조절할 수 없을 정도의 중독에 빠져든 것이 임상 현장에서 종종 목격되기 때문입니다. 게임중독장애에 대한 연구가 전 세계적으로 진행되고 있어서 일관된 결론에 도달하지는 못했지만, 특히 아시아권 국가의 젊은이들에게서 약 10~15% 정도의 유병률이 보고되고 있습니다. 또한 각종 뇌 영상이나 생체신호 연구에서 기존의 중독질환과 비슷한 이상이 발견되고 있습니다. 이러한 이유에서 질병으로 분류되었습니다.",게임중독장애 Gaming addictive disorder,정신건강의학과,"게임 중독 ,게임중독장애 ,인터넷중독"
박장훈,정신,"① 지나치게 일찍 잠에서 깰 때
② 자다가 자꾸 깨거나 깬 이후 더 이상 잠이 들지 않을 때
③ 야간 수면 시간이 부족할 때
④ 잠은 잤지만 개운하지 않고 피로감이 느껴질 때
⑤ 부족한 수면으로 가정이나 학교, 직장에서 다음과 같은 증상을 겪을 때: 집중력과 기억력 저하, 피곤함, 무력감, 의욕 저하, 감정 조절의 어려움, 낮 시간의 졸림, 잦은 실수나 사고, 행동 문제(과다행동, 충동성, 공격성 등)",불면증 Insomnia,"수면건강센터, 신경과, 정신건강의학과","잠들지 못함  ,일찍 일어남  ,졸림  ,피곤함  ,잠 안옴 ,입면 장애  ,수면무호흡  ,우울증  ,하지불안증후군  ,수면제  ,수면일지  ,수면다원검사 ,insomnia ,불면증 ,잠못이루는밤 ,디지털치료제"
박장훈,정신,"조증 진단 기준
조증은 입원 치료가 필요하다고 느껴질 정도로 심하게 들뜨거나 과민한 기분 상태가 거의 온종일, 날마다, 7일 이상 지속되는 경우로, 다음 중 3개 이상의 증상이 동시에 나타나야 합니다. 이때 환자들은 대부분 스스로 비정상적이라는 생각을 하지 못하며, 직장생활이나 대인관계에 문제를 일으킬 정도로 증상이 심각합니다. 경조증은 조증과 증상은 비슷하나 최소 4일로 지속 기간이 짧고, 입원을 고려할 정도로 심하지는 않습니다.
- 자존감 증가 혹은 과대사고가 나타난다.
- 수면 욕구가 감소한다.
- 말이 많거나 쉴 새 없이 떠들어댄다.
- 생각이 빠르게 돌아가고 이어진다.
- 중요하지 않은 외부 자극에 쉽게 주의가 산만해진다.
- 목표 지향적인 활동(사회 혹은 대인관계 활동, 성적 활동)이 증가한다.
- 무분별한 구매, 성관계, 사업 투자 등 자기 파괴적 행동이 늘어난다. 



우울증 진단 기준
양극성 장애에서 나타나는 우울증은 일반적인 우울장애의 우울증과 구분이 어려워 동일한 진단 기준을 적용합니다. 아래 증상 가운데 5개 이상이 2주 이상 나타나고 이전의 기능 상태에 비해 유의미한 저하를 보일 때 우울 삽화로 진단됩니다.
- 온종일 우울한 기분이 든다.
- 일상생활에서 대부분의 활동에 아무런 흥미를 느끼지 못한다.
- 다이어트를 하지 않는데 살이 빠지거나(혹은 반대로 살이 찌거나), 지속적으로 식욕이 감소(또는 증가)한다.
- 불면증이 있거나 너무 많이 잔다.
- 초조하거나 불안하다.
- 몸이 피로하고 활력이 없다.
- 스스로 무가치한 느낌 또는 과도한 죄책감을 느낀다.
- 집중력이 떨어지고 우유부단해진다.
- 죽음에 대해 반복적으로 생각이 들거나 구체적인 계획을 세운다.",양극성장애 Bipolar disorder,정신건강의학과,"조울증 ,조증 ,경조증 ,우울증 ,양극성장애 ,bipolar disorder"
박장훈,정신,"치매란 인지기능이 나이에 비해 저하되어 있고, 이로 인해 혼자 생활할 수 있는 기능이 유지되지 않아 주변의 도움이 필요한 상태를 말합니다.
1) 알츠하이머병
치매의 원인 질환 가운데 하나인 알츠하이머병은 뇌에 베타-아밀로이드(β-amyloid)와 타우(tau)라는 2가지 단백질이 쌓이면서 질환이 발생하고 진행하는 것으로 알려져 있습니다. 베타-아밀로이드 단백질만 쌓이는 시기에는 증상이 거의 없지만, 베타-아밀로이드가 뇌에 광범위하게 쌓여서 수년 이상 시간이 지나면 타우 단백질이 해마 주변으로 쌓이기 시작하는데 그때부터 기억력 저하가 나타납니다. 타우 단백질 침착이 주로 발생하는 뇌 부위가 해마 및 기억력에 관여하는 신경회로 주변이어서 기억력 저하가 주 증상인 것으로 알려져 있습니다. 이후 타우가 다른 뇌 부위로 퍼지면 언어기능이나 시공간능력(길 찾기 기능)에도 문제가 발생할 수 있습니다.
2) 루이소체/파킨슨병
루이소체/파킨슨병은 뇌 속의 또 다른 단백질인 알파-시누클레인(α-synuclein)의 침착에 의해 발생합니다. 알파-시누클레인이 쌓이면서 중뇌에 있는 도파민 분비 신경세포를 침범하면 뇌 속에서 도파민이 줄어들면서 동작과 걸음이 느려지고 굳어지는 파킨슨 증상이 나타납니다. 알파-시누클레인이 대뇌를 침범하면 헛것을 보는 환시 증상과 집중력이나 시공간기능의 기복을 보이는 인지변동이 나타납니다. 인지변동은 수술이나 충격적인 사건 후에 섬망 증상으로 나타날 수도 있습니다. 또한 루이소체/파킨슨병은 중뇌와 대뇌를 침범하기 전에 여러 뇌신경회로가 복잡하게 얽혀있는 뇌간을 먼저 침범하는 특징이 있습니다. 이로 인해 심한 잠꼬대, 후각기능 저하, 일어설 때 어지럼증을 느끼면서 주저앉는 증상, 심한 변비와 같은 다양한 전조증상을 보일 수 있습니다.
3) 뇌혈관질환
뇌혈관질환에 의한 인지기능 저하는 병변이 발생한 부위에 따라 다양한 증상으로 나타나지만, 병변이 많아질수록 전두엽 기능 저하, 성격 변화, 보행장애, 발음장애 등이 심하게 나타납니다. 뇌경색이 증상을 일으킬 때처럼, 뇌혈관이 막히면 즉시 증상이 나타나기 때문에 뇌혈관질환에 의한 인지기능 저하는 갑작스럽게 증상이 악화되는 계단식의 악화를 보이는 경우가 많습니다. 성격이 급해지고 잘 참지 못하며 화가 늘어나는 것이 특징인데, 그러면서도 평상시에는 의욕이 떨어져서 아무것도 하지 않으려 하고 게을러지는 모습을 보입니다. 파킨슨 증상과 감별이 힘들 정도로 동작이 느려지기도 하며, 루이소체/파킨슨병에 비해 발음장애나 보행장애가 더 빨리 나타나는 특징이 있습니다.
4) 기타 뇌질환 
알츠하이머병, 루이소체/파킨슨병, 뇌혈관질환 이외에도 수두증, 뇌전증, 비타민 부족, 경막하출혈 등 50가지가 넘는 다양한 뇌질환들에 의해 인지기능 저하가 발생할 수 있습니다. 이 중에서도 특정 원인 질환에 의한 인지기능 저하는 치료로 완치될 수 있으므로 원인 질환에 대한 감별이 특히 중요합니다.", 치매  Dementia,"신경과, 정신건강의학과","노인  ,인지저하 ,치매 ,알츠하이머병 ,루이소체치매 ,파킨슨병 ,혈관성치매 ,뇌혈관질환 ,Lewy body"
박장훈,정신,"관심을 갖고 있는 상대방에게 버림받지 않기 위해 노력하며 집착하는 것이 큰 특징입니다. 하지만 지속되는 것이 아니라 상대방이 소홀해질 경우 높은 불안감을 느끼고 애인 폭행, 스토킹, 자해 시도 등 폭력적인 행동으로 이어집니다.
사람을 대할 때 그 사람에 대한 평가가 극단적입니다. 예로 어제는 특정 사람이 좋다고 했으나 다음 날에는 정말 나쁜 사람이라고 할 수 있습니다. 스스로에 대한 평가도 이처럼 양 극단을 오갈 수 있습니다. 소비, 물질 남용, 좀도둑질, 부주의한 운전, 과식, 성적 문란함 등 스스로를 망가뜨리는 충동적 행동을 행합니다. 스스로 경계성 인격장애임을 인지하는 경우는 적습니다.",경계성 인격장애 Borderline personality disorder,정신건강의학과,"경계성 인격장애  ,정신과  ,인격장애 ,지나친의존 ,폭력 ,경계성인격장애 ,성격장애 ,집착"
박장훈,정신,"기본적으로 우울감을 느끼며 삶에 대한 흥미와 의욕이 감소합니다. 이에 따라 무기력감을 자주 느끼고, 자살사고(자살을 생각하는 것)가 나타나기도 합니다. 집중력과 기억력이 감소할 수 있습니다.
또한 신체 증상들이 발현될 수 있습니다. 수면장애(불면증)가 나타나거나 식욕이 증가 또는 감소해 체중이 변화하고, 환각을 겪을 수 있습니다.",우울장애 Depressive Disorder,정신건강의학과,"불안  ,예민  ,무관심  ,식욕부진  ,과식  ,집중력 저하  ,기억력 저하  ,건강염려증 ,우울장애 ,우울증 ,우울감 ,의욕저하 ,주요우울장애 ,주요우울장애  ,기분부전증  ,우울에피소드  ,산후우울증  ,노인우울증  ,계절성 우울증"
박장훈,정신,"가장 대표적인 증상으로는 집중력 부족이 나타납니다. 학업이나 직업 등의 활동에 집중하지 못하고 실수를 자주 하며 남의 이야기를 귀기울여 듣지 않습니다. 지시대로 따라 하고 마무리하는 것이 매우 어려우며 주어진 일을 체계적으로 수행하는데 자주 어려움을 겪습니다. 쉽게 산만해지며 물건을 자주 잃어버릴 뿐만 아니라 일이나 약속도 자주 잊어버립니다.
집중력 부족의 증상 이외에 과잉행동 및 충동성도 대표적인 증상입니다. 손발을 가만두지 못하고 자리에서 자주 일어나 돌아다니며 과하게 뛰어다닙니다. 질문이 끝나기도 전에 성급하게 대답을 해 버리고 지나치게 말을 많이 하기도 합니다. 쉬지 않고 계속 움직이며 순서를 지켜서 활동하는 것을 매우 어려워합니다.",주의력결핍 과잉행동장애 Attention-Deficit Hyperactivity Disorder (ADHD),ADHD 클리닉,"집중력 부족 ,충동성 ,ADHD ,과잉행동 ,주의력결핍 ,과잉행동장애 ,산만  ,주의력  ,과다행동  ,폭력성  ,폭행"
